acid,acname,asid
C7921,「若草物語」より 若草の四姉妹,C5366
C7923,Dr.スランプアラレちゃん,C5379
C7925,フーセンのドラ太郎,C5390
C7927,杜子春,C4005
C7929,新竹取物語1000年女王,C5401
C7931,タイガーマスク二世,C1934
C7933,ヘレン・ケラー物語 愛と光の天使,C5456
C7935,ルパン対ホームズ,C5467
C7937,戦国魔神ゴーショーグン,C5490
C7939,恐怖伝説 怪奇!フランケンシュタイン,C5501
C7941,カバ園長の…動物園日記,C5545
C7943,まんが水戸黄門,C5589
C7945,新ど根性ガエル,C2667
C7947,忍者ハットリくん,C5601
C7949,六神合体ゴッドマーズ,C5612
C7950,銀河旋風ブライガー,C5645
C7952,アニメ親子劇場,C5656
C7954,ワンワン三銃士,C5667
C7956,うる星やつら,C5678
C7958,まいっちんぐマチコ先生,C5689
C7960,ハニーハニーのすてきな冒険,C5700
C7962,太陽の牙ダグラム,C5712
C7964,ぼくらマンガ家 トキワ荘物語,C5723
C7966,小さなラブレター -まり子とねむの木の子供たち-,C5756
C7968,世界名作ものがたり,C5778
C7970,サンタのいないクリスマス,C5789
C7972,三国志,C5800
C7974,南の虹のルーシー,C5811
C7976,あさりちゃん,C5823
C7978,戦闘メカザブングル,C5834
C7980,タイムボカンシリーズ 逆転イッパツマン,C5845
C7982,吾輩は猫である,C5856
C7984,機甲艦隊ダイラガー〔XV〕,C5867
C7986,魔法のプリンセス ミンキーモモ,C5889
C7988,ゲームセンターあらし,C5911
C7990,手塚治虫の ドン・ドラキュラ,C5922
C7992,トンデラハウスの大冒険,C5934
C7994,パタリロ!,C5945
C7997,アニメ野生のさけび,C5956
C7999,科学救助隊テクノボイジャー,C5967
C8001,ぽっぺん先生と帰らずの沼,C5989
C8003,二死満塁[ツーダンフルベース],C6011
C8005,魔境伝説アクロバンチ,C6022
C8007,おちゃめ神物語コロコロポロン,C6033
C8009,とんでモン・ペ,C6045
C8011,孫悟空シルクロードをとぶ!!,C6056
C8013,太陽の子エステバン,C6067
C8015,Theかぼちゃワイン,C6089
C8017,銀河烈風バクシンガー,C6100
C8019,アンドロメダストーリーズ,C6122
C8021,少年宮本武蔵 わんぱく二刀流,C6178
C8023,サイボットロボッチ,C6189
C8026,は～いステップジュン,C6805
C8028,三国志（新）,C6809
C8031,シティーハンター,C6942
C8033,ピーターパンの冒険,C7103
C8035,まんが はじめて面白塾,C7105
C8037,獣神ライガー,C7107
C8039,戦え! 超ロボット生命体 トランスフォーマーV[ビクトリー],C6820
C8041,ミラクル・ジャイアンツ 童夢くん,C7111
C8043,アイドル伝説えり子,C7112
C8045,アルフレッド・J・クワックの冒険,C7113
C8047,魔動王グランゾート,C7118
C8049,新・ビックリマン,C6958
C8051,ビリ犬 なんでも商会,C7119
C8053,悪魔くん,C7120
C8055,らんま1/2,C7122
C8057,GO！レスラー軍団,C7123
C8059,昆虫物語みなしごハッチ,C2123
