パッケージID,ゲームパッケージの発売日,価格,プラットフォーム名
M735964,1987-12-20,9800.0,PC-8801
M727593,1987-12-22,3900.0,ファミリーコンピュータ
M727592,1987-12-22,5500.0,ファミリーコンピュータ
M727591,1987-12-22,5300.0,ファミリーコンピュータ
M727590,1987-12-25,5500.0,ファミリーコンピュータ
M727589,1987-12-26,5500.0,ファミリーコンピュータ
M727588,1987-12-28,4500.0,PCエンジン
M727563,1988-01-06,3900.0,ファミリーコンピュータ
M727562,1988-01-07,5900.0,ファミリーコンピュータ
M727561,1988-01-22,4500.0,PCエンジン
M727560,1988-02-05,4900.0,PCエンジン
M727559,1988-02-10,5900.0,ファミリーコンピュータ
M727558,1988-02-16,3300.0,ファミリーコンピュータ
M727557,1988-02-18,9800.0,ファミリーコンピュータ
M727556,1988-02-26,5500.0,ファミリーコンピュータ
M727555,1988-03-04,5500.0,ファミリーコンピュータ
M727553,1988-03-17,5500.0,ファミリーコンピュータ
M727552,1988-03-18,5500.0,ファミリーコンピュータ
M727551,1988-03-18,9800.0,ファミリーコンピュータ
M727550,1988-03-25,4900.0,PCエンジン
M727549,1988-03-26,5700.0,ファミリーコンピュータ
M727548,1988-03-28,5800.0,ファミリーコンピュータ
M727547,1988-03-30,5800.0,ファミリーコンピュータ
M727546,1988-04-05,5500.0,ファミリーコンピュータ
M727545,1988-04-08,5800.0,ファミリーコンピュータ
M727544,1988-04-15,5500.0,ファミリーコンピュータ
M727543,1988-04-15,3300.0,ファミリーコンピュータ
M727541,1988-04-22,4500.0,PCエンジン
M727542,1988-04-22,3200.0,ファミリーコンピュータ
M727540,1988-04-28,5500.0,ファミリーコンピュータ
M727539,1988-04-28,5500.0,ファミリーコンピュータ
M727538,1988-05-13,5900.0,ファミリーコンピュータ
M727537,1988-05-20,4900.0,PCエンジン
M727536,1988-05-27,5900.0,ファミリーコンピュータ
M727535,1988-05-27,5300.0,ファミリーコンピュータ
M727534,1988-05-27,5900.0,ファミリーコンピュータ
M727533,1988-06-03,4900.0,PCエンジン
M727531,1988-06-24,4900.0,PCエンジン
M727532,1988-06-24,4900.0,ファミリーコンピュータ
M727530,1988-06-27,5800.0,ファミリーコンピュータ
M727529,1988-07-08,4900.0,PCエンジン
M727528,1988-07-15,5800.0,ファミリーコンピュータ
M727527,1988-07-15,5800.0,ファミリーコンピュータ
M727526,1988-07-15,4900.0,PCエンジン
M727525,1988-07-21,5900.0,ファミリーコンピュータ
M727524,1988-07-22,3900.0,ファミリーコンピュータ
M727523,1988-07-26,5800.0,ファミリーコンピュータ
M727522,1988-07-29,6900.0,ファミリーコンピュータ
M727521,1988-08-12,5800.0,ファミリーコンピュータ
M727520,1988-08-12,5200.0,ファミリーコンピュータ
M727518,1988-08-12,5500.0,ファミリーコンピュータ
M727517,1988-08-12,4900.0,PCエンジン
M727519,1988-08-12,5800.0,ファミリーコンピュータ
M727516,1988-08-26,5500.0,ファミリーコンピュータ
M727515,1988-08-30,4900.0,PCエンジン
M727514,1988-09-14,5200.0,PCエンジン
M727513,1988-09-21,5800.0,ファミリーコンピュータ
M727512,1988-09-23,5500.0,PCエンジン
M727511,1988-09-23,5200.0,PCエンジン
M727510,1988-10-11,5900.0,ファミリーコンピュータ
M727509,1988-10-14,4900.0,PCエンジン
M727508,1988-10-21,4900.0,ファミリーコンピュータ
