発売年,ゲームプラットフォーム名,ゲームパッケージ数,ゲームパブリッシャー数,メーカー名
2010,プレイステーションVita,0,0,ソニー
2010,プレイステーション4,0,0,ソニー
2011,プレイステーション,0,0,ソニー
2011,プレイステーション2,18,12,ソニー
2011,プレイステーション・ポータブル,505,84,ソニー
2011,ゲームアーカイブス,123,19,ソニー
2011,プレイステーション3,291,59,ソニー
2011,プレイステーションVita,43,15,ソニー
2011,プレイステーション4,0,0,ソニー
2012,プレイステーション,0,0,ソニー
2012,プレイステーション2,0,0,ソニー
2012,プレイステーション・ポータブル,535,70,ソニー
2012,ゲームアーカイブス,59,14,ソニー
2012,プレイステーション3,334,52,ソニー
2012,プレイステーションVita,167,36,ソニー
2012,プレイステーション4,0,0,ソニー
2013,プレイステーション,0,0,ソニー
2013,プレイステーション2,1,1,ソニー
2013,プレイステーション・ポータブル,378,43,ソニー
2013,ゲームアーカイブス,46,11,ソニー
2013,プレイステーション3,473,58,ソニー
2013,プレイステーションVita,305,41,ソニー
2013,プレイステーション4,0,0,ソニー
2014,プレイステーション,0,0,ソニー
2014,プレイステーション2,0,0,ソニー
2014,プレイステーション・ポータブル,176,28,ソニー
2014,ゲームアーカイブス,58,14,ソニー
2014,プレイステーション3,398,49,ソニー
2014,プレイステーションVita,412,61,ソニー
2014,プレイステーション4,208,38,ソニー
2015,プレイステーション,0,0,ソニー
2015,プレイステーション2,0,0,ソニー
2015,プレイステーション・ポータブル,33,10,ソニー
2015,ゲームアーカイブス,59,14,ソニー
2015,プレイステーション3,244,42,ソニー
2015,プレイステーションVita,529,76,ソニー
2015,プレイステーション4,336,66,ソニー
2016,プレイステーション,0,0,ソニー
2016,プレイステーション2,0,0,ソニー
2016,プレイステーション・ポータブル,5,2,ソニー
2016,ゲームアーカイブス,22,7,ソニー
2016,プレイステーション3,116,26,ソニー
2016,プレイステーションVita,494,72,ソニー
2016,プレイステーション4,534,99,ソニー
2017,プレイステーション,0,0,ソニー
2017,プレイステーション2,0,0,ソニー
2017,プレイステーション・ポータブル,0,0,ソニー
2017,ゲームアーカイブス,17,7,ソニー
2017,プレイステーション3,33,13,ソニー
2017,プレイステーションVita,398,65,ソニー
2017,プレイステーション4,791,143,ソニー
