ccid,crtid
C87901,CCRT02912
C87902,CCRT01804
C87903,CCRT02402
C87904,CCRT02136
C87905,CCRT03052
C87906,CCRT02889
C87909,CCRT01697
C87910,CCRT02136
C87911,CCRT03153
C87912,CCRT02334
C87913,CCRT01052
C87914,CCRT01804
C87915,CCRT01779
C87916,CCRT00730
C87917,CCRT00163
C87918,CCRT02473
C87919,CCRT01377
C87920,CCRT00279
C87921,CCRT01475
C87922,CCRT01377
C87923,CCRT01378
C87924,CCRT01380
C87925,CCRT01475
C87926,CCRT01268
C87927,CCRT01536
C87928,CCRT00998
C87929,CCRT02023
C87929,CCRT02728
C87930,CCRT02354
C87931,CCRT03247
C87932,CCRT02114
C87934,CCRT02598
C87934,CCRT03037
C87935,CCRT03355
C87938,CCRT02343
C87939,CCRT02343
C87940,CCRT00853
C87942,CCRT00922
C87943,CCRT01438
C87945,CCRT02270
C87946,CCRT00755
C87946,CCRT01016
C87947,CCRT01742
C87947,CCRT03272
C87949,CCRT02982
C87950,CCRT01098
C87951,CCRT00056
C87952,CCRT03009
C87953,CCRT00249
C87954,CCRT03147
C87955,CCRT01078
C87956,CCRT01902
C87957,CCRT01910
C87958,CCRT00705
C87959,CCRT02974
C87960,CCRT01560
C87961,CCRT01353
C87962,CCRT00681
C87963,CCRT03272
C87965,CCRT02939
C87966,CCRT02771
C87967,CCRT00681
C87968,CCRT00681
C87969,CCRT00681
C87970,CCRT03249
C87972,CCRT00681
C87973,CCRT02593
C87974,CCRT00269
C87975,CCRT00370
C87975,CCRT01743
C87976,CCRT02616
C87977,CCRT00489
C87978,CCRT00946
C87979,CCRT00681
C87979,CCRT03046
C87981,CCRT01149
C87981,CCRT02364
C87982,CCRT00664
C87983,CCRT02769
C87985,CCRT03139
C87985,CCRT03143
C87987,CCRT02969
C87989,CCRT00084
C87991,CCRT02878
C87992,CCRT01474
C87993,CCRT01472
C87994,CCRT00241
C87995,CCRT00999
C87996,CCRT01329
C87998,CCRT02588
C87999,CCRT00361
C88000,CCRT03008
C88002,CCRT02891
C88003,CCRT02365
C88004,CCRT00291
C88005,CCRT00069
C88006,CCRT02552
C88008,CCRT01833
C88009,CCRT00266
C88010,CCRT01518
C88011,CCRT00648
C88011,CCRT01027
C88012,CCRT01059
C88014,CCRT02234
C88014,CCRT03105
C88015,CCRT02942
C88015,CCRT03138
C88016,CCRT00260
C88017,CCRT01414
C88018,CCRT02512
C88019,CCRT01164
C88020,CCRT03276
C88021,CCRT02343
C88023,CCRT02489
C88024,CCRT02163
C88025,CCRT03291
C88026,CCRT00685
C88026,CCRT03154
C88027,CCRT00705
C88028,CCRT01860
C88029,CCRT01386
C88030,CCRT01329
C88031,CCRT02969
C88032,CCRT02982
C88033,CCRT01896
C88034,CCRT02041
C88035,CCRT00278
C88036,CCRT00014
C88037,CCRT03019
C88038,CCRT00705
C88039,CCRT01184
C88040,CCRT02458
C88042,CCRT02869
C88044,CCRT01018
C88046,CCRT00345
C88046,CCRT01227
C88047,CCRT01229
C88048,CCRT01458
C88050,CCRT01052
C88051,CCRT00844
C88055,CCRT00975
C88056,CCRT03091
C88057,CCRT03091
C88058,CCRT02922
C88059,CCRT00820
C88060,CCRT00820
C88061,CCRT00820
C88062,CCRT03058
C88063,CCRT00084
C88064,CCRT02365
C88065,CCRT03042
C88068,CCRT00381
C88069,CCRT00892
C88070,CCRT02237
C88071,CCRT01052
C88072,CCRT01295
C88073,CCRT01786
C88075,CCRT02771
C88076,CCRT01754
C88078,CCRT01534
C88080,CCRT02216
C88081,CCRT01008
C88083,CCRT01421
C88083,CCRT01518
C88084,CCRT01067
C88086,CCRT00207
C88087,CCRT01329
C88088,CCRT02143
C88089,CCRT03008
C88091,CCRT02771
C88092,CCRT01145
C88093,CCRT00621
C88094,CCRT00084
C88095,CCRT00257
C88096,CCRT03214
C88097,CCRT00711
C88098,CCRT02119
C88099,CCRT01354
C88100,CCRT02306
C88101,CCRT03276
C88102,CCRT02159
C88103,CCRT02026
C88104,CCRT03197
C88105,CCRT01922
C88106,CCRT02506
C88107,CCRT02343
C88108,CCRT01498
C88109,CCRT03054
C88110,CCRT02911
C88111,CCRT01533
C88112,CCRT01421
C88112,CCRT01518
C88113,CCRT01512
C88113,CCRT02951
C88114,CCRT00347
C88115,CCRT03008
C88116,CCRT02073
C88117,CCRT00705
C88118,CCRT01353
C88119,CCRT02770
C88121,CCRT03295
C88122,CCRT00401
C88124,CCRT02275
C88125,CCRT02934
C88126,CCRT02463
C88127,CCRT01979
C88128,CCRT00094
C88129,CCRT00868
C88130,CCRT02227
C88131,CCRT00568
C88132,CCRT01086
C88133,CCRT02448
C88135,CCRT03204
C88136,CCRT02339
C88138,CCRT00681
C88138,CCRT03251
C88139,CCRT00266
C88141,CCRT01206
C88142,CCRT03019
C88145,CCRT01773
C88146,CCRT01281
C88147,CCRT02341
C88148,CCRT01938
C88149,CCRT00957
C88152,CCRT00441
C88155,CCRT01011
C88156,CCRT01979
C88157,CCRT02361
C88158,CCRT02544
C88160,CCRT00853
C88161,CCRT02135
C88162,CCRT01366
C88162,CCRT02020
C88163,CCRT02328
C88164,CCRT00705
C88165,CCRT01346
C88167,CCRT02886
C88169,CCRT00765
C88171,CCRT01226
C88172,CCRT02333
C88173,CCRT00893
C88175,CCRT02321
C88176,CCRT01721
C88177,CCRT01880
C88179,CCRT02473
C88180,CCRT01979
C88181,CCRT03023
C88182,CCRT01560
C88183,CCRT00705
C88185,CCRT03272
C88186,CCRT00766
C88187,CCRT01769
C88188,CCRT00607
C88190,CCRT03271
C88191,CCRT01611
C88192,CCRT00893
C88193,CCRT00206
C88194,CCRT01052
C88195,CCRT02343
C88196,CCRT01058
C88197,CCRT01053
C88198,CCRT03170
C88199,CCRT03353
C88200,CCRT01429
C88201,CCRT00069
C88203,CCRT01872
C88204,CCRT00464
C88205,CCRT01033
C88205,CCRT01038
C88206,CCRT01276
C88207,CCRT00468
C88208,CCRT01068
C88208,CCRT02367
C88209,CCRT03072
C88210,CCRT00544
C88211,CCRT02167
C88212,CCRT01472
C88213,CCRT00580
C88214,CCRT02361
C88215,CCRT03289
C88217,CCRT03008
C88218,CCRT00084
C88219,CCRT00095
C88220,CCRT00326
C88221,CCRT00526
C88222,CCRT02073
C88223,CCRT02391
C88225,CCRT01295
C88226,CCRT00544
C88227,CCRT01392
C88228,CCRT02113
C88229,CCRT02113
C88230,CCRT02452
C88231,CCRT01861
C88232,CCRT02298
C88234,CCRT00989
C88236,CCRT02583
C88237,CCRT01936
C88238,CCRT03090
C88241,CCRT01105
C88242,CCRT00489
C88243,CCRT00887
C88244,CCRT00056
C88245,CCRT03353
C88246,CCRT02750
C88247,CCRT00614
C88248,CCRT02102
C88249,CCRT02023
C88251,CCRT02710
C88252,CCRT02343
C88253,CCRT02073
C88254,CCRT00946
C88255,CCRT00946
C88256,CCRT02840
C88257,CCRT01753
C88258,CCRT01814
C88259,CCRT00879
C88260,CCRT02719
C88261,CCRT01285
C88263,CCRT01086
C88264,CCRT02969
C88265,CCRT02530
C88266,CCRT03253
C88268,CCRT03008
C88269,CCRT01475
C88270,CCRT01415
C88271,CCRT02890
C88272,CCRT00459
C88273,CCRT03249
C88275,CCRT00771
C88276,CCRT01294
C88277,CCRT02081
C88278,CCRT03137
C88278,CCRT03144
C88279,CCRT02389
C88281,CCRT01968
C88282,CCRT01050
C88282,CCRT03182
C88283,CCRT02339
C88284,CCRT01832
C88285,CCRT03324
C88286,CCRT03170
C88287,CCRT02904
C88288,CCRT02255
C88289,CCRT00758
C88290,CCRT00755
C88290,CCRT02255
C88291,CCRT02414
C88292,CCRT00670
C88292,CCRT01866
C88293,CCRT00664
C88294,CCRT02343
C88295,CCRT03224
