ccid,ccname,n_ce,n_2c,n_4c,first_date,last_date,mcid,mcname
C93008,篠塚健次郎物語,2,0,0,1998-01-02,1998-01-15,C117607,週刊少年サンデー
C93009,しのびヌーボー,4,0,0,1991-04-10,1992-10-28,C117607,週刊少年サンデー
C93010,島ちゃんの4コマ劇場,1,0,0,1988-10-12,1988-10-12,C117607,週刊少年サンデー
C93013,シャウト シブヤ・ロックンロール・ストーリー,16,1,0,1994-08-31,1995-01-04,C117607,週刊少年サンデー
C93014,じゃじゃ馬グルーミン★UP!,281,2,9,1994-10-19,2000-09-27,C117607,週刊少年サンデー
C93015,ジャストミート,170,29,0,1984-07-11,1987-11-18,C117607,週刊少年サンデー
C93016,ジャップ,2,2,0,1985-10-09,1985-10-16,C117607,週刊少年サンデー
C93017,軍鶏,7,0,1,1970-11-15,1971-01-03,C117607,週刊少年サンデー
C93019,シャンセエ,11,0,0,1970-08-02,1970-10-11,C117607,週刊少年サンデー
C93020,週刊少年プリン,1,0,0,2011-04-20,2011-04-20,C117607,週刊少年サンデー
C93021,週刊少年サンデー創刊物語～夢のはじまり～,1,0,0,2009-03-18,2009-03-18,C117607,週刊少年サンデー
C93022,銃剣戦線,1,0,0,1978-03-26,1978-03-26,C117607,週刊少年サンデー
C93025,銃弾,1,0,0,1978-01-15,1978-01-15,C117607,週刊少年サンデー
C93026,蹴闘男 -最強蹴球野郎列伝-,1,0,0,2005-03-09,2005-03-09,C117607,週刊少年サンデー
C93027,柔道讃歌,146,1,15,1972-05-14,1975-04-06,C117607,週刊少年サンデー
C93028,終末のラフター,5,0,1,2012-11-21,2012-12-26,C117607,週刊少年サンデー
C93029,ジューンブライド,1,0,1,2013-01-09,2013-01-09,C117607,週刊少年サンデー
C93033,呪法解禁!!ハイド＆クローサー,47,0,4,2008-01-14,2009-01-01,C117607,週刊少年サンデー
C93034,修羅の剣,1,0,0,1981-03-11,1981-03-11,C117607,週刊少年サンデー
C93037,小学ににゃんせい,1,0,0,2010-01-20,2010-01-20,C117607,週刊少年サンデー
C93039,正月アンリミテッド,1,0,1,2013-01-09,2013-01-09,C117607,週刊少年サンデー
C93040,召喚されテトラ,1,0,1,2011-06-22,2011-06-22,C117607,週刊少年サンデー
C93041,笑撃!!日本国拳法,3,0,0,1988-03-23,1988-04-06,C117607,週刊少年サンデー
C93042,正直たぬきとたからもののやま,1,0,0,2007-05-30,2007-05-30,C117607,週刊少年サンデー
