miid,miname,mcid,mcname,date,price
M557133,週刊少年チャンピオン 1992年 表示号数46,C120282,週刊少年チャンピオン,1992-10-29,200.0
M543675,週刊少年ジャンプ 1992年 表示号数46,C119459,週刊少年ジャンプ,1992-11-02,200.0
M578150,週刊少年サンデー 1992年 表示号数46,C117607,週刊少年サンデー,1992-11-04,200.0
M536338,週刊少年マガジン 1992年 表示号数46,C119033,週刊少年マガジン,1992-11-04,200.0
M557132,週刊少年チャンピオン 1992年 表示号数47,C120282,週刊少年チャンピオン,1992-11-05,200.0
M543674,週刊少年ジャンプ 1992年 表示号数47,C119459,週刊少年ジャンプ,1992-11-09,190.0
M578149,週刊少年サンデー 1992年 表示号数47,C117607,週刊少年サンデー,1992-11-11,200.0
M536337,週刊少年マガジン 1992年 表示号数47,C119033,週刊少年マガジン,1992-11-11,200.0
M557131,週刊少年チャンピオン 1992年 表示号数48,C120282,週刊少年チャンピオン,1992-11-12,200.0
M543673,週刊少年ジャンプ 1992年 表示号数48,C119459,週刊少年ジャンプ,1992-11-16,190.0
M578148,週刊少年サンデー 1992年 表示号数48,C117607,週刊少年サンデー,1992-11-18,200.0
M536336,週刊少年マガジン 1992年 表示号数48,C119033,週刊少年マガジン,1992-11-18,200.0
M557130,週刊少年チャンピオン 1992年 表示号数49,C120282,週刊少年チャンピオン,1992-11-19,200.0
M543672,週刊少年ジャンプ 1992年 表示号数49,C119459,週刊少年ジャンプ,1992-11-23,190.0
M578147,週刊少年サンデー 1992年 表示号数49,C117607,週刊少年サンデー,1992-11-25,200.0
M536335,週刊少年マガジン 1992年 表示号数49,C119033,週刊少年マガジン,1992-11-25,200.0
M557129,週刊少年チャンピオン 1992年 表示号数50,C120282,週刊少年チャンピオン,1992-11-26,200.0
M543671,週刊少年ジャンプ 1992年 表示号数50,C119459,週刊少年ジャンプ,1992-11-30,190.0
M578146,週刊少年サンデー 1992年 表示号数50,C117607,週刊少年サンデー,1992-12-02,200.0
M536334,週刊少年マガジン 1992年 表示号数50,C119033,週刊少年マガジン,1992-12-02,200.0
M557128,週刊少年チャンピオン 1992年 表示号数51,C120282,週刊少年チャンピオン,1992-12-03,200.0
M543670,週刊少年ジャンプ 1992年 表示号数51,C119459,週刊少年ジャンプ,1992-12-07,190.0
M578145,週刊少年サンデー 1992年 表示号数51,C117607,週刊少年サンデー,1992-12-09,200.0
M536333,週刊少年マガジン 1992年 表示号数51,C119033,週刊少年マガジン,1992-12-09,200.0
M557127,週刊少年チャンピオン 1992年 表示号数52,C120282,週刊少年チャンピオン,1992-12-10,200.0
M543669,週刊少年ジャンプ 1992年 表示号数52,C119459,週刊少年ジャンプ,1992-12-14,200.0
M578144,週刊少年サンデー 1992年 表示号数52,C117607,週刊少年サンデー,1992-12-16,200.0
M536332,週刊少年マガジン 1992年 表示号数52,C119033,週刊少年マガジン,1992-12-16,200.0
M557126,週刊少年チャンピオン 1992年 表示号数53,C120282,週刊少年チャンピオン,1992-12-17,200.0
M616734,週刊少年サンデー 1993年 表示号数1,C117607,週刊少年サンデー,1993-01-01,210.0
M543668,週刊少年ジャンプ 1993年 表示号数1,C119459,週刊少年ジャンプ,1993-01-01,190.0
M557125,週刊少年チャンピオン 1993年 表示号数1,C120282,週刊少年チャンピオン,1993-01-01,210.0
M536331,週刊少年マガジン 1993年 表示号数1,C119033,週刊少年マガジン,1993-01-01,210.0
M578141,週刊少年サンデー 1993年 表示号数3,C117607,週刊少年サンデー,1993-01-07,210.0
M543667,週刊少年ジャンプ 1993年 表示号数2,C119459,週刊少年ジャンプ,1993-01-08,200.0
M536330,週刊少年マガジン 1993年 表示号数3,C119033,週刊少年マガジン,1993-01-09,210.0
M557124,週刊少年チャンピオン 1993年 表示号数3,C120282,週刊少年チャンピオン,1993-01-11,210.0
M543666,週刊少年ジャンプ 1993年 表示号数3,C119459,週刊少年ジャンプ,1993-01-15,200.0
M557123,週刊少年チャンピオン 1993年 表示号数5,C120282,週刊少年チャンピオン,1993-01-18,210.0
M578140,週刊少年サンデー 1993年 表示号数5,C117607,週刊少年サンデー,1993-01-20,210.0
M536329,週刊少年マガジン 1993年 表示号数5,C119033,週刊少年マガジン,1993-01-20,210.0
M543665,週刊少年ジャンプ 1993年 表示号数5,C119459,週刊少年ジャンプ,1993-01-25,200.0
M578139,週刊少年サンデー 1993年 表示号数6,C117607,週刊少年サンデー,1993-01-27,200.0
M536328,週刊少年マガジン 1993年 表示号数6,C119033,週刊少年マガジン,1993-01-27,200.0
M557122,週刊少年チャンピオン 1993年 表示号数7,C120282,週刊少年チャンピオン,1993-01-28,200.0
M543664,週刊少年ジャンプ 1993年 表示号数7,C119459,週刊少年ジャンプ,1993-02-01,190.0
M578138,週刊少年サンデー 1993年 表示号数7,C117607,週刊少年サンデー,1993-02-03,200.0
M536327,週刊少年マガジン 1993年 表示号数7,C119033,週刊少年マガジン,1993-02-03,200.0
M557121,週刊少年チャンピオン 1993年 表示号数8,C120282,週刊少年チャンピオン,1993-02-04,200.0
M543663,週刊少年ジャンプ 1993年 表示号数8,C119459,週刊少年ジャンプ,1993-02-08,190.0
M578137,週刊少年サンデー 1993年 表示号数8,C117607,週刊少年サンデー,1993-02-10,200.0
M536326,週刊少年マガジン 1993年 表示号数8,C119033,週刊少年マガジン,1993-02-10,200.0
M557120,週刊少年チャンピオン 1993年 表示号数9,C120282,週刊少年チャンピオン,1993-02-11,200.0
M543662,週刊少年ジャンプ 1993年 表示号数9,C119459,週刊少年ジャンプ,1993-02-15,190.0
M578136,週刊少年サンデー 1993年 表示号数9,C117607,週刊少年サンデー,1993-02-17,200.0
M536325,週刊少年マガジン 1993年 表示号数9,C119033,週刊少年マガジン,1993-02-17,200.0
M557119,週刊少年チャンピオン 1993年 表示号数10,C120282,週刊少年チャンピオン,1993-02-18,200.0
M543661,週刊少年ジャンプ 1993年 表示号数10,C119459,週刊少年ジャンプ,1993-02-22,190.0
M578135,週刊少年サンデー 1993年 表示号数10,C117607,週刊少年サンデー,1993-02-24,200.0
M536324,週刊少年マガジン 1993年 表示号数10,C119033,週刊少年マガジン,1993-02-24,200.0
M557118,週刊少年チャンピオン 1993年 表示号数11,C120282,週刊少年チャンピオン,1993-02-25,200.0
M543660,週刊少年ジャンプ 1993年 表示号数11,C119459,週刊少年ジャンプ,1993-03-01,190.0
M578134,週刊少年サンデー 1993年 表示号数11,C117607,週刊少年サンデー,1993-03-03,200.0
M536323,週刊少年マガジン 1993年 表示号数11,C119033,週刊少年マガジン,1993-03-03,200.0
M557117,週刊少年チャンピオン 1993年 表示号数12,C120282,週刊少年チャンピオン,1993-03-04,200.0
M543659,週刊少年ジャンプ 1993年 表示号数12,C119459,週刊少年ジャンプ,1993-03-08,200.0
M578133,週刊少年サンデー 1993年 表示号数12,C117607,週刊少年サンデー,1993-03-10,200.0
M536322,週刊少年マガジン 1993年 表示号数12,C119033,週刊少年マガジン,1993-03-10,200.0
M557116,週刊少年チャンピオン 1993年 表示号数13,C120282,週刊少年チャンピオン,1993-03-11,200.0
M543658,週刊少年ジャンプ 1993年 表示号数13,C119459,週刊少年ジャンプ,1993-03-15,190.0
M578132,週刊少年サンデー 1993年 表示号数13,C117607,週刊少年サンデー,1993-03-17,200.0
M536321,週刊少年マガジン 1993年 表示号数13,C119033,週刊少年マガジン,1993-03-17,200.0
M557115,週刊少年チャンピオン 1993年 表示号数14,C120282,週刊少年チャンピオン,1993-03-18,200.0
M543657,週刊少年ジャンプ 1993年 表示号数14,C119459,週刊少年ジャンプ,1993-03-22,190.0
M578131,週刊少年サンデー 1993年 表示号数14,C117607,週刊少年サンデー,1993-03-24,200.0
M536320,週刊少年マガジン 1993年 表示号数14,C119033,週刊少年マガジン,1993-03-24,200.0
M557114,週刊少年チャンピオン 1993年 表示号数15,C120282,週刊少年チャンピオン,1993-03-25,200.0
M543656,週刊少年ジャンプ 1993年 表示号数15,C119459,週刊少年ジャンプ,1993-03-29,200.0
M578130,週刊少年サンデー 1993年 表示号数15,C117607,週刊少年サンデー,1993-03-31,210.0
M536319,週刊少年マガジン 1993年 表示号数15,C119033,週刊少年マガジン,1993-03-31,200.0
M557113,週刊少年チャンピオン 1993年 表示号数16,C120282,週刊少年チャンピオン,1993-04-01,200.0
M543655,週刊少年ジャンプ 1993年 表示号数16,C119459,週刊少年ジャンプ,1993-04-05,190.0
M578129,週刊少年サンデー 1993年 表示号数16,C117607,週刊少年サンデー,1993-04-07,200.0
M536318,週刊少年マガジン 1993年 表示号数16,C119033,週刊少年マガジン,1993-04-07,200.0
M557112,週刊少年チャンピオン 1993年 表示号数17,C120282,週刊少年チャンピオン,1993-04-08,200.0
M543654,週刊少年ジャンプ 1993年 表示号数17,C119459,週刊少年ジャンプ,1993-04-12,200.0
M578127,週刊少年サンデー 1993年 表示号数17,C117607,週刊少年サンデー,1993-04-14,200.0
M536317,週刊少年マガジン 1993年 表示号数17,C119033,週刊少年マガジン,1993-04-14,200.0
M557111,週刊少年チャンピオン 1993年 表示号数18,C120282,週刊少年チャンピオン,1993-04-15,200.0
M543653,週刊少年ジャンプ 1993年 表示号数18,C119459,週刊少年ジャンプ,1993-04-19,190.0
M578126,週刊少年サンデー 1993年 表示号数18,C117607,週刊少年サンデー,1993-04-21,200.0
M536316,週刊少年マガジン 1993年 表示号数18,C119033,週刊少年マガジン,1993-04-21,200.0
M557110,週刊少年チャンピオン 1993年 表示号数19,C120282,週刊少年チャンピオン,1993-04-22,200.0
M543652,週刊少年ジャンプ 1993年 表示号数19,C119459,週刊少年ジャンプ,1993-04-26,200.0
M578125,週刊少年サンデー 1993年 表示号数19,C117607,週刊少年サンデー,1993-04-28,200.0
M536315,週刊少年マガジン 1993年 表示号数19,C119033,週刊少年マガジン,1993-04-28,200.0
M557109,週刊少年チャンピオン 1993年 表示号数20,C120282,週刊少年チャンピオン,1993-04-29,200.0
M543651,週刊少年ジャンプ 1993年 表示号数20,C119459,週刊少年ジャンプ,1993-05-03,190.0
M578124,週刊少年サンデー 1993年 表示号数20,C117607,週刊少年サンデー,1993-05-05,200.0
M536314,週刊少年マガジン 1993年 表示号数20,C119033,週刊少年マガジン,1993-05-05,200.0
M557108,週刊少年チャンピオン 1993年 表示号数21,C120282,週刊少年チャンピオン,1993-05-06,210.0
M543650,週刊少年ジャンプ 1993年 表示号数21,C119459,週刊少年ジャンプ,1993-05-10,200.0
M578123,週刊少年サンデー 1993年 表示号数21,C117607,週刊少年サンデー,1993-05-12,210.0
M536313,週刊少年マガジン 1993年 表示号数21,C119033,週刊少年マガジン,1993-05-12,210.0
M557107,週刊少年チャンピオン 1993年 表示号数23,C120282,週刊少年チャンピオン,1993-05-20,210.0
M543648,週刊少年ジャンプ 1993年 表示号数23,C119459,週刊少年ジャンプ,1993-05-24,190.0
M578122,週刊少年サンデー 1993年 表示号数23,C117607,週刊少年サンデー,1993-05-26,200.0
M536312,週刊少年マガジン 1993年 表示号数23,C119033,週刊少年マガジン,1993-05-26,200.0
M557106,週刊少年チャンピオン 1993年 表示号数24,C120282,週刊少年チャンピオン,1993-05-27,200.0
M543647,週刊少年ジャンプ 1993年 表示号数24,C119459,週刊少年ジャンプ,1993-05-31,190.0
M578121,週刊少年サンデー 1993年 表示号数24,C117607,週刊少年サンデー,1993-06-02,200.0
M536311,週刊少年マガジン 1993年 表示号数24,C119033,週刊少年マガジン,1993-06-02,200.0
M557105,週刊少年チャンピオン 1993年 表示号数25,C120282,週刊少年チャンピオン,1993-06-03,200.0
M543646,週刊少年ジャンプ 1993年 表示号数25,C119459,週刊少年ジャンプ,1993-06-07,190.0
M578120,週刊少年サンデー 1993年 表示号数25,C117607,週刊少年サンデー,1993-06-09,200.0
M536310,週刊少年マガジン 1993年 表示号数25,C119033,週刊少年マガジン,1993-06-09,200.0
M557104,週刊少年チャンピオン 1993年 表示号数26,C120282,週刊少年チャンピオン,1993-06-10,200.0
M543645,週刊少年ジャンプ 1993年 表示号数26,C119459,週刊少年ジャンプ,1993-06-14,200.0
M578119,週刊少年サンデー 1993年 表示号数26,C117607,週刊少年サンデー,1993-06-16,210.0
M536309,週刊少年マガジン 1993年 表示号数26,C119033,週刊少年マガジン,1993-06-16,200.0
M557103,週刊少年チャンピオン 1993年 表示号数27,C120282,週刊少年チャンピオン,1993-06-17,200.0
M543644,週刊少年ジャンプ 1993年 表示号数27,C119459,週刊少年ジャンプ,1993-06-21,190.0
M578118,週刊少年サンデー 1993年 表示号数27,C117607,週刊少年サンデー,1993-06-23,200.0
M536308,週刊少年マガジン 1993年 表示号数27,C119033,週刊少年マガジン,1993-06-23,200.0
M557102,週刊少年チャンピオン 1993年 表示号数28,C120282,週刊少年チャンピオン,1993-06-24,200.0
M543643,週刊少年ジャンプ 1993年 表示号数28,C119459,週刊少年ジャンプ,1993-06-28,190.0
M578117,週刊少年サンデー 1993年 表示号数28,C117607,週刊少年サンデー,1993-06-30,200.0
M536307,週刊少年マガジン 1993年 表示号数28,C119033,週刊少年マガジン,1993-06-30,200.0
M557101,週刊少年チャンピオン 1993年 表示号数29,C120282,週刊少年チャンピオン,1993-07-01,200.0
M543642,週刊少年ジャンプ 1993年 表示号数29,C119459,週刊少年ジャンプ,1993-07-05,200.0
M578116,週刊少年サンデー 1993年 表示号数29,C117607,週刊少年サンデー,1993-07-07,200.0
M536306,週刊少年マガジン 1993年 表示号数29,C119033,週刊少年マガジン,1993-07-07,200.0
M557100,週刊少年チャンピオン 1993年 表示号数30,C120282,週刊少年チャンピオン,1993-07-08,200.0
M543641,週刊少年ジャンプ 1993年 表示号数30,C119459,週刊少年ジャンプ,1993-07-12,190.0
M578115,週刊少年サンデー 1993年 表示号数30,C117607,週刊少年サンデー,1993-07-14,200.0
M536305,週刊少年マガジン 1993年 表示号数30,C119033,週刊少年マガジン,1993-07-14,210.0
M557099,週刊少年チャンピオン 1993年 表示号数31,C120282,週刊少年チャンピオン,1993-07-15,200.0
M543640,週刊少年ジャンプ 1993年 表示号数31,C119459,週刊少年ジャンプ,1993-07-19,200.0
M578114,週刊少年サンデー 1993年 表示号数31,C117607,週刊少年サンデー,1993-07-21,200.0
M536304,週刊少年マガジン 1993年 表示号数31,C119033,週刊少年マガジン,1993-07-21,200.0
M557098,週刊少年チャンピオン 1993年 表示号数32,C120282,週刊少年チャンピオン,1993-07-22,210.0
M543639,週刊少年ジャンプ 1993年 表示号数32,C119459,週刊少年ジャンプ,1993-07-26,190.0
M578113,週刊少年サンデー 1993年 表示号数32,C117607,週刊少年サンデー,1993-07-28,200.0
M536303,週刊少年マガジン 1993年 表示号数32,C119033,週刊少年マガジン,1993-07-28,200.0
M557097,週刊少年チャンピオン 1993年 表示号数33,C120282,週刊少年チャンピオン,1993-07-29,210.0
M543638,週刊少年ジャンプ 1993年 表示号数33,C119459,週刊少年ジャンプ,1993-08-02,190.0
M578112,週刊少年サンデー 1993年 表示号数33,C117607,週刊少年サンデー,1993-08-04,200.0
M536302,週刊少年マガジン 1993年 表示号数33,C119033,週刊少年マガジン,1993-08-04,210.0
M557096,週刊少年チャンピオン 1993年 表示号数34,C120282,週刊少年チャンピオン,1993-08-05,210.0
M543637,週刊少年ジャンプ 1993年 表示号数34,C119459,週刊少年ジャンプ,1993-08-09,200.0
