acid,acname,初回放送日,アニメ各話数,作品名の文字数
C14633,株式会社ZOO,2010-01-20,12,7
C14634,カルルと ふしぎな塔[シリーズ],2010-10-08,26,16
C14635,起業忍者 イガ社長と 秘書ガーコ,2010-04-08,20,16
C14636,きょうの料理 ビギナーズ[第4期],2010-03-29,74,17
C14637,クッキンアイドル アイ!マイ! まいん![第2期],2010-03-29,81,25
C14638,クノーチェ,2010-04-01,20,5
C14640,ケツ犬,2010-04-01,13,3
C14641,月間ショート劇場★★　侵略派遣美少女　ミリ,2010-04-10,3,21
C14643,コケッコーさん,2009-12-06,26,7
C14645,こたつたこ,2010-01-20,7,5
C14646,最強武将伝 三国演義,2010-04-04,48,10
C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],2010-07-27,4,26
C14648,10秒チョットのアニメ,2010-10-04,27,11
C14649,[ストロー びゅるる],2010-03-22,5,11
C14651,デュエル・マスターズ ビクトリー V3,2013-04-06,51,19
C14652,とある科学の 超電磁砲[レールガン] S,2013-04-12,23,20
C14653,東京レイヴンズ,2013-10-09,24,7
C14654,AKB0048[next stage],2013-01-06,13,19
C14655,エんエんニコリ,2013-01-18,1,7
C14656,おじゃる丸[第16期],2013-04-01,70,11
C14657,おとぎのくにの　イチジョウマン　7,2013-08-06,2,17
C14658,大人 女子 の アニメ タイム[第2期],2013-03-10,3,20
C14659,踊り子【クリノッペ】,2013-05-10,26,10
C14660,ダンボール 戦機 WARS[ウォーズ],2013-04-03,37,19
C14661,ちはやふる 2,2013-01-12,25,7
C14662,ぢべたぐらし あひるの生活,2013-03-31,27,13
C14663,超次元ゲイム ネプテューヌ THE ANIMATION,2013-07-12,12,27
C14664,直球表題 ロボットアニメ,2013-02-06,12,12
C14665,ちょぼらうにょぽみ劇場 あいまい みー,2013-01-03,13,19
C14666,凪のあすから,2013-10-03,26,6
C14667,にゅるにゅる!! KAKUSENくん,2013-07-09,21,18
C14668,忍者 ハットリくん[インド版],2013-05-05,37,15
C14669,忍たま 乱太郎 [第21期],2013-03-20,76,14
C14670,のんのんびより,2013-10-08,12,7
C14671,[リコーダー　と　ランドセル ミ★],2013-07-01,13,18
C14673,いない いない ばあっ![第16期],2011-03-28,110,18
C14675,おべとも学園[第4期],2011-03-29,40,11
C14676,おんがく♪ 世界りょこう,2011-03-07,3,12
C14677,額縁をくぐって物語の中へ　[スペシャル],2011-01-03,5,20
C14678,学校の コワイ うわさ 新 花子さんがきた!!,2011-03-24,33,23
C14679,神のみぞ知るセカイⅡ,2011-04-12,12,10
C14681,ZoobLes!,2011-10-05,8,8
C14683,だじゃれ パラパラ,2011-04-01,18,9
C14684,デジモン　クロスウォーズ　悪のデスジェネラルと七つの王国,2011-04-03,26,28
C14685,デジモン クロスウォーズ 時を駆ける少年ハンターたち,2011-10-02,25,26
C14687,爆丸 バトルブローラーズ ガンダリアンインベーダーズ,2011-03-26,45,26
C14688,はっぴ～カッピ,2011-04-06,26,7
C14689,はなかっぱ[第2期],2011-03-28,68,10
C14691,ペンギン　の問題　DX,2011-04-02,26,11
C14692,ペンギン の問題 DX?,2011-10-01,26,12
C14693,[ムルムル先生の裏未来日記],2011-10-10,16,14
C14695,アイカツ! アイドルカツドウ!,2012-10-08,179,15
C14696,秋葉工房　日本おもしろ昔話,2011-12-04,8,13
C14697,新しい生物,2011-12-02,5,5
C14698,Another,2012-01-10,12,7
C14699,あらしのよるに ひみつのともだち,2012-04-04,26,16
C14701,宇宙兄弟,2012-04-01,101,4
C14702,うぽって!!,2012-07-05,10,6
C14703,エリアの騎士,2012-01-07,38,6
C14704,おじゃる丸[第15期],2012-03-20,91,11
C14705,織田信奈の野望,2012-07-09,13,7
C14706,おべとも学園[第5期],2012-04-03,40,11
C14707,CARDFIGHT!! ヴァンガード アジアサーキット編,2012-04-01,40,28
C14708,紙兎 ロペ 笑う朝には福来たるって マジっすか!?,2012-11-16,561,25
C14709,神様 はじめました,2012-10-02,13,9
C14710,かよえ! チュー学,2011-12-01,370,9
C14711,カンピオーネ! ～まつろわぬ神々と神殺しの魔王～,2012-07-06,13,24
C14712,きかんしゃトーマス,2012-04-08,25,9
C14713,君と僕。2,2012-04-03,13,5
C14714,境界線上のホライゾン　Ⅱ　Horizon on the Middle of Nowhere,2012-07-08,13,45
C14716,キングダム,2012-06-03,39,5
C14717,銀魂'[延長戦],2012-10-04,13,8
C14718,クッキンアイドル　アイ!マイ!　まいん![第4期],2012-04-02,85,25
C14719,黒子の バスケ,2012-04-08,25,7
C14720,黒魔女さんが通る!!,2012-04-04,60,10
C14721,恋と選挙とチョコレート,2012-07-06,12,11
C14722,ゴーゴー!　マジムン,2012-01-07,12,10
C14723,ココロ・コネクト,2012-07-08,13,8
C14724,この中に1人、 妹がいる! Who is “IMOUTO“?,2012-07-06,12,30
C14725,GON,2012-04-02,50,3
C14726,咲 Saki 阿知賀編 episode of side-A,2012-04-09,12,29
C14727,しまじろうのわお!,2012-04-02,243,9
C14728,獣旋バトル モンスーノ,2012-10-03,52,11
C14729,ジュエルペット きら★デコッ,2012-04-07,52,14
C14730,ジョジョの 奇妙な冒険,2012-10-06,26,11
C14731,新世界より,2012-09-22,28,5
C14732,Zoobles　[シリーズ],2012-02-05,34,14
C14733,スッキリ!!　×　映画　ひみつの　アッコちゃん　[～テクマクマヤコン　テクマクマヤコン　ステキなOLにな～れ!～],2012-08-20,10,57
C14734,スマイルプリキュア!,2012-02-05,48,10
C14735,ズモモ と ヌペペ,2012-04-03,32,9
C14736,ZETMAN,2012-04-03,13,6
C14737,ソードアート・オンライン,2012-07-08,25,12
C14738,鷹の爪 NEO,2012-04-06,36,7
C14739,黄昏乙女× アムネジア,2012-04-09,10,11
C14740,たまごっち! ゆめキラドリーム,2012-09-10,49,15
C14741,革命機　ヴァルヴレイヴ　Valvrave　the Liberator　[第1期],2013-04-12,12,40
C14742,革命機　ヴァルヴレイヴ　Valvrave　the Liberator　[第2期],2013-10-11,12,40
C14743,ガッ活!　[第2期],2013-01-12,25,10
C14744,GATCHAMAN CROWDS,2013-07-13,12,16
C14745,神さまの いない 日曜日,2013-07-07,12,12
C14746,神のみぞ知るセカイ - 女神篇 -,2013-07-09,12,17
C14747,ガラスの仮面 ですが,2013-04-07,3,10
C14748,ガラスの仮面 ですが Z,2013-04-28,14,12
C14749,DiABOLiK LOVERS,2013-09-16,13,15
C14750,DD 北斗の拳,2013-04-03,13,7
C14751,てーきゅう［第3期］,2013-10-06,13,10
C14752,デート・ア・ライブ,2013-04-06,12,9
C14753,てさぐれ! 部活もの,2013-10-06,11,10
C14755,鉄人 28号 ガオ!,2013-04-06,151,10
C14756,ドキ ドキ! プリキュア!,2013-02-03,49,13
C14757,リトル・チャロ4 New York Again,2013-03-24,35,23
C14758,リトルバスターズ!　～Refrain～,2013-10-05,12,19
C14759,探検 ドリランド,2012-07-07,37,8
C14760,ちとせ げっちゅ!![第1期],2012-07-02,13,15
C14761,ちとせ げっちゅ!![第2期],2012-10-01,13,15
C14762,超速変形 ジャイロゼッター,2012-10-02,51,13
C14763,超訳百人一首 うた恋い。,2012-07-03,13,12
C14764,超ロボット生命体 トランスフォーマー プライム,2012-04-07,53,23
C14765,つり球,2012-04-13,12,3
C14767,テルマエ・ロマエ,2012-01-13,6,8
C14768,DOG DAYS',2012-07-07,13,9
C14769,NARUTO SD[すごいどりょく] ロック・リーの 青春フルパワー忍伝,2012-04-03,51,36
C14770,忍たま 乱太郎[第20期],2012-04-02,90,13
C14772,薄桜鬼 新選組 奇譚 黎明録,2012-07-07,13,14
C14773,バトルスピリッツ ソードアイズ,2012-09-09,29,15
C14774,はなかっぱ[第3期],2012-03-07,45,10
C14775,パブー ＆モジーズ,2012-04-02,52,9
C14776,パンダの たぷたぷ,2012-04-02,431,9
C14777,緋色の欠片 玉依 姫 奇譚 第二章,2012-09-30,13,17
C14778,100分 de 名著,2011-12-07,130,10
C14779,氷菓,2012-04-23,22,2
C14780,ファイ・ブレイン 神のパズル[第2期],2012-04-05,26,19
C14781,Fate/Zero,2012-03-25,14,9
C14782,プリティー リズム ディア・マイ・フューチャー,2012-04-07,51,23
C14783,ふるさと 再生 日本の昔ばなし,2012-04-01,564,15
C14784,ポヨポヨ　観察日記,2012-01-08,47,9
C14785,マジでオタクなイングリッシュ! りぼんちゃん 英語で戦う魔法少女 the TV,2012-07-31,12,39
C14786,松本零士 オズマ,2012-03-17,6,8
C14787,muv-luv alternative TOTAL ECLIPSE,2012-07-02,26,33
C14788,めだか ボックス アブノーマル,2012-10-11,12,15
C14789,メタルファイト ベイブレード ZEROG[ゼロジー],2012-04-08,38,26
C14790,もやしもん リターンズ TALES OF AGRICULTURE,2012-07-06,11,32
C14791,遊★戯★王ゼアルⅡ[セカンド] ZEXAL,2012-10-04,76,21
C14792,ゆるめいつ　3でぃ　PLUS,2012-07-03,13,14
C14793,ヨルムンガンド,2012-04-11,12,7
C14794,ヨルムンガンド PERFECT ORDER,2012-10-03,13,21
C14795,ライチ　☆[DE]　光クラブ,2012-10-02,8,14
C14796,リコーダーと　ランドセル　レ♪,2012-04-04,13,15
C14797,リトル・チャロ　～東北編～,2012-03-30,13,13
C14799,あいうら,2013-04-10,12,4
C14800,アウトブレイク・ カンパニー,2013-10-04,12,14
C14801,蒼き鋼の アルペジオ -ARS NOVA-,2013-10-08,12,21
C14802,惡の華,2013-04-05,13,3
C14803,アニメ　おしりかじり虫[第2期],2013-09-30,32,16
C14804,AMNESIA,2013-01-07,12,7
C14806,石田 と あさくら,2013-04-06,13,9
C14808,イナズマイレブン GO ギャラクシー,2013-05-08,43,18
C14809,犬とハサミは 使いよう,2013-07-02,12,11
C14810,IS インフィニット・ストラトス 2,2013-10-04,12,18
C14811,ウサビッチ[第5期],2012-12-13,14,10
C14812,宇宙戦艦 ヤマト 2199,2013-04-07,26,13
C14813,うっかりペネロペ,2013-07-02,13,8
C14814,俺の妹がこんなに　可愛いわけがない　[TRUE ROUTE スペシャル版],2012-12-06,4,37
C14815,俺の彼女と 幼なじみが 修羅場すぎる,2012-12-30,14,18
C14816,俺の脳内選択肢が、学園ラブコメを全力で邪魔している,2013-10-10,10,25
C14817,CARDFIGHT!! ヴァンガード リンクジョーカー編,2013-01-13,59,28
C14818,カーニヴァル,2013-04-04,13,6
C14819,ガイスト クラッシャー,2013-10-02,36,11
C14820,ガリレイドンナ Storia di tre sorelle a caccia di un mistero,2013-10-11,11,52
C14821,ガンダム ビルドファイターズ,2013-10-07,25,14
C14822,がんばれ! おでんくん LILY FRANKY PRESENTS The Adventure of Oden-kun,2013-01-12,103,58
C14824,がんばれ! ルル ロロ TINY★TWIN★BEARS,2013-01-17,26,27
C14825,君のいる町,2013-07-13,12,5
C14826,境界の彼方,2013-10-03,12,5
C14827,京騒戯画,2013-10-03,13,4
C14828,きょうの料理　ビギナーズ　[第7期],2013-12-02,32,18
C14829,キルラキル,2013-10-04,24,5
C14830,銀河機攻隊 マジェスティック プリンス,2013-04-04,25,19
C14831,ぎんぎつね,2013-10-07,12,5
C14832,キングダム[第1期][総集編],2013-03-04,13,15
C14833,キングダム[第2期],2013-06-08,39,10
C14834,銀の匙 Silver Spoon,2013-07-12,11,16
C14835,GJ部[グッジョぶ],2013-01-10,12,10
C14836,黒子の バスケ[第2期],2013-10-01,26,12
C14837,血液型くん!,2013-04-07,13,6
C14839,幻影ヲ駆ケル太陽 il sole penetra le illusioni,2013-06-28,14,37
C14840,ゴールデンタイム,2013-10-04,24,8
C14842,古代紀行ドキュメンタリー　古事記の世界　CGアニメでひも解く　日本誕生物語[実写併用],2013-06-22,2,43
C14843,COPPELION,2013-10-02,13,9
C14844,The hired gun 殺し屋 さん,2013-10-11,10,20
C14845,サーバント×サービス,2013-07-05,14,10
C14846,最強銀河 究極[アルティメット] ゼロ バトルスピリッツ,2013-09-15,50,28
C14847,サムライフラメンコ,2013-10-11,22,9
C14848,島耕作の　アジア立志伝[第1期],2013-03-28,9,16
C14849,島耕作の アジア立志伝[第2期],2013-11-13,10,16
C14850,ジュエルペット ハッピネス,2013-04-06,52,13
C14851,翠星のガルガンティア,2013-04-09,13,10
C14852,Super Seishun Brothers -超青春姉弟s-,2013-09-14,14,31
C14853,すすめ! キッチン戦隊 クックルン,2013-04-01,20,17
C14854,ステラ 女学院高等科 C3〔しーきゅーぶ〕※,2013-07-05,13,22
C14855,ストライク・ザ・ブラッド,2013-10-04,25,12
C14856,スパロウズ　ホテル　[第1期],2013-04-09,6,15
C14857,スパロウズ　ホテル　[第2期],2013-05-21,6,15
C14858,生徒会の一存 Lv.2,2013-01-10,10,11
C14859,声優戦隊 ボイストーム7,2013-10-06,8,12
C14860,世界で いち ばん 強く なりたい!,2013-10-06,12,18
C14861,絶対防衛 レヴィアタン,2013-04-06,14,11
C14862,"戦姫絶唱 シンフォギアG In the distance,that day,when the star become music.",2013-07-05,13,65
C14863,戦勇。[第1期],2013-01-09,13,8
C14864,戦勇。[第2期],2013-07-03,13,8
C14865,大怪獣ラッシュ ULTRA FRONTIER,2013-09-18,5,22
C14866,ダイヤのA[エース],2013-10-06,75,10
C14867,D.C.Ⅲ ～ダ・カーポⅢ～,2013-01-05,13,14
C14868,鷹の爪 MAX,2013-04-05,32,7
C14869,たまごっち! みらくるフレンズ,2013-09-05,29,15
C14870,ダンガンロンパ THE ANIMATION 希望の学園と絶望の高校生,2013-07-05,13,34
C14871,探検 ドリランド -1000年の真宝[まほう]-,2013-04-06,51,24
C14872,断裁分離の クライムエッジ,2013-04-06,13,13
C14873,団地 ともお,2013-03-16,48,6
C14875,はいたい七葉　[第2期],2013-04-06,13,12
C14877,爆TECH! 爆丸 ガチ,2013-04-06,39,12
C14878,幕末義人伝 浪漫,2013-01-08,12,8
C14879,はじめの 一歩 THE FIGHTING! Rising,2013-10-06,25,28
C14881,八犬伝 -東方八犬異聞-,2013-01-06,13,12
C14882,八犬伝　-東方八犬異聞-[第2期],2013-07-07,13,17
C14884,バトルスピリッツ ソードアイズ 激闘伝,2013-04-07,21,19
C14885,はなかっぱ[第4期],2013-04-01,40,10
C14887,ハヤテのごとく! Hayate the combat butler Cuties,2013-04-02,13,40
C14888,BEAST SAGA,2013-01-13,38,10
C14889,びじゅチューン!,2013-01-29,50,8
C14890,ひだまり　スケッチ　沙英・ヒロ　卒業編,2013-11-30,2,19
C14891,ビビッドレッド オペレーション,2013-01-04,13,15
C14892,ファイ・ブレイン 神のパズル[第3期],2013-10-06,25,19
C14893,ファンタジスタドール,2013-07-07,12,10
C14894,フォトカノ,2013-04-05,13,5
C14895,ふたりは ミルキィホームズ,2013-07-06,13,13
C14896,BROTHERS CONFLICT,2013-07-02,12,17
C14897,ブラッドラッド,2013-07-08,10,7
C14898,フリージング ヴァイブレーション,2013-10-04,12,16
C14899,プリティー リズム レインボーライブ,2013-04-06,51,18
C14900,フルーティー侍,2013-08-31,12,7
C14901,BLAZ*BLUE ALTER MEMORY,2013-10-09,12,22
C14902,変態王子と 笑わない猫。,2013-04-13,12,12
C14903,僕の妹は 大阪 おかん,2012-12-22,12,11
C14904,ぼくは王さま,2013-04-06,14,6
C14905,ポケットモンスター XY,2013-10-10,99,12
C14906,ポケットモンスター THE ORIGIN,2013-10-02,4,20
C14907,まおゆう 魔王 勇者,2013-01-10,13,10
C14908,魔界王子 devils and realist,2013-07-08,12,23
C14909,マギ The kingdom of magic,2013-10-06,25,23
C14910,マジでオタクなイングリッシュ! りぼんちゃん 英語で戦う魔法少女 the TV[第2期],2013-07-06,10,44
C14911,マジンガーZIP!,2013-04-08,159,9
C14912,機巧少女は 傷つかない Unbreakable Machine-Doll,2013-09-30,13,36
C14913,まん がーる!,2013-01-03,13,7
C14914,ミス・モノクローム -The Animation-,2013-10-02,12,25
C14915,みに ヴぁん mini vanguard,2013-04-06,37,20
C14916,ムシブギョー 蟲奉行,2013-04-08,26,10
C14917,迷宮家族,2013-12-03,12,4
C14918,メガネブ!,2013-10-07,12,5
C14919,[〈物　語 〉 モノガタリ　シリーズ セカンドシーズン],2013-07-07,26,28
C14920,問題児たちが 異世界から来る そうですよ?,2013-01-12,10,21
C14921,やはり俺の 青春ラブコメは 間違っている。,2013-04-05,13,21
C14922,ヤマノススメ,2013-01-03,12,6
C14923,闇 芝* 居,2013-07-15,13,6
C14924,勇しぶ。 勇者に なれなかった俺は しぶしぶ就職を決意しました。,2013-10-05,12,32
C14925,夜桜四重奏 -ヨザクラカルテット- ハナノウタ,2013-10-06,13,23
C14927,弱虫ペダル,2013-10-08,38,5
C14928,よんでますよ、 アザゼルさん。Z,2013-04-07,13,16
C14929,LINE TOWN,2013-04-03,62,9
C14931,ラブライブ! School idol project,2013-01-06,13,26
C14932,恋愛 ラボ,2013-07-05,13,5
C14933,LOVELY❤ムービー いとしのムーコ Lovely Muuuuuuuco! The happy and daily life of Muco and Komatsu san!,2013-07-29,20,88
C14934,Liv ＆ Bell,2013-02-15,1,10
C14937,RDG レッドデータガール,2013-04-04,12,13
C14938,ログ・ホライズン,2013-09-22,28,8
C14939,ローゼン メイデン,2013-07-05,13,9
C14941,ワルキューレロマンツェ,2013-10-07,12,11
C14942,［ポケットモンスター ベストウイッシュ 特別編］,2014-03-27,1,24
C14943,47都道府犬 Ｒ,2014-01-12,36,8
C14944,Bｌａｄｅ ＆ Sｏｕｌ,2014-04-04,13,12
C14945,CARDFIGHT!! ヴァンガード レギオンメイト編,2014-03-09,33,27
C14946,DRAMAtical Murder,2014-07-07,12,17
C14947,神々の悪戯[あそび],2014-04-06,12,10
C14948,人生相談 テレビアニメーション 人生,2014-07-06,13,18
C14949,世界征服 謀略のズヴィズダー,2014-01-12,12,14
C14950,星刻の竜騎士[ドラグナー],2014-04-05,12,13
C14951,生徒会 役員共＊,2014-01-04,14,8
C14952,黒執事 Book of Circus,2014-07-04,11,18
C14953,最近、 妹のようすが ちょっと おかしい んだが｡,2014-01-04,12,25
C14954,咲 Saki 全国編,2014-01-06,13,10
C14955,桜Trick,2014-01-10,12,6
C14956,残響の テロル,2014-07-11,11,7
C14957,召しませ ロードス島 戦記 それって おいしいの?,2014-04-06,13,25
C14958,精霊使いの剣舞,2014-07-14,15,7
C14965,暴れん坊力士!! 松太郎,2014-04-06,23,12
C14966,僕らはみんな 河合荘,2014-04-04,12,10
C14967,魔法科高校の 劣等生,2014-04-06,26,10
C14968,魔法少女大戦,2014-04-08,26,6
C14969,魔法戦争,2014-01-10,12,4
C14970,毎度! 浦安鉄 筋家族,2014-07-06,25,11
C14971,幕末 Ｒｏｃｋ,2014-07-02,12,7
C14972,未確認で進行形,2014-01-09,12,7
C14973,FAIRY TAIL［第2期］,2014-04-05,102,15
C14974,Fate/kaleid liner プリズマ ★イリヤ 2ｗｅｉ!,2014-07-10,10,33
C14975,Ｆｒｅｅ! Eternal Summer,2014-07-03,12,20
C14976,Go♪ Go♪ 575,2014-01-10,4,11
C14977,Go-Go たまごっち!,2014-04-03,75,12
C14978,LO*VE STAGE!!,2014-07-10,10,13
C14979,Ｍ３ ソノ黑キ鋼,2014-04-22,24,8
C14980,MARVEL ディスク・ウォーズ アベンジャーズ,2014-04-02,51,24
C14981,P4GA persona4 the Golden ANIMATION,2014-07-11,12,34
C14982,PSYCHO-PASS［新編集版］,2014-07-11,10,17
C14983,ｐｕｐａ,2014-01-10,12,4
C14984,ＲＡＩＬＷＡＲＳ!,2014-07-04,12,9
C14985,Ｒｅ:［* HAMATORA リプライハマトラ,2014-07-08,12,23
C14986,ｓｅｌｅｃｔｏｒ infected WIXOSS,2014-04-04,12,24
C14987,SOUL EATER NOT！,2014-04-02,13,15
C14988,STRANGE +,2014-01-03,13,9
C14989,survival game club! さばげぶっ!,2014-07-06,12,26
C14990,TERRA FORMARS,2014-09-27,13,13
C14991,Wake Up， Girls!,2014-01-11,12,15
C14992,Z/X IGNITION,2014-01-10,12,12
C14993,ΛLDNOΛH. ZERO,2014-07-06,12,13
C14994,アオハライド THE SCENT OF AIR AFTER THE RAIN… I HEARD YOUR PULSE. I SAW THE LIGHT.,2014-07-08,12,76
C14995,アカメが斬る!,2014-07-07,24,7
C14996,いなり､こんこん､ 恋いろは｡,2014-01-16,10,15
C14997,ウィザード･バリスターズ 弁魔士セシル,2014-01-13,12,19
C14998,ウィッチクラフトワークス,2014-01-05,12,12
C14999,うーさーの その日暮らし 覚醒編,2014-01-08,12,16
C15000,エスカ＆ロジーのアトリエ ～黄昏の空の錬金術士～,2014-04-10,12,24
C15001,おじゃる丸［第17期］,2014-04-01,70,11
C15002,オレカバトル,2014-04-07,51,6
C15003,お姉ちゃんが来た,2014-01-09,12,8
C15004,ガイスト クラッシャー ゴッド編,2014-06-25,15,16
C15005,カリーノ コニ,2014-04-02,36,7
C15006,ガンダムさん,2014-07-06,26,6
C15007,"キャプテン･アース WHEN I OPENED THE DOOR CALLED TRUTH, MY CHILDHOOD ENDED. IT WAS A SUMMER I COULD NEVER FORGET.",2014-04-06,25,104
C15008,くつだる｡,2014-04-02,32,5
C15009,グラスリップ,2014-07-03,13,6
C15010,ケロロ,2014-03-22,24,3
C15011,ご注文は うさぎ ですか？,2014-04-10,12,13
C15012,シドニアの騎士,2014-04-11,12,7
C15013,ジョジョの 奇妙な冒険 スターダストクルセイダース,2014-04-05,24,25
C15014,スペース★ダンディ［第1期］,2013-12-28,14,14
C15015,スペース★ダンディ［第2期］,2014-07-14,12,14
C15016,ソードアート･オンラインⅡ,2014-07-05,25,13
C15017,そに○アニ SUPER SONICO THE ANIMATION,2014-01-06,12,32
C15018,それでも世界は美しい,2014-04-06,12,10
C15019,ちょぼらうにょぽみ劇場 第二幕 あいまいみー ～妄想カタストロフ～,2014-07-01,13,33
C15020,ディーふらぐ! D-FRAGMENTS,2014-01-07,12,19
C15021,デート･ア･ライブⅡ,2014-04-12,10,10
C15022,てさぐれ！ 部活もの あんこーる,2014-01-12,12,16
C15023,デュエル･マスターズ VS,2014-04-05,49,13
C15024,テンカイナイト,2014-04-05,51,7
C15025,とある 飛空士への 恋歌,2014-01-06,13,12
C15026,となりの関くん,2014-01-06,13,7
C15027,となりの関くん［地上波未放映版］,2014-05-02,8,16
C15028,トライブ クルクル,2014-09-28,50,9
C15029,ドラゴン コレクション,2014-04-07,51,11
C15030,ニセコイ,2014-01-12,20,4
C15031,にゃ～めん,2014-01-12,22,5
C15032,のうりん,2014-01-11,12,4
C15033,ノーゲーム ・ ノーライフ,2014-04-09,12,13
C15034,ノブナガ･ザ･フール,2014-01-06,24,10
C15035,ノブナガン,2014-01-05,13,5
C15036,ノラガミ,2014-01-05,12,4
C15037,ハイキュー!!,2014-04-06,25,7
C15038,バディ☆ コンプレックス,2014-01-06,13,12
C15039,ハナヤマタ,2014-07-08,12,5
C15040,ハピネスチャージプリキュア!,2014-02-02,49,14
C15041,ハマトラ THE ANIMATION,2014-01-08,12,18
C15042,ばらかもん,2014-07-06,12,5
C15043,ヒーローバンク,2014-04-07,51,7
C15044,ひめゴト SECRET PRINCESS HIMEGOTO,2014-07-07,13,29
C15045,ピンポン THE ANIMATION,2014-04-11,11,18
C15046,プピポー!,2013-12-21,15,5
C15047,フューチャーカード バディファイト,2014-01-04,65,17
C15048,ブラック･ブレッド [黒の銃弾],2014-04-08,13,16
C15049,プリ❤パラ,2014-07-05,127,5
C15050,ベイビーステップ,2014-03-28,26,8
C15051,マケン姫っ! 通,2014-01-16,10,8
C15052,まじもじ るるも,2014-07-09,12,8
C15053,マジンボーン,2014-04-01,52,6
C15054,マンガ家さんと アシスタントさんと THE ANIMATION,2014-04-08,12,31
C15055,メカクシティアクターズ,2014-04-13,12,11
C15056,モモキュン ソード,2014-07-09,12,9
C15057,ヤマノススメ セカンドシーズン,2014-07-02,27,15
C15058,ラブライブ! School idol project［第2期］,2014-03-30,14,31
C15059,レディ ジュエルペット,2014-04-05,52,11
C15060,ロボットガールズ Z,2013-12-06,6,10
C15061,悪魔の リドル riddle story of devil,2014-04-04,12,29
C15062,一週間 フレンズ｡,2014-04-07,12,9
C15063,棺姫のチャイカ,2014-04-10,12,7
C15064,鬼灯の 冷徹,2014-01-10,13,6
C15065,極黒のブリュンヒルデ,2014-04-06,13,10
C15066,金色のコルダ Blue♪Sky,2014-04-06,12,15
C15067,金田一少年の 事件簿Ｒ[リターンズ],2014-04-05,25,18
C15068,銀の匙 Silver Spoon［第2期］,2014-01-10,11,21
C15069,月刊 少女 野崎くん,2014-07-07,12,10
C15070,健全ロボ ダイミダラー,2014-04-05,12,11
C15071,犬神さんと猫山さん,2014-04-04,13,9
C15072,少年ハリウッド - HOLLY STAGE FOR 49 -,2014-07-06,13,30
C15073,信長協奏曲,2014-07-12,10,5
C15074,真[SIN]ストレンジ+プラス,2014-07-04,13,15
C15075,戦国 BASARA Judge End,2014-07-06,12,19
C15076,団地 ともお［第2期］,2014-04-12,90,11
C15077,中二病でも 恋がしたい! 戀,2014-01-09,12,14
C15078,超爆裂異次元メンコバトル ギガントシューターつかさ,2014-04-01,32,25
C15079,東京ESP,2014-07-12,11,5
C15080,東京喰種 トーキョーグール,2014-07-04,12,13
C15081,忍たま 乱太郎［第22期］,2014-04-01,75,13
C15082,白銀の意思 アルジェヴォルン,2014-07-03,25,14
C15083,彼女がフラグを おられたら,2014-04-07,13,13
C15084,普通の女子校生が 【ろこどる】 やってみた。,2014-07-04,12,22
C15085,風雲維新 ダイ☆ショーグン,2014-04-10,12,13
C15086,遊★戯★王アーク･ファイブ ARC-V,2014-03-30,137,19
C15087,妖怪ウォッチ,2014-01-08,374,6
C15088,龍ヶ嬢七々々の 埋蔵金,2014-04-11,11,11
C15089,六畳間の侵略者!?,2014-07-05,13,9
C15090,蟲 師 ［続章］,2014-04-05,12,8
C15091,いない いない ばあっ![第4期],1999-12-13,36,17
C15092,いない いない ばあっ![第5期],2000-04-03,66,17
C15094,バットマン THE ANIMATED SERIES,2000-08-07,26,25
C15232,ダンジョンに出会いを 求める のは間違っているだろうか FAMILIA MYTH,2015-04-04,13,40
C15233,旦那が何を言っているか わからない件 2スレ目,2015-04-03,13,23
C15234,MONSTER・HIGH こわ・イケガールズ,2014-10-22,8,22
C15235,PSYCHO-PASS 2,2014-10-10,11,13
C15236,俺物語!!,2015-04-09,24,5
C15237,がっこうぐらし! SCHOOL-LIVE!,2015-07-09,12,21
C15238,GATCHAMAN CROWDS in sight,2015-07-05,12,25
C15239,ピクレレ めざせ! ウクレレピクニック イン ハワイ,2013-12-07,15,26
C15240,ふうせんいぬ ティニー,2014-09-26,15,11
C15241,てーきゅう[第4期],2015-04-07,12,10
C15242,THE iDOLM@STER シンデレラガールズ[第2期],2015-07-18,14,29
C15243,実は私は I am…,2015-07-07,13,10
C15244,下ネタという 概念が存在しない 退屈な世界,2015-07-02,13,21
C15245,Charlotte,2015-06-27,14,9
C15247,NHKスペシャル 故宮 TREASURES OF IMPERIAL CHINA,2014-06-28,2,39
C15248,おにく だいすき! ゼウシくん,2014-01-06,12,15
C15249,終物語[オワリモノ ガタリ],2015-10-04,25,14
C15250,血液型くん! 3,2015-10-13,24,8
C15270,はりきり体育ノ介　[第1期],2014-03-26,10,14
C15271,まじっく快斗 1412,2014-10-04,24,11
C15272,ログ・ホライズン　[第2期],2014-09-28,26,14
C15273,ワールドトリガー,2014-10-05,75,8
C15274,愛天地無用!,2014-10-06,60,6
C15275,異能バトルは日常系のなかで,2014-10-07,12,13
C15276,山田くんと7人の魔女,2015-04-05,13,10
C15277,レーカン!,2015-04-03,13,5
C15278,"ローリング☆ガールズ Rolling, Falling, Scrambling. For others. For themselves",2015-01-11,12,67
C15279,わかば・ガール,2015-07-03,13,7
C15280,おはよう ハクション 大魔王,2014-03-31,182,14
C15281,おへんろ。 - 八十八歩記 - [はちはちあるき],2014-05-03,34,25
