年代,アニメ作品ID,アニメ作品の合計話数
1995,C9827,13
1995,C9829,5
1995,C9831,13
1995,C9833,12
1995,C9835,12
1995,C9837,12
1995,C9841,10
1995,C9843,10
1995,C9845,24
1995,C9847,10
1995,C9849,10
1995,C9851,10
1995,C9853,21
1995,C9855,9
1995,C9857,18
1995,C9861,19
1995,C9863,9
1995,C9865,16
1995,C9867,5
1995,C9869,9
1995,C9875,1
1995,C9877,39
2000,C10001,24
2000,C10003,26
2000,C10005,6
2000,C10006,120
2000,C10008,38
2000,C10010,13
2000,C10012,75
2000,C10014,24
2000,C10016,20
2000,C10018,20
2000,C10020,50
2000,C10022,65
2000,C10024,22
2000,C10026,171
2000,C10028,13
2000,C10030,13
2000,C10032,20
2000,C10034,26
2000,C10038,26
2000,C10042,65
2000,C10051,13
2000,C10053,26
2000,C10054,10
2000,C10056,50
2000,C10060,20
2000,C10062,51
2000,C10066,2
2000,C10068,1
2000,C10072,26
2000,C10074,31
2000,C10076,13
2000,C10078,52
2000,C10080,51
2000,C10082,13
2000,C10086,26
2000,C10088,26
2000,C10090,24
2000,C10092,13
2000,C10094,13
2000,C10096,13
2000,C10098,27
2000,C10100,4
2000,C10102,38
2000,C10104,26
2000,C10106,13
2000,C10109,23
2000,C10111,12
2000,C10113,12
2000,C10115,50
2000,C10117,30
2000,C10119,26
2000,C10121,30
2000,C10123,28
2000,C10125,39
2000,C10127,14
2000,C10129,15
2000,C10131,13
2000,C10133,13
2000,C10135,65
2000,C10137,26
2000,C10139,27
2000,C10141,12
2000,C10143,13
2000,C10145,61
2000,C10147,11
2000,C10149,23
2000,C10151,14
2000,C10153,3
2000,C10157,4
2000,C10161,25
2000,C10163,26
2000,C10165,65
2000,C10167,8
2000,C10169,51
2000,C10171,24
2000,C10173,12
2000,C10175,14
2000,C10177,12
2000,C10179,17
2000,C10181,13
2000,C10183,100
2000,C10185,13
2000,C10187,26
2000,C10189,52
2000,C10191,68
2000,C10193,166
2000,C10195,76
2000,C10197,13
2000,C10199,23
2000,C10201,12
2000,C10203,26
2000,C10205,28
2000,C10207,51
2000,C10211,50
2000,C10215,5
2000,C10217,10
2000,C10221,26
2000,C10223,13
2000,C10229,34
2000,C10231,27
2000,C10233,48
2000,C10235,51
2000,C10237,14
2000,C10239,24
2000,C10241,51
2000,C10243,12
2000,C10245,25
2000,C10247,26
2000,C10248,13
2000,C10250,4
2000,C10252,16
2000,C10254,52
2000,C10256,26
2000,C10258,25
2000,C10260,25
2000,C10262,25
2000,C10264,52
2000,C10267,24
2000,C10272,50
2000,C10274,49
2000,C10276,26
2000,C10278,52
2000,C10280,26
2000,C10282,24
2000,C10284,13
2000,C10286,32
2000,C10288,13
2000,C10290,13
2000,C10292,10
2000,C10294,13
2000,C10296,116
2000,C10298,13
2000,C10300,73
2000,C10302,13
2000,C10304,51
2000,C10306,18
2000,C10308,26
2000,C10312,56
2000,C10314,13
2000,C10318,12
2000,C10320,26
2000,C10322,13
2000,C10324,53
2000,C10326,45
2000,C10330,26
2000,C10332,13
2000,C10334,90
2000,C10336,26
2000,C10338,26
2000,C10340,13
2000,C10342,39
2000,C10344,52
2000,C10346,26
2000,C10348,52
2000,C10350,52
2000,C10352,50
2000,C10354,53
2000,C10356,50
2000,C10358,26
2000,C10360,26
2000,C10362,24
2000,C10364,247
2000,C10366,13
2000,C10368,22
2000,C10370,40
2000,C10372,13
2000,C10374,82
2000,C10376,14
2000,C10378,26
2000,C10380,13
2000,C10382,26
2000,C10384,26
2000,C10386,38
2000,C10388,39
2000,C10390,12
2000,C10392,26
2000,C10398,41
2000,C10400,26
2000,C10402,13
2000,C10404,50
2000,C10406,13
2000,C10408,15
2000,C10410,27
2000,C10412,26
2000,C10415,26
2000,C10417,36
2000,C10419,30
2000,C10421,13
2000,C10423,47
2000,C10426,15
2000,C10428,28
2000,C10430,109
2000,C10432,14
2000,C10436,14
2000,C10438,6
2000,C10440,82
2000,C10444,13
2000,C10446,13
2000,C10448,12
2000,C10450,12
2000,C10452,13
2000,C10454,13
2000,C10456,26
2000,C10458,13
2000,C10460,13
2000,C10462,8
2000,C10464,26
2000,C10468,13
2000,C10470,13
2000,C10472,13
2000,C10474,12
2000,C10476,51
2000,C10478,12
2000,C10480,53
2000,C10482,52
2000,C10484,12
2000,C10488,12
2000,C10490,13
2000,C10492,50
2000,C10494,50
2000,C10496,130
2000,C10498,11
2000,C10504,24
2000,C10506,27
2000,C10508,26
2000,C10510,26
2000,C10512,35
2000,C10514,26
2000,C10516,52
2000,C10518,13
2000,C10520,26
2000,C10522,52
2000,C10524,52
2000,C10527,13
2000,C10529,26
2000,C10531,51
2000,C10532,88
2000,C10534,52
2000,C10536,52
2000,C10538,12
2000,C10540,26
2000,C10542,12
2000,C10544,52
2000,C10546,13
2000,C10548,26
2000,C10550,26
2000,C10552,26
2000,C10553,19
2000,C10555,20
2000,C10557,24
2000,C10559,20
2000,C10561,40
2000,C10565,2
2000,C10567,12
2000,C10569,90
2000,C10571,82
2000,C10573,13
2000,C10575,16
2000,C10577,13
2000,C10579,12
2000,C10581,12
2000,C10583,25
2000,C10585,12
2000,C10590,13
2000,C10592,12
2000,C10594,26
2000,C10596,13
2000,C10598,13
2000,C10600,12
2000,C10602,13
2000,C10606,4
2000,C10608,2
2000,C10616,11
2000,C10620,26
2000,C10622,13
2000,C10628,18
2000,C10630,13
2000,C10632,12
2000,C10634,15
2000,C10636,26
2000,C10638,26
2000,C10640,12
2000,C10642,10
2000,C10647,13
2000,C10649,25
2000,C10651,26
2000,C10653,13
2000,C10655,13
2000,C10657,52
2000,C10659,26
2000,C10661,14
2000,C10663,26
2000,C10665,11
2000,C10667,26
