マンガ作品ID,マンガ各話ID,掲載日,掲載位置,アニメ化,マンガ雑誌名
C110947,CE177288,2014-11-19,0.9617117117117115,False,週刊少年マガジン
C110950,CE177216,2014-11-05,0.0200892857142857,False,週刊少年マガジン
C110950,CE177244,2014-11-12,0.1736111111111111,False,週刊少年マガジン
C110950,CE177272,2014-11-19,0.295045045045045,False,週刊少年マガジン
C110950,CE177301,2014-11-26,0.4884259259259259,False,週刊少年マガジン
C110950,CE177330,2014-12-03,0.6627906976744186,False,週刊少年マガジン
C110950,CE177343,2014-12-10,0.2060185185185185,False,週刊少年マガジン
C110950,CE177344,2014-12-10,0.2523148148148148,False,週刊少年マガジン
C110950,CE179239,2015-01-01,0.6704035874439462,False,週刊少年マガジン
C110958,CE178174,2015-01-01,0.0179640718562874,False,週刊少年ジャンプ
C110958,CE178199,2015-01-08,0.1820040899795501,False,週刊少年ジャンプ
C110958,CE178223,2015-01-15,0.2720156555772994,False,週刊少年ジャンプ
C110958,CE178245,2015-01-21,0.3213572854291417,False,週刊少年ジャンプ
C110958,CE178277,2015-01-28,0.2770137524557957,False,週刊少年ジャンプ
C110958,CE178301,2015-02-02,0.3513513513513513,False,週刊少年ジャンプ
C110958,CE178327,2015-02-09,0.4989648033126294,False,週刊少年ジャンプ
C110958,CE178346,2015-02-16,0.348643006263048,False,週刊少年ジャンプ
C110975,CE178108,2014-11-13,0.0068649885583524,False,週刊少年チャンピオン
C110975,CE178134,2014-11-20,0.3151927437641723,False,週刊少年チャンピオン
C110975,CE178160,2014-11-27,0.5192743764172335,False,週刊少年チャンピオン
C110975,CE181828,2014-12-04,0.3120728929384966,False,週刊少年チャンピオン
C110975,CE181847,2014-12-11,0.2121212121212121,False,週刊少年チャンピオン
C110975,CE181873,2014-12-25,0.2290249433106576,False,週刊少年チャンピオン
C110975,CE181897,2015-01-08,0.3286052009456264,False,週刊少年チャンピオン
C110975,CE181917,2015-01-15,0.2589073634204275,False,週刊少年チャンピオン
C110976,CE178129,2014-11-20,0.0068027210884353,False,週刊少年チャンピオン
C110976,CE178158,2014-11-27,0.3922902494331066,False,週刊少年チャンピオン
C110976,CE181832,2014-12-04,0.489749430523918,False,週刊少年チャンピオン
C110976,CE181860,2014-12-11,0.6596736596736597,False,週刊少年チャンピオン
C110976,CE181883,2014-12-25,0.6643990929705216,False,週刊少年チャンピオン
C110976,CE181908,2015-01-08,0.7825059101654847,False,週刊少年チャンピオン
C110976,CE181929,2015-01-15,0.8052256532066508,False,週刊少年チャンピオン
C110976,CE181948,2015-01-22,0.7040572792362768,False,週刊少年チャンピオン
C110978,CE178152,2014-11-27,0.0340136054421768,False,週刊少年チャンピオン
C110978,CE181823,2014-12-04,0.0888382687927107,False,週刊少年チャンピオン
C110978,CE181857,2014-12-11,0.5151515151515151,False,週刊少年チャンピオン
C110978,CE181882,2014-12-25,0.6145124716553289,False,週刊少年チャンピオン
C110978,CE181903,2015-01-08,0.574468085106383,False,週刊少年チャンピオン
C110978,CE181921,2015-01-15,0.4156769596199525,False,週刊少年チャンピオン
C110978,CE181938,2015-01-22,0.2553699284009546,False,週刊少年チャンピオン
C110978,CE181974,2015-01-29,0.7494089834515366,False,週刊少年チャンピオン
C110985,CE180446,2014-12-03,0.0334645669291338,False,週刊少年サンデー
C110985,CE180474,2014-12-10,0.1524390243902439,False,週刊少年サンデー
C110985,CE180504,2014-12-24,0.3315217391304347,False,週刊少年サンデー
C110985,CE180531,2015-01-07,0.1988847583643122,False,週刊少年サンデー
C110985,CE180558,2015-01-14,0.1219008264462809,False,週刊少年サンデー
C110985,CE180594,2015-01-21,0.2710084033613445,False,週刊少年サンデー
C110985,CE180618,2015-01-28,0.074,False,週刊少年サンデー
C110985,CE180651,2015-02-04,0.1957364341085271,False,週刊少年サンデー
C110987,CE180473,2014-12-10,0.0304878048780487,False,週刊少年サンデー
C110987,CE180501,2014-12-24,0.1793478260869565,False,週刊少年サンデー
C110987,CE180532,2015-01-07,0.2360594795539033,False,週刊少年サンデー
C110987,CE180567,2015-01-14,0.365702479338843,False,週刊少年サンデー
C110987,CE180595,2015-01-21,0.3130252100840336,False,週刊少年サンデー
C110987,CE180629,2015-01-28,0.442,False,週刊少年サンデー
C110987,CE180653,2015-02-04,0.2732558139534883,False,週刊少年サンデー
C110987,CE180698,2015-02-11,0.7151639344262295,False,週刊少年サンデー
C110989,CE180499,2014-12-24,0.0452898550724637,False,週刊少年サンデー
C110989,CE180528,2015-01-07,0.0762081784386617,False,週刊少年サンデー
C110989,CE180559,2015-01-14,0.1632231404958677,False,週刊少年サンデー
C110989,CE180588,2015-01-21,0.0735294117647058,False,週刊少年サンデー
C110989,CE180621,2015-01-28,0.158,False,週刊少年サンデー
C110989,CE180647,2015-02-04,0.0562015503875969,False,週刊少年サンデー
C110989,CE180688,2015-02-11,0.3463114754098361,False,週刊少年サンデー
C110989,CE180719,2015-02-18,0.4216101694915254,False,週刊少年サンデー
C110993,CE179274,2015-01-15,0.0185185185185185,False,週刊少年マガジン
C110993,CE179302,2015-01-22,0.0852534562211981,False,週刊少年マガジン
C110993,CE179335,2015-01-29,0.4638009049773756,False,週刊少年マガジン
C110993,CE179350,2015-02-04,0.0919282511210762,False,週刊少年マガジン
C110993,CE179386,2015-02-11,0.3941441441441441,False,週刊少年マガジン
C110993,CE179424,2015-02-18,0.9004629629629629,False,週刊少年マガジン
C110993,CE179438,2015-02-25,0.46,False,週刊少年マガジン
C110993,CE179439,2015-02-25,0.5088888888888888,False,週刊少年マガジン
C110995,CE181913,2015-01-15,0.01187648456057,False,週刊少年チャンピオン
C110995,CE181937,2015-01-22,0.198090692124105,False,週刊少年チャンピオン
C110995,CE181968,2015-01-29,0.4657210401891253,False,週刊少年チャンピオン
C110995,CE181986,2015-02-05,0.269689737470167,False,週刊少年チャンピオン
C110995,CE182020,2015-02-12,0.7708830548926014,False,週刊少年チャンピオン
C110995,CE182041,2015-02-19,0.7314148681055156,False,週刊少年チャンピオン
C110995,CE182061,2015-02-26,0.52,False,週刊少年チャンピオン
C110995,CE182078,2015-03-05,0.2887828162291169,False,週刊少年チャンピオン
C110998,CE181964,2015-01-29,0.3806146572104019,False,週刊少年チャンピオン
C110998,CE181965,2015-01-29,0.3900709219858156,False,週刊少年チャンピオン
C110998,CE181966,2015-01-29,0.3995271867612293,False,週刊少年チャンピオン
C110998,CE181987,2015-02-05,0.3174224343675417,False,週刊少年チャンピオン
C110998,CE182015,2015-02-12,0.5608591885441527,False,週刊少年チャンピオン
C110998,CE182028,2015-02-19,0.1510791366906475,False,週刊少年チャンピオン
C110998,CE182054,2015-02-26,0.3176470588235294,False,週刊少年チャンピオン
C110998,CE182091,2015-03-05,0.8568019093078759,False,週刊少年チャンピオン
C111000,CE181995,2015-02-05,0.6372315035799523,False,週刊少年チャンピオン
C111000,CE182023,2015-02-12,0.8997613365155132,False,週刊少年チャンピオン
C111000,CE182047,2015-02-19,0.947242206235012,False,週刊少年チャンピオン
C111000,CE182069,2015-02-26,0.9152941176470588,False,週刊少年チャンピオン
C111000,CE182090,2015-03-05,0.8090692124105012,False,週刊少年チャンピオン
C111000,CE182117,2015-03-12,0.9477434679334916,False,週刊少年チャンピオン
C111000,CE182138,2015-03-19,0.8859857482185273,False,週刊少年チャンピオン
C111000,CE182159,2015-03-26,0.9477434679334916,False,週刊少年チャンピオン
C111002,CE182005,2015-02-12,0.0119331742243436,False,週刊少年チャンピオン
C111002,CE182033,2015-02-19,0.3525179856115107,False,週刊少年チャンピオン
C111002,CE182063,2015-02-26,0.6141176470588235,False,週刊少年チャンピオン
C111002,CE182083,2015-03-05,0.513126491646778,False,週刊少年チャンピオン
C111002,CE182107,2015-03-12,0.5676959619952494,False,週刊少年チャンピオン
C111002,CE182125,2015-03-19,0.344418052256532,False,週刊少年チャンピオン
C111002,CE182152,2015-03-26,0.5961995249406176,False,週刊少年チャンピオン
C111002,CE182173,2015-04-02,0.645083932853717,False,週刊少年チャンピオン
C111004,CE180533,2015-01-07,0.2769516728624535,False,週刊少年サンデー
