アニメ作品ID,アニメ作品名,weekday,放送曜日,アニメ作品の合計話数
C14636,きょうの料理 ビギナーズ[第4期],0,月,19
C11760,RoBoDz風雲篇,0,月,26
C14552,レスキュー YoYo[よーよー],0,月,1
C14633,株式会社ZOO,0,月,1
C11754,狂乱家族日記,0,月,1
C11740,うちの3姉妹,0,月,1
C14629,EDDIE THE FAST BREAK,0,月,4
C11553,伯爵と妖精,0,月,1
C11772,ゼロの使い魔三美姫の輪舞[プリンセッセ][ロンド],0,月,12
C14536,漂流家族　昭和パンダ物語[第2期],0,月,1
C14656,おじゃる丸[第16期],0,月,14
C9534,モアモア［アニメ・実写併用］,0,月,14
C14683,だじゃれ パラパラ,0,月,4
C11873,はなまる 幼稚園,0,月,11
C14140,ガールズ ＆ パンツァー,0,月,2
C11406,トレジャーガウスト,0,月,1
C14144,ロンゴマックス　論語MAX,0,月,4
C16228,忍たま乱太郎[第25期],0,月,13
C14677,額縁をくぐって物語の中へ　[スペシャル],0,月,1
C14676,おんがく♪ 世界りょこう,0,月,1
C14252,這いよれ! ニャル子さんW,0,月,12
C14673,いない いない ばあっ![第16期],0,月,22
C14671,[リコーダー　と　ランドセル ミ★],0,月,13
C14532,ガーゴイルズ,0,月,12
C11838,キャシャーンSins,0,月,11
C14669,忍たま 乱太郎 [第21期],0,月,15
C14668,忍者 ハットリくん[インド版],0,月,36
C14533,忍たま 乱太郎[第18期],0,月,20
C9626,アリスSOS,0,月,27
C9624,ああっ女神さまっ 小っちゃいって事は便利だねっ,0,月,48
C11444,ゼロの使い魔双月の騎士,0,月,12
C11446,もえたん,0,月,12
C9527,爆走兄弟レッツ＆ゴー!! MAX,0,月,51
C14535,漂流家族　昭和パンダ物語[第1期],0,月,1
C11464,シャンプー王子,0,月,12
C11736,我が家のお稲荷さま。,0,月,24
C9511,BURN-UP EXCESS,0,月,2
C11734,Neo AngeliqueAbyss,0,月,13
C11559,みなみけ,0,月,13
C14575,The World ofGOLDENEGGS[第2期],0,月,1
C16196,コトリ サンバ,0,月,10
C16188,戦隊ヒーロー スキヤキフォース -ぐんまの平和を願うシーズン-,0,月,24
C14580,ブーンドックス シーズン2,0,月,15
C14594,きょうの料理 ビギナーズ[第3期],0,月,23
C9555,スーパーマン,0,月,8
C11631,ヤッターマン,0,月,37
C14589,鬼警部 アンパン,0,月,1
C14581,PERSONA-- trinity soul --,0,月,22
C11637,Mnemosyne-ムネモシュネの娘たち─,0,月,6
C11623,GUNSLINGER GIRL.IL TEATRINO,0,月,1
C14588,大人のためのアニマイム物語,0,月,6
C11674,スキップ・ビート!,0,月,25
C11645,増田こうすけ劇場ギャグマンガ日和3,0,月,13
C11647,チーズスイートホーム,0,月,26
C11672,今日の5の2,0,月,13
C14587,おじゃる丸[第12期],0,月,21
C11670,喰霊-零-,0,月,12
C11649,リトル・チャロ,0,月,50
C16193,超・少年探偵団 NEO,0,月,13
C14583,あのねのとみぞう,0,月,2
C11656,Qファイターズ!チョロQデッキシステム,0,月,1
C11676,まかでみWAっしょい!,0,月,12
C14573,ミッドナイト ホラースクール,0,月,1
C11619,みなみけ おかわり,0,月,13
C14604,ダンカイカレー中辛,0,月,17
C11561,レンタル×マギカ,0,月,24
C11732,隠の王,0,月,26
C14627,いない いない ばあっ![第15期],0,月,22
C14560,スーパーロボット モンキー チーム ハイパー フォース GO!,0,月,4
C11569,神霊狩/GHOST HOUND,0,月,1
C11730,SOUL・EATER,0,月,51
C14625,笑いのSHOW学校,0,月,19
C11571,ボノロン～不思議な森のいいつたえ～,0,月,19
C11728,S・Aスペシャル・エー,0,月,25
C14622,よいこのアニメことなかれヒーローじんじゃーまん,0,月,12
C11579,金田一少年の事件簿 SP[スペシャル],0,月,2
C16180,銀魂.,0,月,12
C11587,おしゃべりなちゅどんズ,0,月,1
C9547,GTO,0,月,1
C14615,NAKED WOLVES,0,月,43
C14565,X-MEN エボリューション,0,月,2
C9551,バーバパパ 世界をまわる,0,月,10
C14614,忍たま乱太郎[第17期],0,月,18
C16201,スカートの中はケダモノでした。,0,月,12
C9572,小さな巨人 ミクロマン,0,月,52
C14571,ヘラクレス,0,月,12
C14607,どうする? しおん君,0,月,31
C11699,そらのおとしもの,0,月,13
C11557,獣神演武 HERO TALES,0,月,26
C14138,IXION SAGA Dimension Transfer イクシオン サーガ DT,0,月,25
C16233,ユニコーンのキュピ,0,月,1
C9501,学級王ヤマザキ,0,月,54
C11209,capeta,0,月,1
