パッケージID,ゲームパッケージの発売日,価格,プラットフォーム名,価格%1000,メーカー名
M727392,1989-07-28,2980.0,ゲームボーイ,980.0,任天堂
M727391,1989-07-29,5500.0,メガドライブ,500.0,セガ
M727390,1989-07-31,4900.0,ファミリーコンピュータ,900.0,任天堂
M727389,1989-08-03,6800.0,メガドライブ,800.0,セガ
M727387,1989-08-04,6500.0,ファミリーコンピュータ,500.0,任天堂
M727388,1989-08-04,5900.0,ファミリーコンピュータ,900.0,任天堂
M727382,1989-08-25,5900.0,ファミリーコンピュータ,900.0,任天堂
M763730,1989-09-01,3000.0,ゲームボーイ,0.0,任天堂
M727380,1989-09-01,5800.0,ファミリーコンピュータ,800.0,任天堂
M727378,1989-09-09,6000.0,メガドライブ,0.0,セガ
M727377,1989-09-14,5800.0,ファミリーコンピュータ,800.0,任天堂
M727374,1989-09-19,5900.0,ファミリーコンピュータ,900.0,任天堂
M727373,1989-09-20,5900.0,ファミリーコンピュータ,900.0,任天堂
M727372,1989-09-21,2800.0,ゲームボーイ,800.0,任天堂
M727370,1989-09-29,5500.0,ファミリーコンピュータ,500.0,任天堂
M727369,1989-09-29,5600.0,ファミリーコンピュータ,600.0,任天堂
M727365,1989-10-06,7900.0,メガドライブ,900.0,セガ
M749573,1989-10-07,6000.0,メガドライブ,0.0,セガ
M754781,1989-10-18,2980.0,ゲームボーイ,980.0,任天堂
M727364,1989-10-19,6200.0,ファミリーコンピュータ,200.0,任天堂
M734507,1989-10-21,5500.0,メガドライブ,500.0,セガ
M727362,1989-10-27,6800.0,ファミリーコンピュータ,800.0,任天堂
M727361,1989-10-27,6500.0,ファミリーコンピュータ,500.0,任天堂
M727360,1989-10-27,3300.0,ゲームボーイ,300.0,任天堂
M727358,1989-10-31,7800.0,ファミリーコンピュータ,800.0,任天堂
M749015,1989-10-31,2980.0,ゲームボーイ,980.0,任天堂
M727356,1989-11-17,4800.0,ファミリーコンピュータ,800.0,任天堂
M727354,1989-11-18,6000.0,メガドライブ,0.0,セガ
M727352,1989-11-24,5900.0,ファミリーコンピュータ,900.0,任天堂
M761270,1989-11-25,6000.0,メガドライブ,0.0,セガ
M727349,1989-11-28,2600.0,ゲームボーイ,600.0,任天堂
M727347,1989-11-30,6500.0,ファミリーコンピュータ,500.0,任天堂
M727346,1989-12-01,6500.0,ファミリーコンピュータ,500.0,任天堂
M727345,1989-12-01,6300.0,ファミリーコンピュータ,300.0,任天堂
M727344,1989-12-02,6000.0,メガドライブ,0.0,セガ
M753956,1989-12-08,3280.0,ゲームボーイ,280.0,任天堂
M727343,1989-12-08,6200.0,ファミリーコンピュータ,200.0,任天堂
M727341,1989-12-09,6000.0,メガドライブ,0.0,セガ
M727340,1989-12-14,5500.0,メガドライブ,500.0,セガ
M727337,1989-12-15,6500.0,ファミリーコンピュータ,500.0,任天堂
M727335,1989-12-15,3500.0,ゲームボーイ,500.0,任天堂
M727338,1989-12-15,3900.0,ファミリーコンピュータ,900.0,任天堂
M727339,1989-12-15,6000.0,ファミリーコンピュータ,0.0,任天堂
M727336,1989-12-15,6800.0,メガドライブ,800.0,セガ
M727332,1989-12-16,8500.0,メガドライブ,500.0,セガ
M762262,1989-12-19,3400.0,ゲームボーイ,400.0,任天堂
M727331,1989-12-19,6077.0,ファミリーコンピュータ,77.0,任天堂
M727330,1989-12-19,5800.0,ファミリーコンピュータ,800.0,任天堂
M727326,1989-12-22,3400.0,ゲームボーイ,400.0,任天堂
M727325,1989-12-22,5800.0,ファミリーコンピュータ,800.0,任天堂
M727327,1989-12-22,6500.0,ファミリーコンピュータ,500.0,任天堂
M747287,1989-12-22,2980.0,ゲームボーイ,980.0,任天堂
M746507,1989-12-23,6800.0,メガドライブ,800.0,セガ
M727319,1989-12-23,6000.0,メガドライブ,0.0,セガ
M727312,1990-01-05,6980.0,ファミリーコンピュータ,980.0,任天堂
M754561,1990-01-12,2980.0,ゲームボーイ,980.0,任天堂
M727311,1990-01-13,5500.0,メガドライブ,500.0,セガ
M759373,1990-01-13,3000.0,ゲームボーイ,0.0,任天堂
M727310,1990-01-26,2600.0,ゲームボーイ,600.0,任天堂
M727306,1990-01-30,5200.0,メガドライブ,200.0,セガ
M727304,1990-02-02,4900.0,ファミリーコンピュータ,900.0,任天堂
M727302,1990-02-06,5300.0,ファミリーコンピュータ,300.0,任天堂
M727300,1990-02-11,8500.0,ファミリーコンピュータ,500.0,任天堂
M763953,1990-02-23,2980.0,ゲームボーイ,980.0,任天堂
M727299,1990-02-23,3500.0,ゲームボーイ,500.0,任天堂
M727293,1990-02-24,7000.0,メガドライブ,0.0,セガ
M727291,1990-03-02,6000.0,メガドライブ,0.0,セガ
M727288,1990-03-02,6500.0,ファミリーコンピュータ,500.0,任天堂
M748593,1990-03-03,6800.0,メガドライブ,800.0,セガ
M727287,1990-03-09,4500.0,ファミリーコンピュータ,500.0,任天堂
M755981,1990-03-15,3300.0,ゲームボーイ,300.0,任天堂
M762123,1990-03-16,6200.0,メガドライブ,200.0,セガ
M755614,1990-03-16,3000.0,ゲームボーイ,0.0,任天堂
M727282,1990-03-20,6900.0,メガドライブ,900.0,セガ
M756089,1990-03-21,3000.0,ゲームボーイ,0.0,任天堂
M727279,1990-03-23,6800.0,メガドライブ,800.0,セガ
M755532,1990-03-23,3300.0,ゲームボーイ,300.0,任天堂
M727280,1990-03-23,7500.0,ファミリーコンピュータ,500.0,任天堂
M742122,1990-03-24,3500.0,ゲームボーイ,500.0,任天堂
M752654,1990-03-29,3000.0,ゲームボーイ,0.0,任天堂
M756081,1990-03-30,3000.0,ゲームボーイ,0.0,任天堂
M727275,1990-03-30,9800.0,ファミリーコンピュータ,800.0,任天堂
M750198,1990-03-30,3000.0,ゲームボーイ,0.0,任天堂
M746641,1990-04-06,3000.0,ゲームボーイ,0.0,任天堂
M727268,1990-04-06,7800.0,ファミリーコンピュータ,800.0,任天堂
M727266,1990-04-06,6500.0,ファミリーコンピュータ,500.0,任天堂
M727265,1990-04-07,6000.0,メガドライブ,0.0,セガ
M727264,1990-04-07,6000.0,ファミリーコンピュータ,0.0,任天堂
M727263,1990-04-13,4900.0,ファミリーコンピュータ,900.0,任天堂
M727262,1990-04-13,6500.0,ファミリーコンピュータ,500.0,任天堂
M727261,1990-04-13,2600.0,ゲームボーイ,600.0,任天堂
M742155,1990-04-13,3300.0,ゲームボーイ,300.0,任天堂
M765398,1990-04-13,3000.0,ゲームボーイ,0.0,任天堂
M754026,1990-04-13,3400.0,ゲームボーイ,400.0,任天堂
M727258,1990-04-20,6000.0,ファミリーコンピュータ,0.0,任天堂
M727257,1990-04-20,5900.0,ファミリーコンピュータ,900.0,任天堂
M755858,1990-04-20,3000.0,ゲームボーイ,0.0,任天堂
M749529,1990-04-20,3300.0,ゲームボーイ,300.0,任天堂
M756449,1990-04-20,3500.0,ゲームボーイ,500.0,任天堂
M727255,1990-04-21,8700.0,メガドライブ,700.0,セガ
M727251,1990-04-27,8500.0,メガドライブ,500.0,セガ
M727252,1990-04-27,8400.0,ファミリーコンピュータ,400.0,任天堂
M727254,1990-04-27,3500.0,ゲームボーイ,500.0,任天堂
M727247,1990-04-28,2980.0,ゲームボーイ,980.0,任天堂
M758862,1990-05-02,3300.0,ゲームボーイ,300.0,任天堂
M727246,1990-05-18,5800.0,ファミリーコンピュータ,800.0,任天堂
M756153,1990-05-18,3000.0,ゲームボーイ,0.0,任天堂
M727245,1990-05-18,5900.0,ファミリーコンピュータ,900.0,任天堂
M727244,1990-05-19,6000.0,メガドライブ,0.0,セガ
