マンガ雑誌名,マンガ作品名,掲載年,合計話数
週刊少年マガジン,はじめの一歩,1996,43
週刊少年マガジン,はじめの一歩,1997,45
週刊少年マガジン,はじめの一歩,1998,43
週刊少年マガジン,はじめの一歩,1999,45
週刊少年マガジン,はじめの一歩,2000,42
週刊少年マガジン,はじめの一歩,2001,43
週刊少年マガジン,はじめの一歩,2002,42
週刊少年マガジン,はじめの一歩,2003,42
週刊少年マガジン,はじめの一歩,2004,40
週刊少年マガジン,はじめの一歩,2005,42
週刊少年マガジン,はじめの一歩,2006,41
週刊少年マガジン,はじめの一歩,2007,41
週刊少年マガジン,はじめの一歩,2008,40
週刊少年マガジン,はじめの一歩,2009,41
週刊少年マガジン,はじめの一歩,2010,41
週刊少年マガジン,はじめの一歩,2011,42
週刊少年マガジン,はじめの一歩,2012,40
週刊少年マガジン,はじめの一歩,2013,40
週刊少年マガジン,はじめの一歩,2014,41
週刊少年マガジン,はじめの一歩,2015,41
週刊少年マガジン,はじめの一歩,2016,42
週刊少年マガジン,はじめの一歩,2017,24
0,金田一少年の事件簿,1970,0
0,金田一少年の事件簿,1971,0
0,金田一少年の事件簿,1972,0
0,金田一少年の事件簿,1973,0
0,金田一少年の事件簿,1974,0
0,金田一少年の事件簿,1975,0
0,金田一少年の事件簿,1976,0
0,金田一少年の事件簿,1977,0
0,金田一少年の事件簿,1978,0
0,金田一少年の事件簿,1979,0
0,金田一少年の事件簿,1980,0
0,金田一少年の事件簿,1981,0
0,金田一少年の事件簿,1982,0
0,金田一少年の事件簿,1983,0
0,金田一少年の事件簿,1984,0
0,金田一少年の事件簿,1985,0
0,金田一少年の事件簿,1986,0
0,金田一少年の事件簿,1987,0
0,金田一少年の事件簿,1988,0
0,金田一少年の事件簿,1989,0
0,金田一少年の事件簿,1990,0
0,金田一少年の事件簿,1991,0
週刊少年マガジン,金田一少年の事件簿,1992,8
週刊少年マガジン,金田一少年の事件簿,1993,46
週刊少年マガジン,金田一少年の事件簿,1994,45
週刊少年マガジン,金田一少年の事件簿,1995,44
週刊少年マガジン,金田一少年の事件簿,1996,45
週刊少年マガジン,金田一少年の事件簿,1997,43
週刊少年マガジン,金田一少年の事件簿,1998,44
週刊少年マガジン,金田一少年の事件簿,1999,44
週刊少年マガジン,金田一少年の事件簿,2000,45
週刊少年マガジン,金田一少年の事件簿,2001,1
0,金田一少年の事件簿,2002,0
0,金田一少年の事件簿,2003,0
週刊少年マガジン,金田一少年の事件簿,2004,8
週刊少年マガジン,金田一少年の事件簿,2005,13
週刊少年マガジン,金田一少年の事件簿,2006,17
週刊少年マガジン,金田一少年の事件簿,2007,19
週刊少年マガジン,金田一少年の事件簿,2008,14
週刊少年マガジン,金田一少年の事件簿,2009,12
週刊少年マガジン,金田一少年の事件簿,2010,16
週刊少年マガジン,金田一少年の事件簿,2011,8
週刊少年マガジン,金田一少年の事件簿,2012,27
週刊少年マガジン,金田一少年の事件簿,2013,14
0,金田一少年の事件簿,2014,0
0,金田一少年の事件簿,2015,0
0,金田一少年の事件簿,2016,0
0,金田一少年の事件簿,2017,0
0,名探偵コナン,1970,0
0,名探偵コナン,1971,0
0,名探偵コナン,1972,0
0,名探偵コナン,1973,0
0,名探偵コナン,1974,0
0,名探偵コナン,1975,0
0,名探偵コナン,1976,0
0,名探偵コナン,1977,0
0,名探偵コナン,1978,0
0,名探偵コナン,1979,0
0,名探偵コナン,1980,0
0,名探偵コナン,1981,0
0,名探偵コナン,1982,0
0,名探偵コナン,1983,0
0,名探偵コナン,1984,0
0,名探偵コナン,1985,0
0,名探偵コナン,1986,0
0,名探偵コナン,1987,0
0,名探偵コナン,1988,0
0,名探偵コナン,1989,0
0,名探偵コナン,1990,0
0,名探偵コナン,1991,0
0,名探偵コナン,1992,0
0,名探偵コナン,1993,0
週刊少年サンデー,名探偵コナン,1994,44
週刊少年サンデー,名探偵コナン,1995,47
週刊少年サンデー,名探偵コナン,1996,49
週刊少年サンデー,名探偵コナン,1997,48
週刊少年サンデー,名探偵コナン,1998,47
週刊少年サンデー,名探偵コナン,1999,44
週刊少年サンデー,名探偵コナン,2000,48
週刊少年サンデー,名探偵コナン,2001,47
週刊少年サンデー,名探偵コナン,2002,43
週刊少年サンデー,名探偵コナン,2003,45
週刊少年サンデー,名探偵コナン,2004,43
週刊少年サンデー,名探偵コナン,2005,45
週刊少年サンデー,名探偵コナン,2006,44
週刊少年サンデー,名探偵コナン,2007,38
週刊少年サンデー,名探偵コナン,2008,43
週刊少年サンデー,名探偵コナン,2009,45
週刊少年サンデー,名探偵コナン,2010,41
週刊少年サンデー,名探偵コナン,2011,43
週刊少年サンデー,名探偵コナン,2012,43
週刊少年サンデー,名探偵コナン,2013,39
週刊少年サンデー,名探偵コナン,2014,33
週刊少年サンデー,名探偵コナン,2015,37
週刊少年サンデー,名探偵コナン,2016,39
週刊少年サンデー,名探偵コナン,2017,14
0,MAJOR,1970,0
0,MAJOR,1971,0
0,MAJOR,1972,0
0,MAJOR,1973,0
0,MAJOR,1974,0
0,MAJOR,1975,0
0,MAJOR,1976,0
0,MAJOR,1977,0
0,MAJOR,1978,0
0,MAJOR,1979,0
0,MAJOR,1980,0
0,MAJOR,1981,0
0,MAJOR,1982,0
0,MAJOR,1983,0
0,MAJOR,1984,0
0,MAJOR,1985,0
0,MAJOR,1986,0
0,MAJOR,1987,0
0,MAJOR,1988,0
0,MAJOR,1989,0
0,MAJOR,1990,0
0,MAJOR,1991,0
0,MAJOR,1992,0
0,MAJOR,1993,0
週刊少年サンデー,MAJOR,1994,19
週刊少年サンデー,MAJOR,1995,48
週刊少年サンデー,MAJOR,1996,48
週刊少年サンデー,MAJOR,1997,48
週刊少年サンデー,MAJOR,1998,48
週刊少年サンデー,MAJOR,1999,46
週刊少年サンデー,MAJOR,2000,47
週刊少年サンデー,MAJOR,2001,47
週刊少年サンデー,MAJOR,2002,47
週刊少年サンデー,MAJOR,2003,48
週刊少年サンデー,MAJOR,2004,44
週刊少年サンデー,MAJOR,2005,48
週刊少年サンデー,MAJOR,2006,47
週刊少年サンデー,MAJOR,2007,44
週刊少年サンデー,MAJOR,2008,44
週刊少年サンデー,MAJOR,2009,47
週刊少年サンデー,MAJOR,2010,26
0,MAJOR,2011,0
0,MAJOR,2012,0
週刊少年サンデー,MAJOR,2013,2
0,MAJOR,2014,0
0,MAJOR,2015,0
0,MAJOR,2016,0
0,MAJOR,2017,0
0,犬夜叉,1970,0
0,犬夜叉,1971,0
0,犬夜叉,1972,0
0,犬夜叉,1973,0
0,犬夜叉,1974,0
0,犬夜叉,1975,0
0,犬夜叉,1976,0
0,犬夜叉,1977,0
0,犬夜叉,1978,0
0,犬夜叉,1979,0
0,犬夜叉,1980,0
0,犬夜叉,1981,0
0,犬夜叉,1982,0
0,犬夜叉,1983,0
0,犬夜叉,1984,0
0,犬夜叉,1985,0
0,犬夜叉,1986,0
0,犬夜叉,1987,0
0,犬夜叉,1988,0
0,犬夜叉,1989,0
0,犬夜叉,1990,0
0,犬夜叉,1991,0
0,犬夜叉,1992,0
0,犬夜叉,1993,0
0,犬夜叉,1994,0
0,犬夜叉,1995,0
週刊少年サンデー,犬夜叉,1996,3
週刊少年サンデー,犬夜叉,1997,48
週刊少年サンデー,犬夜叉,1998,48
週刊少年サンデー,犬夜叉,1999,47
週刊少年サンデー,犬夜叉,2000,49
週刊少年サンデー,犬夜叉,2001,48
週刊少年サンデー,犬夜叉,2002,48
週刊少年サンデー,犬夜叉,2003,49
週刊少年サンデー,犬夜叉,2004,48
週刊少年サンデー,犬夜叉,2005,48
週刊少年サンデー,犬夜叉,2006,48
週刊少年サンデー,犬夜叉,2007,47
週刊少年サンデー,犬夜叉,2008,26
0,犬夜叉,2009,0
0,犬夜叉,2010,0
0,犬夜叉,2011,0
0,犬夜叉,2012,0
週刊少年サンデー,犬夜叉,2013,1
0,犬夜叉,2014,0
