mcname,ccname,cename,four_colored
週刊少年マガジン,カグツチ,第1話 予兆,True
週刊少年マガジン,金田一少年の事件簿,黒魔術殺人事件 第1話,True
週刊少年マガジン,ダイヤのA,第97話/臨戦態勢,True
週刊少年マガジン,[シバトラ],File 65. 燃え尽きた1日,True
週刊少年マガジン,Over Drive,146rpm Quarter SAKURAGAOKA.,True
週刊少年マガジン,ヤンキー君とメガネちゃん,72限目 マジやばいっすから!!,True
週刊少年マガジン,[シバトラ],File 64. The Kid's All Lie,True
週刊少年マガジン,エリアの騎士,#90 究極フェイント,True
週刊少年マガジン,MMR,「人類最期の日」の真実を暴け!! 前編,True
週刊少年マガジン,花形  新約「巨人の星」,第75話 DEEP IMPACT,True
週刊少年マガジン,エア・ギア,Trick:200,True
週刊少年マガジン,将太の寿司,,True
週刊少年マガジン,金田一少年の事件簿,「血溜之間」殺人事件 第1回,True
週刊少年マガジン,FAIRY TAIL,第80話 ジャンヌ・ダルク,True
週刊少年マガジン,BLOODY MONDAY,File 48 『J』からの命令,True
週刊少年マガジン,はじめの一歩,Round 806 まさかまさか,True
週刊少年マガジン,スタンドバイミー,Ep.01 近づく想い、遠ざかる距離,True
週刊少年マガジン,スマッシュ!,#75 譲れない,True
週刊少年マガジン,賭博覇王伝 零,第24和 惑い,True
週刊少年マガジン,さよなら絶望先生,第129話 「花係の森」,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.183 砂の世界,True
週刊少年マガジン,ハンマーセッション!,session 59. モンスター襲来!!の巻,True
週刊少年マガジン,エリアの騎士,#81 純血種,True
週刊少年マガジン,BLOODY MONDAY,File.42 絶望的状況,True
週刊少年マガジン,ヤンキー君とメガネちゃん,59限目 馬がいっぱいいますよ!,True
週刊少年マガジン,Baby Steps ベイビーステップ,#14 勝利へ,True
週刊少年マガジン,花形  新約「巨人の星」,第63話 a fateful encounter,True
週刊少年マガジン,鉄腕ブレイク,#1 新入生ブレイク!,True
週刊少年マガジン,さよなら絶望先生,第122話 「断崖の比較」,True
週刊少年マガジン,ダイヤのA,第79話/降りたくない,True
週刊少年マガジン,[シバトラ],File 46. 2人が出会った日,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.175 交わる剣,True
週刊少年マガジン,エア・ギア,Trick:186,True
週刊少年マガジン,ハンマーセッション!,session.50 呪いの時計塔の巻,True
週刊少年マガジン,エリアの騎士,#71 ライバル,True
週刊少年マガジン,ゴッドハンド輝,第300話 父と子 上司と部下,True
週刊少年マガジン,FAIRY TAIL,第63話 これでおあいこな,True
週刊少年マガジン,スクールランブル,#250 RANDOM HARVEST,True
週刊少年マガジン,ゴッドハンド輝,第298話 対立,True
週刊少年マガジン,金田一少年の事件簿,不動高校学園祭殺人事件 第1回,True
週刊少年マガジン,花形  新約「巨人の星」,第55話 My Way,True
週刊少年マガジン,ヤンキー君とメガネちゃん,47限目 両端はおれがいただく!!,True
週刊少年マガジン,Over Drive,"120rpm Rain before seven,fine before eleven.",True
週刊少年マガジン,Baby Steps ベイビーステップ,#1 ベイビーステップ,True
週刊少年マガジン,あひるの空,第168話 フラジャイル,True
週刊少年マガジン,ヤンキー君とメガネちゃん,45限目 オマエは逆にムカつく!!,True
週刊少年マガジン,BLOODY MONDAY,File.26 白日の下に,True
週刊少年マガジン,スマッシュ!,#0 運命,True
週刊少年マガジン,BLOODY MONDAY,File.25 actor and actress,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.167 傷つきし忍,True
週刊少年マガジン,[シバトラ],File 35. Suicide seat,True
週刊少年マガジン,涼風,#116 涼風,True
週刊少年マガジン,エリアの騎士,#62 打倒レーザービーム,True
週刊少年マガジン,賭博覇王伝 零,第1話 その男「零」,True
週刊少年マガジン,さよなら絶望先生,第108話 「奥の抜け道」,True
週刊少年マガジン,ハンマーセッション!,session.38 不良少女と呼ばれての巻,True
週刊少年マガジン,ケンコー全裸系水泳部 ウミショー,,True
週刊少年マガジン,花形  新約「巨人の星」,第46話 Stage Of The Ground,True
週刊少年マガジン,ダイヤのA,第61話/夢の舞台へ,True
週刊少年マガジン,しろがねの鴉,第10夜 ネズミ小僧,True
週刊少年マガジン,Over Drive,109rpm Great minds think alike.,True
週刊少年マガジン,スマッシュ!,#48 飛翔,True
週刊少年マガジン,[シバトラ],File 28. シビレタ,True
週刊少年マガジン,FAIRY TAIL,第47話 幽鬼の支配者,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.159 魔術師の嘘,True
週刊少年マガジン,さよなら絶望先生,第101話 「勝負戦線異状なし」,True
週刊少年マガジン,しろがねの鴉,第6夜 願い,True
週刊少年マガジン,探偵学園Q,,True
週刊少年マガジン,ジゴロ次五郎,第209速 ずっとスタンド・バイ・ミー,True
週刊少年マガジン,ケンコー全裸系水泳部 ウミショー,,True
