mcname,ccname,cename,four_colored
週刊少年サンデー,魔王 JUVENILE REMIX,第47話 リミット,True
週刊少年サンデー,神のみぞ知るセカイ,FLAG.6 神以上、人間未満,True
週刊少年サンデー,最上の命医,第21話 患者への思いやり,True
週刊少年サンデー,ギャンブルッ!,第65話 生還,True
週刊少年サンデー,金剛番長,26撃目!! 金剛番長vs暗契五連槍,True
週刊少年サンデー,MiXiM♀12,Mix.02 Prince of Polaris,True
週刊少年サンデー,DIVE!!,第44話 COUNTDOWN,True
週刊少年サンデー,MiXiM♀12,Mix.01 夜空の下の三連星,True
週刊少年サンデー,月光条例,第2条 【一寸法師】 1 一寸法師、不吉なことを口ばしる,True
週刊少年サンデー,名探偵コナン,FILE:647 失われた記憶,True
週刊少年サンデー,最上の命医,第18話 治らないモノ,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 93 唯と倉地と…,True
週刊少年サンデー,神のみぞ知るセカイ,FLAG.1 世界はアイで動いてる,True
週刊少年サンデー,お茶にごす。,第49服 写経,True
週刊少年サンデー,絶対可憐チルドレン,125th sense. ファントム・メナス(1)　／　増補版SUPPLEMENT,True
週刊少年サンデー,オニデレ,第1幕:ヒミツな二人,True
週刊少年サンデー,呪法解禁!!ハイド＆クローサー,第14劇 傀儡 1,True
週刊少年サンデー,月光条例,第1条 【本条例の目的】,True
週刊少年サンデー,ダレン・シャン,第9章 夜明けの覇者 第75話:逃走,True
週刊少年サンデー,結界師,第206話:特捜班,True
週刊少年サンデー,MY SWEET SUNDAY 紙とインクと徹夜の日々,楳図かずお/藤子不二雄A/小山ゆう/池上遼一,True
週刊少年サンデー,ハヤテのごとく!,第168話 「疲れてる時は、寝てがんばれ」,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 280 戦いの館,True
週刊少年サンデー,マリンハンター,第29話:ホエールの野望,True
週刊少年サンデー,MAJOR,第641話 再昇格,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第150球 のびのび!,True
週刊少年サンデー,クロスゲーム,第105話:信じるの?,True
週刊少年サンデー,金剛番長,16撃目!! 金剛番長vs卑怯番長,True
週刊少年サンデー,犬夜叉,第542話 飲みこまれる光,True
週刊少年サンデー,LOST+BRAIN,Sign.008 変えるものは…,True
週刊少年サンデー,魔王 JUVENILE REMIX,第34話 諦念と蜜謀,True
週刊少年サンデー,結界師,第200話:緋田郷,True
週刊少年サンデー,最上の命医,第8話 危の狙い,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第146球 抽選会!,True
週刊少年サンデー,ハヤテのごとく!,第161話 たしかにお年玉は全部消えたけど思い出は永遠に消えはしない,True
週刊少年サンデー,呪法解禁!!ハイド＆クローサー,第5劇/ 黒髪 1,True
週刊少年サンデー,クナイ伝,第13話:清白の悪夢 2,True
週刊少年サンデー,マリンハンター,第22話:鮫に向かって撃て!,True
週刊少年サンデー,ダレン・シャン,第8章 真夜中の同志 第66話:転校生,True
週刊少年サンデー,絶対可憐チルドレン,115th sense. そのエスパー、凶暴につき(1),True
週刊少年サンデー,クロスゲーム,第99話:お姉ちゃんです。,True
週刊少年サンデー,お坊サンバ!!,第27話 「チワ丸、TVスターになる」の巻,True
週刊少年サンデー,呪法解禁!!ハイド＆クローサー,第1劇/解禁,True
週刊少年サンデー,MAJOR,第633話 悩めるサウスポー,True
週刊少年サンデー,金剛番長,9撃目!! 金剛番長vs念仏番長,True
週刊少年サンデー,LOST+BRAIN,Sign.001 求めていた力,True
週刊少年サンデー,クナイ伝,第9話:ある老忍の村-1,True
週刊少年サンデー,最上の命医,第1話 無限の樹形図,True
週刊少年サンデー,ギャンブルッ!,第46話 的中,True
週刊少年サンデー,結界師,第193話:本気で心配,True
週刊少年サンデー,ワイルドライフ,第227話:麻生と太陽,True
週刊少年サンデー,メテオド,31話 求められる「進化」,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 265 勝者たちの帰還,True
週刊少年サンデー,金剛番長,4撃目!! 鮮血の花びら,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 73 Jr.ユースを蹴った男,True
週刊少年サンデー,クロスゲーム,第93話:夏祭り,True
週刊少年サンデー,クナイ伝,第4話:素敵な子だもの,True
週刊少年サンデー,マリンハンター,第13話:形見を取り戻せ!,True
週刊少年サンデー,IFRIT[断罪の炎人],第43話:出会い-1,True
週刊少年サンデー,金剛番長,1撃目!! 金剛晄現る!!,True
週刊少年サンデー,ギャンブルッ!,第40話 ギャンブラー,True
週刊少年サンデー,クナイ伝,第1話:クナイと邪紅,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第133球 天才!,True
週刊少年サンデー,ハヤテのごとく!,第147話 ハヤテむかし話,True
週刊少年サンデー,犬夜叉,第525話 解放,True
週刊少年サンデー,MAJOR,第623話 鮮烈デビュー,True
週刊少年サンデー,魔王 JUVENILE REMIX,第17話 眼前の虚実,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 67 ライバル登場!!,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 257 覚醒,True
週刊少年サンデー,マリンハンター,第6話:差し向けられた刺客,True
週刊少年サンデー,お坊サンバ!!,第13話 「チワ丸、海底でコマネチ」の巻,True
週刊少年サンデー,結界師,第181話:調査,True
週刊少年サンデー,あいこら,PARTS 100/ゆれる乙女心です,True
週刊少年サンデー,絶対可憐チルドレン,100th sense.  黒い幽霊(6),True
週刊少年サンデー,IFRIT[断罪の炎人],第33話:二つの炎 1,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第126球 勝つまでは!,True
週刊少年サンデー,ハヤテのごとく!,第138話 Keep On Dreaming,True
週刊少年サンデー,魔王 JUVENILE REMIX,第9話 騒々しい夜,True
週刊少年サンデー,DIVE!!,第7話 WHERE IS SHE?,True
週刊少年サンデー,クロスゲーム,第79話:…かもしんない,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 57 これぞ最強コンビ!?,True
週刊少年サンデー,犬夜叉,第513話 玉の邪念,True
週刊少年サンデー,ダレン・シャン,第42話:死ぬか、生きるか?,True
週刊少年サンデー,魔王 JUVENILE REMIX,第4話 魔手,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 246 惨劇の幕開け,True
週刊少年サンデー,結界師,第171話:隠密行動,True
週刊少年サンデー,お坊サンバ!!,第1話 「チワ丸、入門?」の巻,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 54 攻めが守り!?,True
週刊少年サンデー,DIVE!!,第1話 DIVE TO BLUE,True
週刊少年サンデー,メテオド,9話 いがみ合ってる場合じゃない,True
週刊少年サンデー,魔王 JUVENILE REMIX,第1話 第一次接触,True
週刊少年サンデー,お茶にごす。,第9服 痛車,True
週刊少年サンデー,IFRIT[断罪の炎人],第22話:法よりの使者-3,True
週刊少年サンデー,絶対可憐チルドレン,89th sense.  面影(1),True
週刊少年サンデー,ハヤテのごとく!,第128話 未来世紀マル秘倶楽部,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 51 消えた…!?,True
週刊少年サンデー,ギャンブルッ!,第20話 大戦,True
週刊少年サンデー,ダレン・シャン,第5章:バンパイアの試練 第35話:バンパイアの夫婦,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 240 キサラの意地!,True
週刊少年サンデー,うえきの法則＋,第40話 突然の再会,True
週刊少年サンデー,メテオド,4話 ジュニオア・ハイ・スクール,True
週刊少年サンデー,お茶にごす。,第3服 アニメ部,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 47 二人の思い,True
週刊少年サンデー,メテオド,1話 十威、14歳。,True
週刊少年サンデー,お茶にごす。,第1服 茶道部,True
週刊少年サンデー,犬夜叉,第500話 継承者,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 235 俺たちの絆,True
週刊少年サンデー,ハヤテのごとく!,第121話 さよなら人類(私だけ),True
週刊少年サンデー,MAJOR,第600話 すり抜けた勝機,True
週刊少年サンデー,ダレン・シャン,第4章:バンパイア・マウンテン 第29話:需品長シーバー・ナイル,True
週刊少年サンデー,IFRIT[断罪の炎人],第13話:咎人の掟 5,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第108球 熱いのはどっちだ!,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 232 極限の悟り,True
週刊少年サンデー,クロスゲーム,第65話:ダッシュ!,True
週刊少年サンデー,名探偵コナン,FILE:600 イチかバチか…,True
週刊少年サンデー,ハヤテのごとく!,第118話 「月は無慈悲な夜のお嬢さま」,True
週刊少年サンデー,ハヤテのごとく!,第117話 「キワキワのラストボーイ」,True
週刊少年サンデー,MAR Ω,Ω25. アイツのために…,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 39 特訓の意図,True
週刊少年サンデー,IFRIT[断罪の炎人],第9話:咎人の掟 1,True
週刊少年サンデー,結界師,第154話:兄の電話,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 228 新たなる契り,True
週刊少年サンデー,クロスゲーム,第61話:朝見水輝,True
週刊少年サンデー,マリンハンター,第1話:鮫の海,True
週刊少年サンデー,兄ふんじゃった!,100ふんじゃった 総帥と犬丸,True
週刊少年サンデー,ダレン・シャン,第3章:バンパイア・クリスマス 第22話:エブラに続く道,True
週刊少年サンデー,MAR Ω,Ω21. 行きたい場所,True
週刊少年サンデー,ハヤテのごとく!,第112話 レイルウェイが切なくて,True
週刊少年サンデー,結界師,第151話:落ちてきた!,True
週刊少年サンデー,うえきの法則＋,第27話 オレ達だけで,True
週刊少年サンデー,MAJOR,第590話 無言の檄,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 35 スタイル,True
週刊少年サンデー,金色のガッシュ!!,LEVEL 276 新しいクラス,True
週刊少年サンデー,ハヤテのごとく!,人気投票結果発表の第110話「三千院ランク王国～ラルフはメカなのか怪獣なのか～」,True
週刊少年サンデー,結界師,第147話:報告,True
週刊少年サンデー,うえきの法則＋,第22話 植木の覚悟,True
週刊少年サンデー,ワイルドライフ,第181話:気になるつぶつぶ,True
週刊少年サンデー,RANGEMAN,第25話 絶対忘れませんから!!,True
週刊少年サンデー,MAJOR,第584話 先制のチャンス,True
週刊少年サンデー,犬夜叉,第482話 狙われた飛来骨,True
週刊少年サンデー,あいこら,PARTS 64/温泉旅行,True
週刊少年サンデー,武心 BUSHIN,第34話 「生きる意味」,True
週刊少年サンデー,ダレン・シャン,第2章:若きバンパイア 第12話:最後の夜,True
週刊少年サンデー,MAR Ω,Ω11. 古のガーディアン,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 27 ランチ,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 216 怨念の秘技,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第90球 ここまで来たぞ!,True
週刊少年サンデー,結界師,第141話:黒兜,True
週刊少年サンデー,ハヤテのごとく!,「祝★100話!でも本当は99週目。なぜなら1週目が2話同時掲載で…」…という身もフタもない第100話です。,True
週刊少年サンデー,助けて!フラワーマン,第1話 百本のバラ,True
週刊少年サンデー,結界師,第139話:4体の妖,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 213 友という力,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 212 2対3の真実,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 22 練習,True
週刊少年サンデー,MAR Ω,Ω5. カイの魔力,True
週刊少年サンデー,ダレン・シャン,第2章:若きバンパイア 第6話:シルク・ド・フリークへ,True
週刊少年サンデー,犬夜叉,第474話 傷ついた心,True
週刊少年サンデー,あいこら,PARTS 57/アブナイちゃぶ台,True
週刊少年サンデー,絶対可憐チルドレン,57th sense. パンドラからの挑戦状(1),True
週刊少年サンデー,兄ふんじゃった!,81ふんじゃった:でちゃった!,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第85球 両校必死!,True
週刊少年サンデー,金色のガッシュ!!,LEVEL 261 バオウ・ザケルガ,True
週刊少年サンデー,妖逆門,第25話:あっれー!!,True
週刊少年サンデー,MAR Ω,Ω1. 伝説のARM,True
週刊少年サンデー,クロスゲーム,第43話:生意気な一年坊主,True
週刊少年サンデー,RANGEMAN,第11話 「運命の人じゃなかった…」,True
週刊少年サンデー,ワイルドライフ,第170話:積み重ね,True
週刊少年サンデー,武心 BUSHIN,第20話 「自分たちが選んだ戦い」,True
週刊少年サンデー,ハルノクニ,第23話:突破,True
週刊少年サンデー,結界師,第130話:結界と絶界,True
週刊少年サンデー,ブリザードアクセル,Program 67 1週間後,True
週刊少年サンデー,MAJOR,第568話 終盤の攻防,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第76球 監督不在!,True
週刊少年サンデー,絶対可憐チルドレン,49th sense. いつか王子さまが(3),True
週刊少年サンデー,ハヤテのごとく!,第87話MTBに乗って～買い物にでかけたら～サイフのないのに気づいて～そのままデート～,True
週刊少年サンデー,あいこら,PARTS 49/忘れられない傷,True
週刊少年サンデー,聖結晶アルバトロス,ELEMENT 29 剣よ、目覚めよ,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 200 新白連合…制圧!?,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 10 バックパス?,True
週刊少年サンデー,妖逆門,第17話:魂の叫び,True
週刊少年サンデー,結界師,第126話:邪煉,True
週刊少年サンデー,RANGEMAN,第4話 「トキメキッシュで変身だ!」,True
週刊少年サンデー,MAR メル,AKT.159 戦いの終わり,True
週刊少年サンデー,クロスゲーム,第36話:家宅捜索令状?,True
週刊少年サンデー,クロスゲーム,第35話:ニヤニヤするな,True
週刊少年サンデー,焼きたて!!ジャぱん,第211話:じじいはあと一人,True
週刊少年サンデー,RANGEMAN,第1話 「オレは彼女が欲しいのだ!」,True
週刊少年サンデー,犬夜叉,第460話 流れ込む心,True
週刊少年サンデー,ハルノクニ,第14話:弱点,True
週刊少年サンデー,MAR メル,AKT.155 ディアナの本音,True
週刊少年サンデー,武心 BUSHIN,第11話 「その武道の使い方は間違っている!!」,True
週刊少年サンデー,ハヤテのごとく!,第80話 [Running to horizon],True
週刊少年サンデー,最強!都立あおい坂高校野球部,第67球 無死満塁!,True
週刊少年サンデー,ブリザードアクセル,Program 57 六花だけなんだぜ,True
週刊少年サンデー,クロスゲーム,第30話:冗談はよせ,True
週刊少年サンデー,GOLDEN☆AGE,GOAL 2 解散,True
週刊少年サンデー,ワイルドライフ,第157話:和賀の答え、陵刀の答え,True
週刊少年サンデー,焼きたて!!ジャぱん,第205話:特訓する人しない人,True
週刊少年サンデー,犬夜叉,第453話 絡みつく糸,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 190 強さの証明,True
週刊少年サンデー,金色のガッシュ!!,LEVEL 241 何をやってんだ!?,True
週刊少年サンデー,武心 BUSHIN,第5話 「友達なんて言った覚えはない」,True
週刊少年サンデー,結界師,第115話:弱点,True
週刊少年サンデー,クロスゲーム,第25話:しあって行こー,True
週刊少年サンデー,妖逆門,第4話:倒したいヤツ,True
週刊少年サンデー,ハヤテのごとく!,温かな、街の灯りに物思う第72話。「それは世界征服よりも深刻な悩み」,True
週刊少年サンデー,MAR メル,AKT.144 ウォーゲーム最終決戦 ギンタVS.ファントム 4,True
週刊少年サンデー,ワイルドライフ,第152話:もの凄い反撃,True
週刊少年サンデー,聖結晶アルバトロス,ELEMENT 13 ピンチ×ピンチ＝?,True
週刊少年サンデー,武心 BUSHIN,第1話 「生まれ変われるのなら、僕は鳥になりたい」,True
週刊少年サンデー,ハルノクニ,第3話:ひとりぼっちの独立宣言,True
週刊少年サンデー,見上げてごらん,第48話 空と球,True
週刊少年サンデー,妖逆門,第1話:妖怪のげえむ,True
週刊少年サンデー,絶対可憐チルドレン,31th sense. “National Children #4”,True
週刊少年サンデー,地底少年チャッピー,見学その11:チューリ,True
週刊少年サンデー,ハルノクニ,第1話:ハルとギリ,True
週刊少年サンデー,兄ふんじゃった!,54ふんじゃった:連載一周年突破パーティー!,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 182 デスペレイト ファイト オン スノー,True
週刊少年サンデー,聖結晶アルバトロス,ELEMENT 9 ビッグ・ブラザー,True
週刊少年サンデー,犬夜叉,第445話 赤子の誤算,True
週刊少年サンデー,ワイルドライフ,第147話:すみ子の秘密!,True
週刊少年サンデー,焼きたて!!ジャぱん,第195話:霧崎の狙い,True
週刊少年サンデー,ブリザードアクセル,Program 44 あれをやるしかねえ,True
週刊少年サンデー,あいこら,PARTS 27/弓雁の秘密,True
週刊少年サンデー,MAJOR,第544話 男じゃねえ!!,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第52話 終わったのか?,True
週刊少年サンデー,ハヤテのごとく!,第63話 「そして伝説にならない」,True
週刊少年サンデー,結界師,第105話:孤軍,True
週刊少年サンデー,MAR メル,AKT.138 アランVS.ハロウィン 1,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 178 戦場は梁山泊!,True
週刊少年サンデー,クロスゲーム,第16話:月島青葉,True
週刊少年サンデー,聖結晶アルバトロス,ELEMENT 3 ビューティフルサンデー,True
週刊少年サンデー,地底少年チャッピー,見学その1:オフレコ,True
週刊少年サンデー,絶対可憐チルドレン,22th sense. ハート・ブレイカー(4),True
週刊少年サンデー,聖結晶アルバトロス,ELEMENT 1 ボーイ・ミーツ・ガールs,True
週刊少年サンデー,MAJOR,第539話 無心の一打,True
週刊少年サンデー,犬夜叉,第436話 破壊,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第46話 白球一途!,True
週刊少年サンデー,焼きたて!!ジャぱん,第186話:座席で寝泊まり,True
週刊少年サンデー,結界師,第100話:夜行の面々,True
週刊少年サンデー,クロスゲーム,第11話:高1の春,True
週刊少年サンデー,ハヤテのごとく!,第56話 マネーのとら,True
週刊少年サンデー,MAR メル,AKT.132 ウォーゲーム最終決戦 アルヴィスvs.ロラン 2,True
週刊少年サンデー,ブリザードアクセル,Program 34 絶対やり遂げる,True
週刊少年サンデー,見上げてごらん,第32話 最大の難関,True
週刊少年サンデー,MAJOR,第533話 重圧と真価,True
週刊少年サンデー,あいこら,PARTS 15 謎のライフセーバー,True
週刊少年サンデー,金色のガッシュ!!,LEVEL 227 それぞれの役目,True
週刊少年サンデー,道士郎でござる,ござる-69 武士の家,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 167 一影九拳,True
週刊少年サンデー,焼きたて!!ジャぱん,第180話:誰でも簡単に作れる!!!,True
週刊少年サンデー,ハヤテのごとく!,第50話 [RAGING WAVES],True
週刊少年サンデー,最強!都立あおい坂高校野球部,第38球 ファースト、キタロー!,True
週刊少年サンデー,ワイルドライフ,第132話:国際問題!?,True
週刊少年サンデー,クロスゲーム,第5話:ちゃんと?,True
週刊少年サンデー,結界師,第91話:炎鬼,True
週刊少年サンデー,犬夜叉,第426話 妖霊大聖,True
週刊少年サンデー,ブリザードアクセル,Program 27 吹雪と一緒なら,True
週刊少年サンデー,MAR メル,AKT.124 ギンタvs.イアン 3,True
週刊少年サンデー,絶対可憐チルドレン,9th sense 誘惑者(1),True
週刊少年サンデー,からくりサーカス,機械仕掛の神 第58幕:カウントダウン11分前,True
週刊少年サンデー,焼きたて!!ジャぱん,第176話:自由と寛容の国,True
週刊少年サンデー,クロスゲーム,第1話:ヒマだよ,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第33球 天国と地獄!,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 161 弟子…来る!!,True
週刊少年サンデー,絶対可憐チルドレン,6th sense あたしンち,True
週刊少年サンデー,あいこら,PARTS 7/一番キレイな人,True
週刊少年サンデー,うえきの法則＋,第17話 チームで勝つ!,True
週刊少年サンデー,結界師,第86話:胎動,True
週刊少年サンデー,焼きたて!!ジャぱん,第173話:異世界へ!,True
週刊少年サンデー,金色のガッシュ!!,LEVEL 218 ファウード強奪,True
週刊少年サンデー,ワイルドライフ,第125話:ハチベとミツクニ,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第30球 負けるな1番!,True
週刊少年サンデー,犬夜叉,第419話 罠におちた兄弟,True
週刊少年サンデー,うえきの法則＋,第15話 いざ!選考会へ!!,True
週刊少年サンデー,絶対可憐チルドレン,2nd.sense 姿なき保護者(1),True
週刊少年サンデー,ブリザードアクセル,Program 19 目立ちたがり屋の巣窟,True
週刊少年サンデー,絶対可憐チルドレン,1st sense 天使で悪魔,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 156 君の名は…,True
週刊少年サンデー,あいこら,PARTS 1/運命のパーツ,True
週刊少年サンデー,クロザクロ,第46話 活用,True
週刊少年サンデー,ハヤテのごとく!,第37話 「僕らは昔、宇宙刑事に若さとは振り向かない事だと教わった!」,True
週刊少年サンデー,MAR メル,AKT.114 アルヴィズVS.コウガ 2,True
週刊少年サンデー,クロスゲーム,第8話:花火,True
週刊少年サンデー,うえきの法則＋,第10話 植木とハイジ,True
週刊少年サンデー,道士郎でござる,ござる-53 “イザ”の時,True
週刊少年サンデー,結界師,第78話:雷蔵,True
週刊少年サンデー,犬夜叉,第412話 二枯仙,True
週刊少年サンデー,ワイルドライフ,第117話:うおりゃあああああ,True
週刊少年サンデー,ブリザードアクセル,Program 12 合格者は…,True
週刊少年サンデー,金色のガッシュ!!,LEVEL 208 希望の光,True
週刊少年サンデー,クロスゲーム,第4話:何描いたんだ?,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 148 ツインタワーの攻防,True
週刊少年サンデー,うえきの法則＋,第6話 ナガラの頼み,True
週刊少年サンデー,焼きたて!!ジャぱん,第161話:河内の自信,True
週刊少年サンデー,MAJOR,第510話 コジローの実力,True
週刊少年サンデー,見上げてごらん,第8話 団体戦!?,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第18球 バッテリーがいない!?,True
週刊少年サンデー,ブリザードアクセル,Program 7 立ち向かう決意,True
週刊少年サンデー,県立伊手高柔道部物語 いでじゅう!,第133話:キャラクター人気投票結果発表!!,True
週刊少年サンデー,ワイルドライフ,第111話:新しい勤務医,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 144 自分の強さ,True
週刊少年サンデー,ハヤテのごとく!,苦労かけるねおとっつぁん。「モテる苦労はした事ないなぁー」という第27話。,True
週刊少年サンデー,うえきの法則＋,第1話 一期一会の決意,True
週刊少年サンデー,名探偵コナン,FILE.518 平次の思い出,True
週刊少年サンデー,結界師,第70話:適任,True
週刊少年サンデー,焼きたて!!ジャぱん,第156話:十六の島,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第13球 見せたろうじゃん!!,True
週刊少年サンデー,金色のガッシュ!!,LEVEL 200 メルメルメー?,True
週刊少年サンデー,結界師,第68話:美学,True
週刊少年サンデー,見上げてごらん,第1話 そして伝説が始まった,True
週刊少年サンデー,ブリザードアクセル,Program 2 あの感動をもう一度,True
週刊少年サンデー,ブリザードアクセル,Program 1 みんなオレを見ろ!!,True
週刊少年サンデー,犬夜叉,第400話 冥王獣,True
週刊少年サンデー,MAR メル,AKT.100/ジャックVS.キャンディス 1,True
週刊少年サンデー,D-LIVE!!,Episode 33 グレート・レース 6,True
週刊少年サンデー,MAJOR,第500回 ふたたび,True
週刊少年サンデー,思春期刑事ミノル小林,第49話 北京の次はまだ未定,True
週刊少年サンデー,焼きたて!!ジャぱん,第150話:物事の本質,True
週刊少年サンデー,道士郎でござる,ござる-38 ボックル星人,True
週刊少年サンデー,結界師,第62話:ずっと…,True
週刊少年サンデー,県立伊手高柔道部物語 いでじゅう!,第123話:告白,True
週刊少年サンデー,こわしや我聞,第49話 番司を追え!,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 134 妖怪退治,True
週刊少年サンデー,ハヤテのごとく!,のほほん第17話は「バッドエンド直行フラグ立ちまくり」,True
週刊少年サンデー,ワイルドライフ,第100話:パソコンの運命,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第3球 決別,True
週刊少年サンデー,焼きたて!!ジャぱん,第146話:時には深い憎しみを…,True
週刊少年サンデー,MAR メル,AKT.94/5THバトル前夜,True
週刊少年サンデー,最強!都立あおい坂高校野球部,第1球 ピンチにスマイル勝利をゲット!,True
週刊少年サンデー,県立伊手高柔道部物語 いでじゅう!,第118話 鼓動,True
週刊少年サンデー,犬夜叉,第389話 亀裂,True
週刊少年サンデー,ワイルドライフ,第95話:犬の危機,True
週刊少年サンデー,東遊記,第17話:そして…誰もいなくなった…,True
週刊少年サンデー,焼きたて!!ジャぱん,第141話:諏訪原の秘策,True
週刊少年サンデー,MAJOR,第490話 ギブソンの予言,True
週刊少年サンデー,クロザクロ,第19話 回収,True
週刊少年サンデー,思春期刑事ミノル小林,第39話/香典は古いお札で。,True
週刊少年サンデー,結界師,第53話:大首車,True
週刊少年サンデー,MAR メル,AKT.89 真実 2,True
週刊少年サンデー,道士郎でござる,ござる-27 暴力はいかんでござる,True
週刊少年サンデー,県立伊手高柔道部物語 いでじゅう!,第113話 秋の夜長の恋占い,True
週刊少年サンデー,ハヤテのごとく!,もうお嬢さまのおもちゃです!!「ネコミミ・モードで地獄行き」という第8話。えっ?嫌な予感…,True
週刊少年サンデー,名探偵コナン,FILE.500 新たなる黒の者,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 124 新白狩り,True
週刊少年サンデー,MAJOR,第486話 勝負の代償,True
週刊少年サンデー,ワイルドライフ,第90話:観月の「初めて」,True
週刊少年サンデー,結界師,第49話 志々尾限,True
週刊少年サンデー,ハヤテのごとく!,第4話 三千院ナギと秘密の部屋,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 121 リミッター,True
週刊少年サンデー,道士郎でござる,ござる-24 女子を救え!,True
週刊少年サンデー,焼きたて!!ジャぱん,第134話:演技できない美味さ,True
週刊少年サンデー,MAJOR,第483話 アクシデント,True
週刊少年サンデー,ハヤテのごとく!,第1話 サンタの赤は血の色地獄,True
週刊少年サンデー,うえきの法則,第153話 最終決戦!!,True
週刊少年サンデー,ワイルドライフ,第85話:究極の医師,True
週刊少年サンデー,クロザクロ,第10話 犠牲,True
週刊少年サンデー,MAR メル,AKT.80/ナナシVSアクア 3,True
週刊少年サンデー,結界師,第45話:時音の矢,True
週刊少年サンデー,俺様は?,コノヤロウ 83 マッ波!!,True
週刊少年サンデー,DAN DOH!! ネクストジェネレーション,NEXT 25:ラミア突撃!!,True
週刊少年サンデー,MAJOR,第479話 緊急登板,True
週刊少年サンデー,思春期刑事ミノル小林,第28話/ボケーグシャ,True
週刊少年サンデー,焼きたて!!ジャぱん,第129話:三本の矢,True
週刊少年サンデー,東遊記,第4話:人<獣人<魔族,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 116 制空圏,True
週刊少年サンデー,犬夜叉,第375話 胸の穴,True
週刊少年サンデー,こわしや我聞,第28話 新しい絆,True
週刊少年サンデー,絶対可憐チルドレン,#2 あしたのチルドレン,True
週刊少年サンデー,うえきの法則,第147話 四次選考開始!!,True
週刊少年サンデー,絶対可憐チルドレン,#1 あたしたちは天使じゃない,True
週刊少年サンデー,東遊記,第1話:東への旅,True
週刊少年サンデー,県立伊手高柔道部物語 いでじゅう!,第100話:夏の日の午後,True
週刊少年サンデー,金色のガッシュ!!,LEVEL 171 オレの友達,True
週刊少年サンデー,こわしや我聞,第25話 怒拳爆発!,True
週刊少年サンデー,KATSU!,第133話 決着,True
週刊少年サンデー,クロザクロ,第2話 悪魔の種子,True
週刊少年サンデー,クロザクロ,第1話 欲望の花,True
週刊少年サンデー,史上最強の弟子ケンイチ,BATTLE 109 秘技…!?,True
週刊少年サンデー,うえきの法則,第142話 God when young～若き日の神様～,True
週刊少年サンデー,かってに改蔵,最終話 ずっと、いっしょだよ。,True
週刊少年サンデー,道士郎でござる,ござる-10 がんばれ健助!!,True
週刊少年サンデー,からくりサーカス,機械仕掛の神 第2幕:「銀色の女神」,True
