acid,アニメ作品名,アニメ各話数,放送日数,声優数
C10468,CINDERELLABOY,13,13,10.0
C10470,HAPPY★LESSON ADVANCE,13,13,12.0
C10472,グリーングリーン,13,13,13.0
C10474,おねがい☆ツインズ,12,12,12.0
C10476,爆転シュートベイブレード Gレボリューション,51,51,11.0
C10478,MO*USE[マウス],12,12,12.0
C10480,出撃! マシンロボ レスキュー,53,52,12.0
C10482,超ロボット生命体トランスフォーマー マイクロン伝説,52,52,12.0
C10484,魔法遣いに大切なことSOMEDAY'sDREAMERS,12,12,17.0
C10488,GUNPARADEMARCH 新たなる行軍歌,12,12,14.0
C10490,魔獣戦線THE APOCALYPSE,13,13,9.0
C10492,明日のナージャ,50,50,15.0
C10494,クラッシュギアNitro,50,50,15.0
C10496,かっぱまき,130,130,1.0
C10498,天使のしっぽchu!,11,10,15.0
C10504,スクラップド・プリンセス,24,24,19.0
C10506,エアマスター,27,27,15.0
C10508,E'S OTHERWISE,26,26,18.0
C10510,宇宙のステルヴィア,26,26,15.0
C10512,カレイドスター,35,35,18.0
C10514,D・N・ANGELTV AnimationSeries,26,26,15.0
C10516,冒険遊記 プラスターワールド,52,52,
C10518,人間交差点,13,13,4.0
C10520,魔探偵ロキRAGNAROK,26,26,14.0
C10522,無限戦記 ポトリス TANK KNIGHTS PORTRISS,52,52,14.0
C10524,ASTRO BOY 鉄腕アトム,52,52,12.0
C10527,瓶詰妖精,13,13,6.0
C10529,プラネテス ΠΛΑΝΗΤΕΣ,26,26,18.0
C10531,ロックマン エグゼ AXESS,51,51,9.0
C10532,金色の ガッシュベル!!,150,149,16.0
C10534,ソニックX,52,52,16.0
C10536,デ・ジ・キャラットにょ,52,52,13.0
C10538,成恵の世界,12,12,11.0
C10540,FIRE STORM,26,26,11.0
C10542,妄想科学シリーズ ワンダバスタイル,12,12,7.0
C10544,コロッケ!［第1期］,52,51,16.0
C10546,キノの旅the Beautiful World,13,13,
C10548,DEAR BOYS,26,26,15.0
C10550,LASTEXILE,26,26,14.0
C10552,カスミン[第3期],26,26,3.0
C10553,GAD GUARD,19,19,12.0
C10555,TEXHNOLYZE,20,19,8.0
C10557,クロノクルセイド Mary Magdalene,24,24,13.0
C10559,ふたつの スピカ,20,20,9.0
C10561,ボボボーボ・ ボーボボ,77,73,12.0
C10565,ギャラクシーエンジェルS[第3期][スペシャル],2,1,
C10567,GO!GO! カートくん,12,12,3.0
C10569,おじゃる丸[第6期］,90,90,10.0
C10571,忍たま乱太郎[第11期],82,81,19.0
C10573,トントンあったとにいがたの昔ばなし,13,12,1.0
C10575,カレイドスター 新たなる翼,16,16,18.0
C10577,MEZZO DANGER SERVICE AGENCY,13,13,5.0
C10579,超重神グラヴィオンZwei,12,12,18.0
C10581,ゆめりあ,12,12,10.0
C10583,光と水のダフネ DAPHNE IN THE BRILLIANT BLUE,25,25,16.0
C10585,北へ。 Diamond Dust Drops,12,12,4.0
C10590,Divergence EVE,13,13,13.0
C10592,住めば都のコスモス荘すっとこ大戦ドッコイダー,12,12,14.0
C10594,D.C. ダ・カーポ,26,26,
C10596,高橋留美子劇場,13,13,17.0
C10598,骸なる星 珠たる子 なるたる,13,13,14.0
C10600,ぽぽたん,12,12,10.0
C10602,一騎当千,13,13,13.0
C10606,まっすぐにいこう。,4,4,8.0
C10608,ちっちゃな雪使い　シュガ～　特別編,2,2,16.0
C10616,フルメタル・パニック?ふもっふ,11,11,15.0
C10620,PAPUWA,26,26,18.0
C10622,勇午 交渉人,13,13,
C10628,福島民話館 ねえ みんな…,56,56,
C10630,AVENGER,13,13,7.0
C10632,円盤皇女[ゆーふぉーぷりんせす] ワるきゅーレ 十二月の夜想曲,12,12,2.0
C10634,bpS バトルプログラマーシラセ,15,14,9.0
C10636,お茶犬 ちょこっとものがたり,26,26,
C10638,Gungrave,26,26,13.0
C10640,【真月譚】 月姫,12,12,11.0
C10642,ジェイコブの屋根,10,10,
C10647,神魂合体ゴーダンナー!!,13,13,
C10649,最遊記RELOAD,25,25,10.0
C10651,魁!! クロマティ高校,26,25,9.0
C10653,ヤミと帽子と本の旅人,13,13,6.0
C10655,京極夏彦 巷説百物語,13,12,6.0
C10657,鋼の錬金術師,52,51,13.0
C10659,おもいっきり科学アドベンチャー そーなんだ!,26,26,8.0
C10661,君が望む永遠,14,14,10.0
C10663,銀河鉄道物語,26,26,7.0
C10665,高橋留美子劇場 人魚の森,11,11,8.0
C10667,ポポロクロイス,26,26,16.0
C10669,F-ZERO ファルコン伝説,51,51,9.0
C10671,Gilgamesh,25,24,8.0
C10673,わがまま★フェアリーミルモでポン! ごおるでん,24,23,12.0
C10675,PEACE MAKER 鐵,24,24,17.0
C10677,GUNSLINGER GIRL.,14,14,9.0
C10679,藍より青し ～縁～,12,12,9.0
C10682,愛してるぜベイベ★★,26,26,5.0
C10684,まぶらほ,24,24,14.0
C10686,無人惑星サヴァイヴ,53,53,14.0
C10691,攻殻機動隊 S.A.C. 2nd GIG GHOST IN THE SHELL “STAND ALONE COMPLEX“,27,14,10.0
C10699,B-伝説［ビーレジェンド］! バトルビーダマン,52,52,11.0
C10701,SDガンダムフォース,52,52,13.0
C10703,ごくせん,13,13,15.0
C10705,十兵衛ちゃん② ―シベリア柳生の逆襲―,13,13,15.0
C10707,マリア様がみてる,13,13,16.0
C10709,エリア88,13,13,10.0
C10712,RAGNARÖK THE ANIMATION,26,26,10.0
C10714,トランスフォーマー スーパーリンク,52,51,13.0
C10716,モンキーターン,25,25,17.0
C10718,超変身コス∞プレイヤー,8,8,
C10720,BURN-UP SCRAMBLE,12,12,5.0
C10724,かいけつゾロリ,52,52,8.0
C10726,ふたりはプリキュア,49,49,18.0
C10728,妄想代理人,23,13,11.0
C10730,まっすぐにいこう。［第2期］,5,5,10.0
C10732,ヒットをねらえ!,8,8,13.0
C10734,機動戦士 ガンダムSEED [- 虚空の戦場 -],2,2,13.0
C10736,火の鳥,15,15,10.0
C10739,トリニティ・ブラッド,24,24,12.0
C10741,フルメタル・パニック! TSR［The Second Raid］,14,14,11.0
C10747,AIR ［IN SUMMER］,2,2,11.0
C10751,強殖装甲 ガイバー The Bioboosted Armor,27,27,14.0
C10755,スキマの国のポルタ,13,13,
C10757,ロックマンエグゼBEAST,25,25,1.0
C10762,最遊記RELOAD GUNLOCK,26,26,2.0
C10764,モリゾーとキッコロ［第1期］,26,26,5.0
C10766,絶体絶命 でんぢゃらす じーさん ［第2期］,51,50,7.0
C10768,神魂合体ゴーダンナー!! SECOND SEASON,13,13,
C10770,爆裂天使,24,24,8.0
C10772,忘却の旋律,24,24,11.0
C10774,キン肉マンⅡ世 ULTIMATE MUSCLE,13,13,15.0
C10776,GANTZ ～the first stage～,12,12,13.0
C10778,ぷぎゅる,13,13,7.0
C10780,頭文字［［イニシャル］］D Fourth Stage,25,13,16.0
C10782,ROBONIMAL パンダーゼット THE ROBONIMATION,31,31,
C10784,じゃがいぬくん,26,25,
C10786,絢爛舞踏祭 ザ・マーズ・デイブレイク,26,26,18.0
C10788,恋風,13,13,8.0
C10790,この醜くも 美しい世界,12,12,9.0
C10792,天上天下,24,24,12.0
C10794,とっとこハム太郎 はむはむぱらだいちゅ!,103,103,8.0
C10795,今日から 〔○マ〕王![第1期],50,50,17.0
C10797,ケロロ軍曹,358,358,12.0
C10799,DAN DOH!!,26,26,10.0
C10801,マーメイドメロディー ぴちぴちピッチ ピュア,39,39,16.0
C10803,それいけ! ズッコケ三人組,26,26,12.0
C10805,超ぽじてぃぶ! ファイターズ,34,34,8.0
C10807,マシュマロ通信［タイムズ］,52,51,10.0
C10809,美鳥の日々,13,13,10.0
C10811,じゃがいぬくん［シリーズ］,26,25,6.0
C10813,レジェンズ 甦る竜王伝説,50,50,16.0
C10815,Get Ride! アムドライバー,51,51,14.0
C10816,神無月の巫女,12,12,12.0
C10818,ななみちゃん,12,12,4.0
C10821,VIEWTIFUL JOE,51,51,9.0
C10823,魔法少女リリカルなのは,13,13,14.0
C10826,せんせいの お時間 DOKI DOKI SCHOOL HOURS,13,12,15.0
C10828,花右京メイド隊 La Verite,12,12,9.0
C10830,わがまま★フェアリーミルモでポン! わんだほう,48,44,2.0
C10832,MADLAX,26,25,9.0
