アニメ作品ID,アニメ作品名,放送曜日,合計話数
C12963,どうする? ゆうきくん,月,44
C14138,IXION SAGA Dimension Transfer イクシオン サーガ DT,月,25
C14828,きょうの料理　ビギナーズ　[第7期],月,8
C14140,ガールズ ＆ パンツァー,月,2
C10807,マシュマロ通信［タイムズ］,月,2
C12975,桂三枝の アニメで一席,月,1
C14831,ぎんぎつね,月,12
C10811,じゃがいぬくん［シリーズ］,月,2
C15351,プロジェクト パポ,月,5
C15464,赤髪の白雪姫[第1期],月,12
C9380,爆走兄弟レッツ＆ゴー!! WGP,月,51
C10815,Get Ride! アムドライバー,月,51
C13386,なぜ? どうして? がおがおぶーっ!,月,6
C10818,ななみちゃん,月,6
C14144,ロンゴマックス　論語MAX,月,4
C12146,ちゅーぶら!!,月,12
C15460,おじゃる丸［第18期］,月,1
C10826,せんせいの お時間 DOKI DOKI SCHOOL HOURS,月,13
C10828,花右京メイド隊 La Verite,月,12
C13384,ニコニコ♪コニーちゃん,月,1
C12132,FAIRY TAIL,月,72
C14832,キングダム[第1期][総集編],月,4
C13298,先生のチョンマゲアッパレひでよしくん,月,1
C13046,電脳戦士 土管くん,月,11
C13294,ネコべん,月,1
C13182,いない いない ばあっ! [第12期],月,22
C15091,いない いない ばあっ![第4期],月,7
C13105,忍たま 乱太郎[第14期],月,10
C14589,鬼警部 アンパン,月,1
C11699,そらのおとしもの,月,13
C16022,ななにんのあやかし ‐ ちみちみ魍魎 !! 現代物語 ‐,月,4
C15997,はなかっぱ[第7期],月,18
C14588,大人のためのアニマイム物語,月,6
C13107,おじゃる丸[第9期],月,18
C9551,バーバパパ 世界をまわる,月,10
C11444,ゼロの使い魔双月の騎士,月,12
C11446,もえたん,月,12
C15014,スペース★ダンディ［第1期］,月,13
C15083,彼女がフラグを おられたら,月,13
C15015,スペース★ダンディ［第2期］,月,12
C13170,ケンちゃんの 晩めし前!,月,75
C11464,シャンプー王子,月,12
C13109,いない いない ばあっ! [第11期],月,18
C13168,Funny Pets [第2期],月,11
C9622,忍たま乱太郎[第6期],月,12
C13166,機動戦士 ガンダム S［シード］ DESTINY ［総集編］運命［さだめ］の業火,月,1
C11676,まかでみWAっしょい!,月,12
C11476,PRISM ARK,月,12
C9547,GTO,月,1
C15081,忍たま 乱太郎［第22期］,月,15
C9624,ああっ女神さまっ 小っちゃいって事は便利だねっ,月,48
C15002,オレカバトル,月,51
C9628,南海奇皇[第1期],月,24
