アニメ作品ID,アニメ作品名,放送曜日,合計話数
C10368,ナッチョとポム,木,5
C10314,GUN FRONTIER,木,13
C10362,藍より青し,木,24
C8815,うちのショコラ,木,50
C11926,鉄腕バーディーDECODE:02,木,1
C9495,深海伝説MEREMANOID,木,24
C9557,ブギーポップは 笑わない Boogiepop Phantom,木,12
C11647,チーズスイートホーム,木,26
C11910,エグザムライ戦国,木,13
C13467,リタと ナントカ,木,5
C10340,アベノ橋魔法☆商店街,木,13
C10334,おじゃる丸[第5期］,木,18
C10324,ベイベー ばぁちゃん,木,11
C8943,ポコニャン!,木,31
C10320,.hack// SIGN,木,26
C9555,スーパーマン,木,2
C9869,風雲! 戦国を駆ける武将 ～ アニメ 静岡県史～,木,3
C11683,アリソンとリリア,木,24
C8728,ハローESCARGOT島,木,20
C13585,おじゃる丸[第13期],木,20
C13684,クッキンアイドル アイ!マイ! まいん![第3期],木,16
C11846,ロザリオとバンパイア CAPU 2[チュ～]❤,木,13
C11844,ヒャッコ,木,13
C11842,とらドラ!,木,25
C11840,屍姫赫,木,13
C10098,シスター・プリンセス,木,27
C10096,GENE shaft,木,13
C13709,忍たま 乱太郎[第19期],木,18
C11768,スケアクロウマンSCARECROWMAN THE ANIMATION,木,26
C11838,キャシャーンSins,木,13
C10056,も～っと! おジャ魔女どれみ,木,1
C8696,おばけの…ホーリー,木,45
C9521,異次元の世界エルハザード,木,12
C10109,パチスロ貴族 銀,木,23
C10051,激動! 歴史を変える男たち ～ アニメ 静岡県史～,木,2
C9525,セクシーコマンドー外伝 すごいよ!! マサルさん,木,13
C10042,ピポパポ パトルくん,木,13
C11780,いじいじくん,木,4
C11812,のらみみ2,木,12
C9989,ハムスター 倶楽部,木,26
C10022,ベイビーフィリックス,木,9
C9528,KAIKAN フレーズ,木,1
C9532,ぶぶチャチャ,木,26
C11784,スレイヤーズREVOLUTION,木,13
C10006,Mr.Digital TOKORO the comical cartoon ［第1期］,木,24
C13769,フリージング,木,1
C8680,三つ目がとおる,木,48
C11786,魔法遣いに大切なこと～夏のソラ～,木,12
C9523,AWOL ABSENT WITHOUT LEAVE,木,12
C9536,わたせ せいぞう ひと粒の恋,木,1
C9966,妖しのセレス,木,24
C13675,おはよう忍者隊 ガッチャマン,木,96
C10217,こげぱん,木,2
C11689,けいおん!,木,1
C11868,TYTANIA,木,25
C9503,ネクスト戦記EHRGEIZ,木,12
C10199,ピロッポ,木,22
C10197,Hellsing,木,13
C9939,地球防衛家族,木,1
C10179,ストレイシープ ポーのちっちゃな大冒険,木,2
C8726,おてんきボーイズ,木,2
C13615,gdgd 妖精s,木,12
C10177,ナジカ電撃作戦,木,6
C13622,KEN ＆ The Monster ケンとかいじゅう,木,5
C8724,シティーハンター'91,木,3
C13645,額縁をくぐって物語の中へ　[シリーズ],木,20
C10173,おとぎストーリー 天使のしっぽ,木,12
C11703,リストランテ・パラディーゾ,木,11
C10165,くるくるアミー,木,13
C10157,Di Gi Charat なつやすみスペシャル,木,2
C13653,TIGER ＆ BUNNY,木,1
C11716,仮面のメイドガイ,木,12
C10141,魔法少女猫 たると,木,12
C10139,フルーツバスケット,木,27
C10125,オフサイド,木,39
C8718,少年アシベ,木,72
C9543,SURF SIDE HIGH-SCHOOL,木,5
C8712,ジャンケンマン,木,51
C13673,おじゃる丸[第14期],木,17
C10119,だいすき! ぶぶ チャチャ,木,26
C9539,日本一の男の魂2,木,17
C13412,UN-GO,木,1
C8844,手塚治虫の 旧約聖書物語 In The Beginning,木,5
C9259,怪盗セイント・テール,木,43
C10510,宇宙のステルヴィア,木,26
C13358,いない いない ばあっ! [第13期],木,22
C9434,HAUNTED じゃんくしょん,木,12
C13275,やっこはん姉妹きぬやっこ もめんやっこ,木,1
C11976,QUEEN'S BLADE 玉座を継ぐ者,木,12
C9859,101 101匹わんちゃん,木,9
C13363,イタズラなKiss,木,25
C10512,カレイドスター,木,25
C13273,ななみちゃん[第4期],木,1
C9476,あずみマンマ・ミーア,木,10
C10432,Weｉβ kreuz Glühen,木,12
C13323,ともだち8にん,木,19
C11948,キャラディのジョ～クな毎日,木,57
C10460,SUBMARINESUPER 99,木,13
C10514,D・N・ANGELTV AnimationSeries,木,26
C10430,ポケットモンスター アドバンスジェネレーション,木,191
C10516,冒険遊記 プラスターワールド,木,51
C10450,ななか6/17,木,12
C10440,忍たま乱太郎［第10期］,木,16
C10426,げんきげんきノンタン,木,2
C12049,青い花 Sweet Blue Flowers,木,11
C9861,ヨシモト ムチッ子物語[CG版],木,17
C12047,ファイト一発!充電ちゃん!!,木,12
C10498,天使のしっぽchu!,木,9
C8903,カリメロ（新）,木,40
C13277,ウスペラーズ,木,1
C10452,THEビッグオー[第2期],木,13
C13350,ぴっくみー,木,24
C8857,見ると強くなる痛快! 横綱アニメ ああ播磨灘,木,22
C8853,あしたへフリーキック,木,1
C13290,スイスイ! フィジー!,木,50
C13354,おじゃる丸[第11期],木,18
C10496,かっぱまき,木,26
C11569,神霊狩/GHOST HOUND,木,10
C12000,アスラ クライン 2,木,13
C9470,はれときどきぶた,木,35
C12045,うみものがたり～あなたがいてくれたコト～,木,12
C13356,忍たま乱太郎[第16期],木,20
C10446,L/RLicensed by Royal,木,12
C9472,みすて❤ないで デイジー,木,12
C13266,AFROSAMURAI,木,2
C11971,アスラクライン,木,13
C10488,GUNPARADEMARCH 新たなる行軍歌,木,12
C13384,ニコニコ♪コニーちゃん,木,1
C8901,風の中の少女 金髪のジェニー,木,49
C9563,ふたり暮らし,木,9
C9418,のらねこダウンタウン,木,2
C13386,なぜ? どうして? がおがおぶーっ!,木,5
C9845,週刊ストーリーランド,木,70
C10553,GAD GUARD,木,19
C9483,エルフを狩るモノたち Ⅱ,木,12
C13246,きょうの料理ビギナーズ,木,24
C8847,クッキングパパ,木,156
C10392,陸上防衛隊まおちゃん,木,26
C13396,スッキリ!!・クロラ,木,4
C10390,円盤皇女 ワるきゅーレ,木,12
C10555,TEXHNOLYZE,木,20
C8846,ポケットモンスター,木,150
C9436,MAZE★爆熱時空,木,25
C11950,QUEEN'S BLADE 流浪の戦士,木,12
C10448,.hack//黄昏の腕輪伝説,木,12
C11607,のらみみ,木,12
C10415,冒険者 THE MAN WAS FROM SPAIN,木,20
C9857,いつも心に太陽を!,木,5
C9578,イケてる2人,木,4
C8849,クレヨンしんちゃん,木,17
C9602,TRIGUN,木,26
C9576,火魅子伝,木,12
C9865,Di Gi Charat,木,4
C10408,まほろまてぃっく Automatic Maiden ～もっと美しいもの～,木,1
C13372,やさいのようせいN.Y. SALAD[第2期],木,5
C8891,ノンタンと いっしょ,木,66
C9549,下級生,金,13
C9545,なんでもQ むしまるQ ゴールド,金,12
C15084,普通の女子校生が 【ろこどる】 やってみた。,金,11
C9543,SURF SIDE HIGH-SCHOOL,金,5
C15001,おじゃる丸［第17期］,金,14
C11438,ムシウタ Dreamer's hopeless and intense desire.,金,12
C11239,Rozen Maiden träumend,金,12
C11708,マクロスF[フロンティア],金,25
C15999,ZIP! presents 朝だよ! 貝社員,金,37
C9622,忍たま乱太郎[第6期],金,12
C15061,悪魔の リドル riddle story of devil,金,12
C11448,モノノ怪,金,12
C11227,BLACK CAT,金,24
C11229,舞-乙HiME［マイオトメ］,金,26
C11237,Paradise kiss,金,12
C15287,きょうの料理 ビギナーズ [第8期],金,1
C11706,xxxHOLiC◆継[ケイ],金,13
C11337,ロケットガール,金,6
C11533,カイバ,金,12
C15998,ゴー!ゴー! キッチン戦隊 クックルン[第2期],金,13
C15071,犬神さんと猫山さん,金,13
C11512,逮捕しちゃうぞフルスロットル,金,23
C14992,Z/X IGNITION,金,12
C9604,カウボーイビバップ,金,13
C11780,いじいじくん,金,4
C11510,灼眼のシャナ Ⅱ[Second],金,24
C9608,ロスト・ユニバース,金,26
C9606,LEGEND OF BASARA,金,13
C15068,銀の匙 Silver Spoon［第2期］,金,11
C11154,あまえ ないでよっ!!,金,12
C15341,スパイダーマン [2004年版・合作],金,7
C16028,バリィさんの 諸国漫遊記,金,10
C14988,STRANGE +,金,13
C11162,苺ましまろ,金,12
C15074,真[SIN]ストレンジ+プラス,金,13
C11508,CLANNAD,金,23
C15339,バットマン ザ・フューチャー,金,12
C11450,シグルイ,金,4
C15288,きらめけ!! メガネボーイ,金,6
C11748,純情ロマンチカ,金,12
C9673,LET'Sぬぷぬぷっ,金,4
C15081,忍たま 乱太郎［第22期］,金,15
C11750,図書館戦争,金,12
C11452,BACCANO!,金,13
C11189,Solty Rei,金,24
C11478,こどものじかん,金,12
C11182,ぺとぺとさん,金,13
C16025,きょ～ふ! ゾンビ猫,金,40
C11180,SHUFFLE!,金,24
C15080,東京喰種 トーキョーグール,金,12
C11529,ファイアボール,金,13
C15064,鬼灯の 冷徹,金,13
C9539,日本一の男の魂2,金,12
C16023,INAZMA DELIVERY [第1期],金,2
C15280,おはよう ハクション 大魔王,金,35
C11695,Phantom Requiem for the Phantom,金,26
C11306,DARKER THANBLACK黒の契約者,金,25
C11304,鋼鉄三国志,金,25
C15027,となりの関くん［地上波未放映版］,金,8
C11302,かみちゃまかりん,金,26
C11359,やさいのようせいN.Y. SALAD,金,12
C15988,ガーリッシュナンバー gi（a）rlish number,金,12
C15050,ベイビーステップ,金,1
C16014,ムズムズ18 エイティーン [第3期],金,1
C9626,アリスSOS,金,8
C15987,DRIFTERS Battle in a Brand-new World War,金,12
C15092,いない いない ばあっ![第5期],金,13
C16002,おじゃる丸[第19期],金,22
C16015,舟を編む,金,11
C9654,浦安鉄筋家族,金,8
C11296,アニ*クリ15,金,1
C16016,おしえて！ じしょたんず!![舟を編む],金,11
C15995,忍たま 乱太郎 [第24期],金,14
C9578,イケてる2人,金,4
C9555,スーパーマン,金,2
C11605,true tears,金,1
C11611,onちゃん[第1期],金,26
C15235,PSYCHO-PASS 2,金,11
C15240,ふうせんいぬ ティニー,金,15
C9646,頭文字D,金,1
C11623,GUNSLINGER GIRL.IL TEATRINO,金,1
C15233,旦那が何を言っているか わからない件 2スレ目,金,13
C11625,狼と香辛料,金,1
C11591,H2O～FOOTPRINTS IN THE SAND～,金,12
C16007,ろんぐ らいだぁす! ❤Let's enjoy cycling!,金,1
C9650,パニポニ,金,28
C15991,ドリフェス!!!!!！ ―― DREAM FESTIVAL ――,金,13
C15045,ピンポン THE ANIMATION,金,11
C15990,私 がモテて どうすんだ,金,12
C9557,ブギーポップは 笑わない Boogiepop Phantom,金,1
C9563,ふたり暮らし,金,9
C15094,バットマン THE ANIMATED SERIES,金,5
C11627,墓場鬼太郎,金,11
C11292,おおきく振りかぶって,金,25
C11656,Qファイターズ!チョロQデッキシステム,金,1
C11288,怪物王女,金,25
C11418,はぴはぴクローバー,金,13
C11253,南の島の小さな飛行機バーディー[第1期],金,3
C11551,Disneyスティッチ!,金,1
C15012,シドニアの騎士,金,12
C9661,おじゃる丸,金,17
C11689,けいおん!,金,12
C11540,ToLOVEる,金,26
C11684,のだめカンタービレ巴里編,金,11
C15060,ロボットガールズ Z,金,1
C11434,スカイガールズ,金,26
C11538,紅 KURENAI,金,12
C16021,神々の記,金,4
C15088,龍ヶ嬢七々々の 埋蔵金,金,11
C11691,バスカッシュ!,金,26
C11436,ひぐらしのなく頃に解,金,11
C11693,PandoraHearts,金,25
C11245,かりん,金,24
C11683,アリソンとリリア,金,2
C11565,もやしもんTALES OF AGRICULTURE,金,11
C16019,100％ パスカル先生,金,1
C15274,愛天地無用!,金,12
C9551,バーバパパ 世界をまわる,金,10
C9582,超発明BOYカニパン,金,21
C11281,Saint October,金,26
C16018,ラララ. ララちゃん ～パタ パタ だいせんそう～,金,10
C11279,京四郎と永遠の空,金,12
C11277,東京魔人學園剣風帖 龍*,金,14
C15091,いない いない ばあっ![第4期],金,7
C11406,トレジャーガウスト,金,1
C15277,レーカン!,金,13
C15981,文豪ストレイドッグス [第2期],金,12
C15279,わかば・ガール,金,13
C11410,湾岸MIDNIGHT,金,25
C11569,神霊狩/GHOST HOUND,金,12
C9658,影技 SHADOW SKILL,金,26
C11257,モリゾーとキッコロ ［第2期］,金,4
C11677,東のエデン Air Communication,金,12
C15087,妖怪ウォッチ,金,359
C15989,バーナード嬢曰く。,金,13
C9756,イソップ ワールド,金,5
C11139,ハチミツとクローバー,金,24
C9861,ヨシモト ムチッ子物語[CG版],金,17
C10432,Weｉβ kreuz Glühen,金,1
C15598,ウサビッチ[ZERO],金,10
C10428,奇鋼仙女 ロウラン,金,28
C10426,げんきげんきノンタン,金,3
C10419,ワンダーベビルくん,金,30
C15601,【オレアレ】,金,1
C9865,Di Gi Charat,金,4
C15602,キョートカクテル Season 2,金,1
C15807,暗殺教室[第2期],金,25
C10408,まほろまてぃっく Automatic Maiden ～もっと美しいもの～,金,14
C10406,アクエリアンエイジ Sign for Evolution,金,13
C10398,プリンセスチュチュ,金,41
C15604,Good Morning!!! DORONJO,金,12
C15593,わし*も[第1期],金,2
C15805,おじさんとマシュマロ,金,13
C15803,PHANTASY STAR ONLINE 2 THE ANIMATION,金,12
C15802,僕だけがいない街,金,12
C15801,猫も、オンダケ,金,12
C15615,東京喰種 トーキョーグール √A,金,12
C15620,ハッピー ジョージ,金,14
C9867,お茶の水博士の 20世紀の贈りもの,金,1
C10374,リリパット王国,金,82
C10370,ホイッスル!,金,2
C10368,ナッチョとポム,金,34
C15623,ビーズの森の らびぃ,金,1
C10364,あたしンち,金,219
C15624,ピカイア![シリーズ],金,2
C9869,風雲! 戦国を駆ける武将 ～ アニメ 静岡県史～,金,2
C9875,MONKEY MAGiC,金,1
C15804,だがしかし,金,23
C15627,ふうせんいぬ ティニー[第2期],金,12
C10440,忍たま乱太郎［第10期］,金,16
C10446,L/RLicensed by Royal,金,1
C10579,超重神グラヴィオンZwei,金,12
C9835,BLUE GENDER,金,26
C10571,忍たま乱太郎[第11期],金,16
C15537,鷹の爪 EX[エクストリーム],金,32
C10569,おじゃる丸[第6期］,金,18
C9837,へっぽこ 実験アニメーション エクセル❤サーガ,金,25
C10567,GO!GO! カートくん,金,1
C9847,頭文字[[イニシャル]]D Second Stage,金,13
C15546,みんなだいすき そらジロー,金,3
C15549,森の人と 小てんぐちゃん,金,1
C9855,ONE PIECE,金,1
C10522,無限戦記 ポトリス TANK KNIGHTS PORTRISS,金,1
C15558,ランス アンドマスクスKnights of the World.,金,24
C9857,いつも心に太陽を!,金,5
C15808,Divine Gate,金,12
C10498,天使のしっぽchu!,金,1
C10496,かっぱまき,金,26
C10492,明日のナージャ,金,1
C10484,魔法遣いに大切なことSOMEDAY'sDREAMERS,金,12
C10482,超ロボット生命体トランスフォーマー マイクロン伝説,金,51
C15575,スミ子,金,8
C9859,101 101匹わんちゃん,金,4
C15578,地下すぎアイドル あかえ ちゃん,金,1
C15810,ヘヴィー オブジェクト,金,5
C10470,HAPPY★LESSON ADVANCE,金,10
C10462,SaintBeast 四聖獣 ～聖獣降臨編～,金,8
C15581,ナンダカ ベロニカ,金,2
C10458,東京ムービー劇場梅四エッキス,金,13
C15583,バキバキ モンスター,金,2
C15589,ゆうとくんがいく,金,1
C15569,監督不行届,金,13
C10581,ゆめりあ,金,12
C10342,爆闘宣言ダイガンダー,金,39
C10334,おじゃる丸[第5期］,金,18
C10157,Di Gi Charat なつやすみスペシャル,金,2
C9958,星界の戦旗,金,15
C15722,アルプスの少女ハイジ? ちゃら おんじ,金,80
C15727,普通の女子校生が【ろこどる】やってみた。[クリスマススペシャル],金,2
C15778,古代紀行 ドキュメンタリー 古事記の世界 CGアニメでひも解く 日本誕生物語 [第2期],金,1
C9962,遊☆戯☆王 デュエルモンスターズ,金,1
C15777,ゴー!ゴー! キッチン戦隊 クックルン,金,20
C10117,パラッパラッパー,金,13
C10113,花右京メイド隊,金,12
C10111,鋼鉄天使 くるみ2式,金,12
C10106,破邪巨星 G弾劾凰,金,13
C15776,きょうの料理 ビギナーズ [第9期],金,1
C10104,NOIR,金,26
C10102,電脳冒険記ウェブダイバー,金,38
C9956,コレクター・ユイ [第2期],金,26
C10100,Di Gi Charat お花見すぺしゃる,金,4
C9973,BRIGA DOON まりん と メラン,金,26
C10051,激動! 歴史を変える男たち ～ アニメ 静岡県史～,金,2
C10042,ピポパポ パトルくん,金,13
C15755,島耕作の アジア新世紀伝 新春スペシャル Special,金,2
C9987,BARRY PARTY,金,26
C10038,ドッとKONIちゃん,金,1
C15760,牙狼 紅蓮ノ月,金,3
C10022,ベイビーフィリックス,金,9
C9989,ハムスター 倶楽部,金,29
C10014,アルジェント ソーマ,金,24
C15766,ルパン三世［第4期］,金,48
C10006,Mr.Digital TOKORO the comical cartoon ［第1期］,金,24
C15769,マルタの冒険[第2期],金,12
C15771,もじもじおばけ ばけまつ,金,7
C9970,とっとこハム太郎,金,193
C15634,みりたり！,金,13
C15714,不思議の国のロンリ劇場 [第2期],金,10
C10175,VANDREAD the Second Stage,金,13
C15638,乱歩奇譚 Game of Laplace,金,11
C15656,青春[アオハル]×機関銃[特別編],金,2
C15799,ムズムズ18 エイティーン[第1期],金,1
C10304,おジャ魔女どれみドッカ～ン!,金,2
C15664,影鰐KAGEWANI,金,26
C15665,K RETURN OF KINGS,金,8
C15797,ラララ ララちゃん,金,2
C10288,巨人の星 【特別篇】 猛虎 花形満 ～『巨人の星』全182話より特別編集～,金,3
C10286,デュエル・マスターズ,金,3
C15674,すべてがFになる,金,22
C15794,それいけ! サブイボマスク,金,8
C15793,ほのぼのログ honobono log,金,2
C10256,攻殻機動隊 STAND ALONE COMPLEX,金,4
C15690,少年メイド,金,12
C10165,くるくるアミー,金,13
C15691,坂本ですが?,金,25
C15694,ミス・モノクローム-The Animation- 3,金,26
C15695,ヤングブラック.ジャック,金,24
C10217,こげぱん,金,2
C15696,謎*新聞 ミライタイムズ [第1期],金,1
C10215,i wish you were here あなたがここにいてほしい,金,1
C10205,バンパイヤン・キッズ,金,2
C10201,コ・コ・ロ・図・書・館,金,12
C15697,猫嫌いの家に 生まれた猫好きが 猫と暮らす絵日記,金,1
C10199,ピロッポ,金,1
C10177,ナジカ電撃作戦,金,6
C15784,ゆるゆり なちゅやちゅみ!+[ぷらす],金,2
C15783,野球部 あるある,金,3
C15782,団地 ともお [スペシャル],金,1
C15781,鷹の爪 DO,金,38
C10233,ぱにょ ぱにょ デ・ジ・キャラット,金,8
C10583,光と水のダフネ DAPHNE IN THE BRILLIANT BLUE,金,12
C10600,ぽぽたん,金,12
C15530,蒼穹のファフナーDead Aggressor EXODUS[第2期],金,8
C15402,旦那が何を言っているかわからない件,金,13
C15939,迷 家[マヨイガ],金,1
C15404,島耕作のアジア立志伝　[第4期],金,2
C15405,曇天に笑う,金,1
C15915,サバ パラ Saba-gee Paradise,金,6
C15911,ももくり,金,14
C15414,うらわの調*ちゃん[うさぎ],金,12
C10984,ひだまりスケッチ,金,14
C10982,のだめ カンタービレ,金,23
C15905,ALL OUT!!,金,12
C10980,VenusVersusVirus,金,12
C9728,やんちゃる モンちゃ,金,5
C10951,ああっ女神さまっ,金,25
C10949,アークエと ガッチンポーてんこもり,金,12
C10992,NARUTO疾風伝,金,1
C9736,ゴクドーくん漫遊記,金,26
C10930,みどりのくにの こえだちゃん,金,51
C9738,To Heart,金,13
C15896,この美術部 には 問題がある！,金,27
C9740,ベターマン,金,26
C10916,舞-HiME,金,26
C15436,忍たま 乱太郎[第23期],金,15
C15893,あまんちゅ！,金,14
C10904,宇宙交響詩メーテル 銀河鉄道999 外伝,金,13
C15440,パンチ ライン,金,12
C10884,機動戦士 ガンダムSEED [- 遥かなる暁 -],金,1
C15891,はんだくん,金,24
C15445,魔法少女 リリカル なのは☆ ViVid,金,13
C9752,おじゃる丸[第2期],金,18
C15448,やはり俺の 青春ラブコメは まちがっている。 ― 続 ―,金,13
C15428,蒼穹のファフナー Dead Aggressor EXODUS,金,13
C10866,KURAU Phantom Memory,金,13
C11003,遊☆戯☆王 デュエルモンスターズ GX,金,1
C11009,ジパング,金,26
C9695,Only・You ビバ! キャバクラ,金,4
C15345,ハウス・オブ・マウス ～ミッキーと ディズニーのなかまたち～,金,1
C15346,[ペコラ],金,1
C11133,これが私の御主人様,金,12
C11131,おでんくん The Adventure of Oden-kun[第1期],金,39
C11119,アイシールド21,金,1
C11099,SPEED GRAPHER,金,24
C15351,プロジェクト パポ,金,5
C9701,夢で逢えたら,金,4
C11085,GIRLSブラボー second season,金,13
C11083,だめっこどうぶつ,金,5
C15357,目玉焼きの黄身、いつつぶす？,金,1
C11073,AIR,金,13
C9717,日本一の男の魂,金,12
C15395,四月は君の嘘　I met the girl　 under full-bloomed cherry　 blossoms. and my fate has　 begun to change.,金,22
C11059,［ぶんちゃかトリオ］,金,18
C11051,ぴりっとQ［第2期］,金,5
C15375,おまけアニメ ゆるがろ ララフォンソのドキドキティータイム,金,11
C11045,忍たま乱太郎［第12期］,金,17
C11043,おじゃる丸［第7期］,金,18
C11041,パンツぱんくろう,金,21
C11039,いない いない ばあっ!［第9期］,金,17
C15384,ナノ・インベーダーズ,金,12
C15385,俺、ツインテールに なります。,金,12
C11037,コロッケ!［第2期］,金,1
C9720,逮捕しちゃうぞ[Special],金,5
C15388,甘城ブリリアント パーク,金,13
C11023,グレネーダー ほほえみの閃士,金,13
C11011,Rozen Maiden,金,12
C15392,結城友奈は勇者である,金,12
C15365,G[Gundam]のレコンギスタ,金,26
C14986,ｓｅｌｅｃｔｏｒ infected WIXOSS,金,12
C15452,幸×腹 グラフィティ,金,12
C10864,SAMURAI 7,金,1
C10734,機動戦士 ガンダムSEED [- 虚空の戦場 -],金,1
C15861,うしおととら[第2期],金,13
C15859,彼女と彼女の猫 -Everything Flows-,金,4
C15858,この男子、 魔法がお仕事です。,金,4
C10714,トランスフォーマー スーパーリンク,金,51
C15857,旅街レイトショー Awaiting my journey,金,4
C15856,石膏ボーイズ,金,12
C9804,COLORFUL,金,4
C15509,ミス・モノクローム -The Animation- 2,金,13
C10709,エリア88,金,12
C15855,紅殻のパンドラ GHOST URN,金,12
C15854,おしえて! ギャル子 ちゃん,金,12
C9806,アレクサンダー戦記［合作］,金,3
C10677,GUNSLINGER GIRL.,金,1
C15863,あはれ! 名作 くん,金,26
C15516,ぐでたま,金,86
C15518,Go!Go! 家電男子[第2期],金,31
C15851,Re:ぷち Re:プチから始める異世界生活,金,14
C15520,コンパクト もののくま,金,4
C15850,Re:ゼロ から始める休憩時間[ブレイク タイム],金,11
C10657,鋼の錬金術師,金,1
C10653,ヤミと帽子と本の旅人,金,13
C10651,魁!! クロマティ高校,金,26
C10640,【真月譚】 月姫,金,12
C15523,すすめ! キッチン戦隊 クックルン[第2期],金,12
C10632,円盤皇女[ゆーふぉーぷりんせす] ワるきゅーレ 十二月の夜想曲,金,12
C9818,イッパツ危機娘,金,4
C10608,ちっちゃな雪使い　シュガ～　特別編,金,2
C15525,こにぎり くん,金,1
C15529,だんちがい,金,13
C9808,GREGORY HORROR SHOW,金,12
C9800,人形[からくり]草紙 あやつり 左近,金,25
C10739,トリニティ・ブラッド,金,23
C15493,それが声優！,金,13
C15454,銃皇無尽の ファフニール,金,12
C10857,こいこい7,金,1
C10839,魔法少女隊アルス,金,40
C15460,おじゃる丸［第18期］,金,20
C15461,冴えない彼女*の 育てかた[ヒロイン],金,13
C9772,コレクター・ユイ[第1期],金,26
C10811,じゃがいぬくん［シリーズ］,金,2
C15463,青春[アオハル]×機関銃,金,12
C15465,アクエリオン ロゴス,金,4
C15882,ぐらP & ろで夫 II,金,27
C9774,∀ GUNDAM,金,48
C9780,メダロット,金,52
C15469,うーさーの その日暮らし 夢幻編,金,13
C15470,うしおととら,金,26
C15878,銀河機攻隊 マジェスティック プリンス[第25話],金,1
C10797,ケロロ軍曹,金,103
C9784,パパと踊ろう,金,6
C15867,宇宙 パトロール ルル 子,金,13
C9798,チックン タック,金,1
C15870,甲鉄城のカバネリ,金,12
C15488,城下町の ダンデライオン,金,23
C15487,純情ロマンチカ3,金,12
C10762,最遊記RELOAD GUNLOCK,金,26
C11148,雪の女王,金,3
C15875,KAGEWANI 影鰐 承,金,13
C15479,空戦魔導士 候補生の教官,金,12
C10788,恋風,金,12
C10790,この醜くも 美しい世界,金,12
C10792,天上天下,金,24
C10794,とっとこハム太郎 はむはむぱらだいちゅ!,金,103
C15876,斉木楠雄のΨ難,金,14
C10784,じゃがいぬくん,金,2
C11788,ストライクウィッチーズ,金,12
C13774,へうげもの,金,2
C14983,ｐｕｐａ,金,12
C13070,[おかあさんと あそぼっ!] きょうの おはなし,金,2
C13071,ななみちゃんのわくわくどうぶつえん,金,1
C14594,きょうの料理 ビギナーズ[第3期],金,1
C13081,FNS地球特捜隊 ダイバスター［シリーズ］,金,130
C13087,CG侍,金,13
C16204,あはれ!名作くん［2期］［ビットワールド］,金,21
C13068,おじゃる丸[第10期],金,17
C14591,KAWASAKI Frontale × 天体 戦士 サンレッド,金,4
C13105,忍たま 乱太郎[第14期],金,10
C14587,おじゃる丸[第12期],金,9
C13107,おじゃる丸[第9期],金,18
C13109,いない いない ばあっ! [第11期],金,18
C14585,いない いない ばあっ![第14期],金,23
C13111,パンツ コインちゃん,金,1
C8998,ママレ～ド❤ボ～イ,金,1
C13118,おでんくん The Adventure of Oden-kun [第2期],金,33
C13066,忍たま 乱太郎[第15期],金,10
C13058,人形アニメーションリカちゃん,金,2
C9062,ハックルベリー・フィン物語,金,26
C9056,メタルファイター❤MIKU,金,13
C9026,機動武闘伝Gガンダム,金,52
C14620,MEAT OR DIE [YANS! GANS!],金,12
C14618,ブクブクアワー,金,3
C14616,ひよこねこ,金,3
C13064,コロコロアニマル,金,12
C13018,なぞなぞう,金,1
C13022,東京魔人學園剣風帖 龍* 第弐幕,金,12
C13024,絶体絶命でんぢゃらすじーさん～おはスタ夏の特別編～,金,1
C14614,忍たま乱太郎[第17期],金,18
C9022,銀河戦国群雄伝ライ,金,51
C13031,猫ラーメン,金,13
C13056,ビーンワールド,金,10
C14615,NAKED WOLVES,金,1
C13120,南の島の小さな飛行機 バーディー[第2期],金,2
C8975,彼氏彼女の事情,金,33
C13138,機動戦士 ガンダム S［シード］ DESTINY ［総集編］それぞれの剣,金,1
C14560,スーパーロボット モンキー チーム ハイパー フォース GO!,金,23
C8943,ポコニャン!,金,38
C13244,味楽る!ミミカ[第2期],金,15
C14558,帰宅部 活動記録,金,12
C14557,夏色キセキ,金,12
C16224,おじゃる丸[第20期],金,10
C13217,おでんくんThe Adventure of Oden-kun[第4期],金,39
C13250,おでんくん The Adventure of Oden-kun [第3期],金,27
C8923,ミラクル★ガールズ,金,51
C13266,AFROSAMURAI,金,3
C13269,復活! じゃないよ!? ウゴ・ウゴ ルーガ スペシャル,金,15
C13271,王さまものがたり,金,1
C14548,太宰 治 短編小説集[第2期] 畜犬談,金,1
C13273,ななみちゃん[第4期],金,16
C8939,機動戦士Vガンダム,金,51
C13215,きらりん☆レボリューションSTAGE3,金,51
C13207,きょうの料理 ビギナーズ [第2期],金,2
C13205,味楽る!ミミカ[第3期],金,14
C14577,スペース・レンジャー バズ・ライトイヤー,金,12
C14576,The World of GOLDEN EGGS,金,13
C16215,クズの本懐,金,12
C13140,ななみちゃん[第3期],金,6
C8967,ももいろシスターズ,金,6
C13170,ケンちゃんの 晩めし前!,金,76
C14571,ヘラクレス,金,13
C8959,発明BOYカニパン,金,30
C13176,メジャー[第3期],金,1
C13182,いない いない ばあっ! [第12期],金,22
C14567,快傑ゾロ[未放送分],金,6
C13194,MARVEL WOLVERINE,金,13
C14565,X-MEN エボリューション,金,2
C13203,ぜんまい ざむらい [10分版],金,25
C8949,剣勇伝説YAIBA,金,51
C13000,聖闘士星矢冥王 ハーデス冥界編[後章],金,2
C13275,やっこはん姉妹きぬやっこ もめんやっこ,金,1
C14626,IRONMAN,金,12
