pkgid,pkgname,publisher,date,price
M727728,忍者ハットリくん 忍者は修行でござるの巻,ハドソン,1986-03-05,4900.0
M727727,ハイドライド・スペシャル,東芝EMI株式会社,1986-03-18,4900.0
M727725,BALTRON,東映動画株式会社,1986-03-19,4900.0
M727726,MAGMAX,日本物産株式会社,1986-03-19,4900.0
M736167,オペレーショングレネード,株式会社ポニー・キャニオン販売,1986-03-21,6800.0
M736340,バック トゥ・ザ フューチャー™ アドベンチャーゲーム,株式会社ポニー・キャニオン販売,1986-04-05,6800.0
M727724,謎の村雨城,任天堂株式会社,1986-04-14,2600.0
M727722,ゲゲゲの鬼太郎 妖怪大魔境,バンダイ,1986-04-17,4900.0
M727721,The Castle,アスキー,1986-04-18,5800.0
M727720,影の伝説,タイトー,1986-04-18,2980.0
M727719,マイティボンジャック,テクモ株式会社,1986-04-24,4980.0
M727718,GRADIUS,コナミ株式会社,1986-04-25,4900.0
M736590,名探偵ホームズ,㈱徳間書店,1986-04-25,6800.0
M727717,SPY VS SPY,コトブキシステム株式会社,1986-04-26,4900.0
M727716,ドラゴンクエスト,エニックス,1986-05-27,5500.0
M727714,魔界村,カプコン,1986-06-13,5500.0
M727713,ファンタジーゾーン,セガ・エンタープライゼス,1986-06-15,5000.0
M727712,"Kaleido Scope ローダー・セット+第１弾シナリオ・セット 5""ディスク版",ホット・ビィ,1986-07-01,9800.0
M727711,がんばれゴエモン! からくり道中,コナミ株式会社,1986-07-30,5300.0
M727710,ソロモンの鍵,テクモ株式会社,1986-07-30,4900.0
M727709,ワルキューレの冒険 時の鍵伝説,ナムコ,1986-08-01,3900.0
M727708,メトロイド,任天堂株式会社,1986-08-06,2600.0
M727707,六三四の剣 ただいま修行中,タイトー,1986-08-08,4900.0
M727706,北斗の拳,東映動画株式会社,1986-08-10,4900.0
M727705,じゃじゃ丸の大冒険,ジャレコ,1986-08-22,4900.0
M727704,高橋名人の冒険島,ハドソン,1986-09-12,4900.0
M727703,スーパーゼビウス ガンプの謎,ナムコ,1986-09-19,4900.0
M727702,戦場の狼,カプコン,1986-09-27,5500.0
M727701,バギー・ポッパー,データイースト,1986-10-08,4900.0
M727700,プロレス,任天堂株式会社,1986-10-21,2500.0
M736087,うっでぃぽこ,デービーソフト株式会社,1986-10-22,6800.0
M727699,うる星やつら ラムのウェディングベル,ジャレコ,1986-10-23,4900.0
M727697,DEAD ZONE,サン電子株式会社,1986-11-01,2980.0
M727696,アスレチックワールド,バンダイ,1986-11-12,8500.0
M727695,Othello,河田,1986-11-13,4900.0
M727694,バルバルークの伝説より アイギーナの予言,ビック東海,1986-11-21,5300.0
M727693,長靴をはいた猫 世界一周80日大冒険,東映動画,1986-11-21,4900.0
