アニメ作品ID,アニメ作品名,アニメ作品の合計話数
C10330,東京アンダーグラウンド,26
C10332,HAPPY★ LESSON,13
C10334,おじゃる丸[第5期］,90
C10336,ちょびっツ,26
C10338,天地無用! GXP,26
C10340,アベノ橋魔法☆商店街,13
C10342,爆闘宣言ダイガンダー,39
C10344,東京ミュウミュウ,52
C10346,フォルツァ! ひでまる,26
C10348,満月をさがして,52
C10350,わがまま☆フェアリー ミルモでポン!,52
C10352,デジモンフロンティア,50
C10354,電光超特急 ヒカリアン,53
C10356,天使な小生意気,50
C10358,ぴたテン,26
C10360,あずまんが大王 THE ANIMATION,26
C10362,藍より青し,24
C10364,あたしンち,668
C10366,ワイルド7 another 謀略運河,13
C10368,ナッチョとポム,39
C10370,ホイッスル!,40
C10372,王ドロボウ JING,13
C10374,リリパット王国,82
C10376,最終兵器彼女,14
C10378,SAMURAI DEEPER KYO,26
C10380,G-onらいだーす❤,13
C10382,Witch Hunter ロビン,26
C10384,朝霧の巫女,26
C10386,ドラゴンドライブ,38
C10388,ふぉうちゅんドッグす,39
C10390,円盤皇女 ワるきゅーレ,12
C10392,陸上防衛隊まおちゃん,26
C10398,プリンセスチュチュ,41
C10400,キ・ファイター テラン,26
C10402,魔王 ダンテ,13
C10404,ハングリーハート WILD STRIKER,50
C10406,アクエリアンエイジ Sign for Evolution,13
C10408,まほろまてぃっく Automatic Maiden ～もっと美しいもの～,15
C10410,OVERMAN キングゲイナー,27
C10412,ぷちぷり* ユーシィ,26
C10415,冒険者 THE MAN WAS FROM SPAIN,26
C10417,釣りバカ日誌,36
C10419,ワンダーベビルくん,30
C10421,獣兵衛忍風帖NINJA * SCROLL龍宝玉篇,13
C10423,探偵学園Q,47
C10426,げんきげんきノンタン,15
C10428,奇鋼仙女 ロウラン,28
C10430,ポケットモンスター アドバンスジェネレーション,192
C10432,Weｉβ kreuz Glühen,14
C10436,バロムワン,14
C10438,［おどれ!タイポ］［第2期］,6
C10440,忍たま乱太郎［第10期］,82
C10444,らいむいろ戦奇譚明治日本、乙女 防人ス。,13
C10446,L/RLicensed by Royal,13
C10448,.hack//黄昏の腕輪伝説,12
C10450,ななか6/17,12
C10452,THEビッグオー[第2期],13
C10454,STRATOS4,13
C10456,WOLF'SRAIN,26
C10458,東京ムービー劇場梅四エッキス,13
C10460,SUBMARINESUPER 99,13
C10462,SaintBeast 四聖獣 ～聖獣降臨編～,8
C10464,ウルトラマニアック,26
C10468,CINDERELLABOY,13
C10470,HAPPY★LESSON ADVANCE,13
C10472,グリーングリーン,13
C10474,おねがい☆ツインズ,12
C10476,爆転シュートベイブレード Gレボリューション,51
C10478,MO*USE[マウス],12
C10480,出撃! マシンロボ レスキュー,53
C10482,超ロボット生命体トランスフォーマー マイクロン伝説,52
C10484,魔法遣いに大切なことSOMEDAY'sDREAMERS,12
C10488,GUNPARADEMARCH 新たなる行軍歌,12
C10490,魔獣戦線THE APOCALYPSE,13
C10492,明日のナージャ,50
C10494,クラッシュギアNitro,50
C10496,かっぱまき,130
C10498,天使のしっぽchu!,11
C10504,スクラップド・プリンセス,24
C10506,エアマスター,27
C10508,E'S OTHERWISE,26
C10510,宇宙のステルヴィア,26
C10512,カレイドスター,35
C10514,D・N・ANGELTV AnimationSeries,26
C10516,冒険遊記 プラスターワールド,52
C10518,人間交差点,13
C10520,魔探偵ロキRAGNAROK,26
C10522,無限戦記 ポトリス TANK KNIGHTS PORTRISS,52
C10524,ASTRO BOY 鉄腕アトム,52
C10527,瓶詰妖精,13
C10529,プラネテス ΠΛΑΝΗΤΕΣ,26
C10531,ロックマン エグゼ AXESS,51
C10532,金色の ガッシュベル!!,150
