アニメ作品ID,アニメ作品名,アニメ作品の合計話数
C11581,20th Anniversaryああっ女神さまっ闘う翼,2
C11583,AYAKASHI,12
C11587,おしゃべりなちゅどんズ,26
C11591,H2O～FOOTPRINTS IN THE SAND～,12
C11593,全力ウサギ,52
C11595,破天荒遊戯,10
C11599,attacked kuma3[第1期],11
C11601,君が主で執事が俺でThey are my noble Masters,13
C11603,シゴフミ,12
C11605,true tears,14
C11607,のらみみ,12
C11609,教えて! 土管くん,5
C11611,onちゃん[第1期],26
C11613,ロザリオとバンパイア,13
C11615,【俗・】さよなら絶望先生,13
C11617,ポルフィの長い旅,52
C11619,みなみけ おかわり,13
C11621,ARIAThe ORIGINATION,13
C11623,GUNSLINGER GIRL.IL TEATRINO,18
C11625,狼と香辛料,13
C11627,墓場鬼太郎,11
C11631,ヤッターマン,63
C11635,古代王者 恐竜キング Dキッズ・アドベンチャー 翼竜伝説,30
C11637,Mnemosyne-ムネモシュネの娘たち─,18
C11641,Yes!プリキュア5 Go Go!,48
C11643,BUS GAMER,3
C11645,増田こうすけ劇場ギャグマンガ日和3,13
C11647,チーズスイートホーム,104
C11649,リトル・チャロ,54
C11652,かのこん,12
C11654,デュエル・マスターズ クロス,102
C11655,忍者玉丸,26
C11656,Qファイターズ!チョロQデッキシステム,5
C11658,Mission E,12
C11660,天体戦士サンレッド,26
C11662,イナズマイレブン,127
C11664,THE UNKNOWN GIRL FRIENDケメコデラックス!,12
C11666,とある魔術の禁書目録[インデックス],24
C11668,ライブオンCARDLIVER 翔[かける],51
C11670,喰霊-零-,12
C11672,今日の5の2,13
C11674,スキップ・ビート!,25
C11676,まかでみWAっしょい!,12
C11677,東のエデン Air Communication,12
C11679,初恋限定。[ハツコイリミテッド],13
C11681,遊☆戯☆王5D'S,154
C11683,アリソンとリリア,26
C11684,のだめカンタービレ巴里編,11
C11686,純情ロマンチカ2,12
C11687,戦国BASARA,12
C11689,けいおん!,13
C11691,バスカッシュ!,26
C11693,PandoraHearts,25
C11695,Phantom Requiem for the Phantom,26
C11697,聖剣の刀鍛冶[ブラックスミス],12
C11699,そらのおとしもの,13
C11701,チェブラーシカあれれ?,18
C11703,リストランテ・パラディーゾ,11
C11706,xxxHOLiC◆継[ケイ],13
C11708,マクロスF[フロンティア],27
C11710,THE ANIMATIONドルアーガの塔the Aegis of URUK,12
C11712,BLUE DRAGON天界の七竜,51
C11714,おねがい マイメロディ きららっ★,52
C11716,仮面のメイドガイ,12
C11718,コードギアス反逆のルルーシュ R2,26
C11720,絶対可憐チルドレン,52
C11722,D.C.Ⅱ S.S.,13
C11724,ネットゴーストPIPOPA,51
C11726,BLASSREITER,25
C11728,S・Aスペシャル・エー,25
C11730,SOUL・EATER,52
C11732,隠の王,26
C11734,Neo AngeliqueAbyss,13
C11736,我が家のお稲荷さま。,24
C11738,ヴァンパイア騎士[ナイト],13
C11740,うちの3姉妹,102
C11742,モノクローム・ファクター,24
C11744,RD 潜脳調査室,26
C11746,CRYSTAL BLAZE,12
C11748,純情ロマンチカ,12
C11750,図書館戦争,12
C11752,ゴルゴ13,50
C11754,狂乱家族日記,26
C11756,二十面相の娘,22
C11760,RoBoDz風雲篇,26
C11762,一騎当千Great Guardians,12
C11764,テレパシー少女❤蘭,26
C11766,ULTRAVIOLETCode 044,13
C11768,スケアクロウマンSCARECROWMAN THE ANIMATION,26
C11772,ゼロの使い魔三美姫の輪舞[プリンセッセ][ロンド],12
C11774,WORLDDESTRUCTION世界撲滅の六人,13
C11776,恋姫†無双,12
C11778,無限の住人BLADEOF THE IMMORTAL,13
C11780,いじいじくん,20
C11782,セキレイ,12
C11784,スレイヤーズREVOLUTION,13
C11786,魔法遣いに大切なこと～夏のソラ～,12
C11788,ストライクウィッチーズ,12
C11790,西洋骨董洋菓子店～アンティーク～,12
C11792,ひだまりスケッチ×365,13
C11794,鉄腕バーディーDECODE,13
C11796,薬師寺涼子の怪奇事件簿,13
C11798,Neo Angelique Abyss Second Age,13
C11800,夏目友人帳,14
C11802,乃木坂春香の秘密,13
C11810,バトルスピリッツ少年突破バシン,50
C11812,のらみみ2,12
C11814,開運 大便小僧,26
C11816,熱走!亀1グランプリ,13
C11818,ネットミラクルショッピング[第1期],7
C11820,カン・ゴローの四字熟語な生活,22
C11822,絶対やれるギリシャ神話,13
C11824,黒塚 KUROZUKA,13
C11826,純愛コスメティックアニメ美肌一族,12
C11828,魍魎の匣,13
C11830,"ONE OUTS Nobody wins,but I!",25
C11832,カオス;ヘッド,12
C11834,ねぎぼうずのあさたろう,48
C11838,キャシャーンSins,24
C11840,屍姫赫,13
C11842,とらドラ!,25
C11844,ヒャッコ,13
C11846,ロザリオとバンパイア CAPU 2[チュ～]❤,13
C11848,あかね色に染まる坂,12
C11850,CLANNAD ～AFTER STORY～,24
C11852,黒執事,26
C11854,TALES OF THE ABYSS,26
C11856,北斗の拳 ラオウ外伝 天の覇王,13
C11858,夜桜四重奏[カルテット],12
C11860,かんなぎCrazy Shrine Maidens,13
C11862,鉄のラインバレル,24
C11864,地獄少女 三鼎,27
C11866,しゅごキャラ!! どきっ,51
C11868,TYTANIA,26
C11871,DARKER THAN BLACK 流星の双子,12
C11873,はなまる 幼稚園,12
C11875,刀語[カタナガタリ],12
C11877,ハートキャッチプリキュア!,49
C11879,ミチコとハッチン,22
C11881,お茶犬緑[リョク]っとものがたり,13
C11883,おねがい!ポクポン,13
C11887,聖闘士星矢冥王 ハーデスエリシオン編,6
C11890,屍 姫 玄,12
C11892,アキカン!,12
C11894,WHITE ALBUM[第1期],13
C11896,まりあ†ほりっく,12
C11898,VIPER'S CREED,13
C11900,はじめの 一歩 THE FIGHTING! NewChallenger,26
C11902,明日のよいち!,12
C11904,黒神The Animation,24
C11906,THE ANIMATIONドルアーガの塔the Sword of URUK,12
C11908,クプ～!!まめゴマ!,51
C11910,エグザムライ戦国,25
C11912,スレイヤーズEVOLUTION-R,13
C11914,源氏物語千年紀Genji,11
C11916,マリア様がみてる[第4期],13
C11918,みなみけおかえり,13
C11920,続夏目友人帳,13
C11922,宇宙[そら]をかける少女,26
C11924,獣の奏者 エリン,60
C11926,鉄腕バーディーDECODE:02,13
C11928,鋼殻のレギオス,24
C11930,RIDEBACK,12
C11932,空を見上げる少女の瞳に映る世界,9
C11934,フレッシュプリキュア!,50
C11936,金色のコルダsecondo passo,2
C11938,クッキンアイドルアイ!マイ!まいん!,80
C11940,チーズスイートホームあたらしいおうち,104
C11944,マリー＆ガリー,40
C11948,キャラディのジョ～クな毎日,397
C11950,QUEEN'S BLADE 流浪の戦士,12
C11952,涼宮ハルヒの憂鬱[第2期],14
C11954,ヒゲぴよ,39
C11955,こんにちは アン before green gables,39
C11957,咲Saki,25
C11959,ティアーズ・トゥ・ティアラ,26
C11963,SUGAR BUNNIES フルール,26
C11965,07-GHOST,25
C11969,毎日かあさん,142
C11971,アスラクライン,13
C11973,アラド戦記スラップアップパーティー,26
C11975,極上!! めちゃモテ 委員長,53
C11976,QUEEN'S BLADE 玉座を継ぐ者,12
C11978,バトルスピリッツ 少年激覇ダン,50
C11983,爆丸 バトルブローラーズ ニューヴェストロイア,54
C11988,デジモン クロスウォーズ,30
C11990,ぬらりひょんの孫,25
C11992,Hello Kitty りんごの森のファンタジー,13
C11994,アニメ 冬のソナタ,27
C11996,ひだまりスケッチ×365[特別編],4
C11998,まほろまてぃっくAutomatic Maidenただいま◇おかえり,2
C12000,アスラ クライン 2,13
C12002,マリー ＆ ガリー Ver[ばーじょん].2.0,32
C12004,一騎当千 XTREME XECUTOR,12
C12005,セキレイ Pure Engagement,12
C12007,世紀末 オカルト学院,13
C12009,真マジンガー衝撃! Z編on television,26
C12013,GUIN SAGA,26
C12015,クロス×ゲーム,50
C12017,ジュエルペット,52
C12019,神曲奏界ポリフォニカcrimson S,12
C12021,戦場のヴァルキュリアVALKYRIA・CHRONICLES,26
C12023,DRAGON BALL KAI,97
C12025,鋼の錬金術師 FULLMETAL ALCHEMIST,65
C12027,花咲ける 青少年,45
C12029,メタルファイトベイブレード,51
C12031,シャングリ・ラ,24
C12033,タユタマkissonmyDeity,12
C12035,夏のあらし!,13
C12037,蒼天航路,26
C12039,うんこさん,13
C12043,ヴァイス・サヴァイヴ,16
C12045,うみものがたり～あなたがいてくれたコト～,12
C12047,ファイト一発!充電ちゃん!!,12
C12049,青い花 Sweet Blue Flowers,11
C12051,NEEDLESS,23
C12053,【懺・】さよなら絶望先生,13
C12055,プリンセスラバー!,12
C12057,GA 芸術科アートデザインクラス,12
C12059,狼と香辛料Ⅱ,12
C12061,よくわかる現代魔法,13
C12063,うみねこのなく頃に,26
C12065,大正野球娘。,12
C12067,化物語,13
C12069,エレメントハンター,39
C12071,CANAAN,13
C12072,アニメ くるねこ[第1期],50
C12074,かなめも,13
C12076,宙[そら]のまにまに,12
C12078,東京マグニチュード8.0,12
C12082,炬燵猫,26
C12084,しゅご キャラ!!! どっきどきっ,25
C12086,しゅご キャラ! ぷっち ぷち,25
C12089,空中ブランコ,11
C12090,けんぷファー,12
C12092,戦う司書 The Book of Bantorra,28
C12094,にゃんこい!,12
C12096,生徒会の一存 碧陽学園生徒会議事録,12
C12098,テガミバチ,25
C12100,とある科学の 超電磁砲[レールガン],24
C12102,犬夜叉 完結編,26
C12104,夢色 パティシエール,50
C12106,あにゃまる探偵 キルミン ずぅ,50
C12108,真 恋姫†無双,12
C12110,夏のあらし! 春夏冬中[あきないちゅう],13
C12112,ミラクル☆トレイン～大江戸線へようこそ～,13
C12114,こばと。,24
C12116,乃木坂春香の 秘密 ぴゅあ れっつぁ♪,12
C12118,11eyes,12
C12120,君に届け,25
C12122,秘密結社鷹の爪カウントダウン,11
C12124,ささめきこと,13
C12126,ご姉弟物語,32
C12128,青い文学,12
C12130,たまごっち!,144
C12132,FAIRY TAIL,175
C12134,怪談レストラン,23
C12135,Disney スティッチ! いたずらエイリアンの大冒険,29
C12137,KIDDY GIRL-AND,24
C12141,ヴァイス* サヴァイヴR,12
C12143,ハヤテのごとく!!Hayate the combat batler2nd season,25
C12144,COBRA THE ANIMATION,13
C12146,ちゅーぶら!!,12
C12150,れでぃ×ぱと! Ladies versus Butlers!,12
C12152,怪盗レーニャ,12
C12156,のだめカンタービレ　フィナーレ,12
C12158,ソ・ラ・ノ・ヲ・ト,12
C12160,増田こうすけ劇場 ギャグ マンガ 日和 +[プラス],13
C12162,おまもりひまり,12
C12164,ダンス イン ザ ヴァンパイアバンド,13
C12166,バカとテスト と召喚獣,13
C12168,おおかみかくし,12
C12170,デュラララ!!,24
C12172,ひだまり スケッチ × ☆☆☆[ほしみっつ],12
C12174,聖痕の クェイサー,24
C12176,フラカッパー,104
C12178,エア・ギア,25
C12179,祝福のカンパネラ,12
C12181,生徒会 役員共,13
C12183,屍鬼,22
C12185,戦国 BASARA弐,12
C12189,あまえ ないでよっ!! 喝!!,13
C12191,鍵姫物語永久アリス輪舞曲［ロンド］,13
C12193,マジカノ,13
C12196,NANA,55
C12198,桜蘭高校ホスト部,26
C12201,はなかっぱ,75
C12203,リトル・チャロ2 英語に恋する物語,37
C12205,真 恋姫†無双 ～乙女大乱～,12
C12209,B型H系,12
C12211,リングにかけろ 1 影道編[SHADOW],6
C12213,Angel Beats!,13
C12215,ジュエルペット　てぃんくる☆,52
C12217,デュエル・マスターズ クロス ショック,51
C12221,GIANT KILLING,26
C12223,ひめ チェン! おとぎちっくアイドル リルぷりっ,51
C12225,Kiss × sis,12
C12227,しまじろう ヘソカ,105
C12231,まじっく快斗 KID THE PHANTOM THIEF 第1話 「蘇る怪盗」,1
C12233,HEROMAN,26
C12235,おおきく 振りかぶって ～夏の大会編～,13
C12237,会長は メイド様!,26
C12239,いちばんうしろの 大魔王,12
C12241,SD ガンダム 三国伝 Brave Battle Warriors,51
C12243,極上!! めちゃモテ 委員長 Second Collection,51
C12245,薄桜鬼 新選組 奇譚,12
C12247,メタルファイト ベイブレード 爆,51
C12249,WORKING!!,12
C12251,荒川アンダー ザ ブリッジ,13
C12253,閃光のナイトレイド,14
C12255,迷い猫 オーバーラン!,13
C12257,けいおん!!,26
C12259,RAINBOW 二舎六房の七人,26
C12261,裏切りは 僕の名前を知っている,24
C12263,さらい屋 五葉,13
C12265,四畳半神話大系,11
C12267,オオカミさんと 七人の仲間たち,12
C12269,黒執事Ⅱ,12
C12271,みつ どもえ,13
C12273,学園黙示録 HIGH SCHOOL OF THE DEAD,12
C12275,女子高生 “GIRL'S-HIGH”,12
C12277,Strawberry Panic,26
C12279,ガラスの艦隊 La legende du vent de l'univers,26
C12282,TOKKÔ 特公,15
C12284,もっと兼本さん宅,16
C12286,TAMA＆FRIENDS 探せ! 魔法のプニプニストーン,26
C12288,機神咆吼デモンベイン,12
C12290,神様家族,13
C12292,蛙男劇場,59
C12295,DiSNEY スティッチ! ずっと最高のトモダチ,29
C12297,ストライク ウィッチーズ2,12
C12299,あそびに いくヨ!,12
C12301,アマガミ SS,25
C12303,伝説の勇者の伝説,25
C12305,キン肉マンⅡ世 ULTIMATE MUSCLE 2,13
C12307,落語天女おゆい,12
C12309,Fate/stay night,24
C12311,LEMON ANGEL PROJECT,13
C12313,ワンワンセレプー それゆけ! 徹之進,51
C12315,陰からマモル!,12
C12317,タクティカルロア,13
C12319,爆球HIT! クラッシュビーダマン,50
C12321,よみがえる空 ──RESCUE WINGS,13
C12323,おろしたてミュージカル 練馬大根ブラザーズ,12
C12325,プレイボール 2nd,13
C12327,Funny Pets [第1期],12
C12329,かしまし ～ガール・ミーツ・ガール～,12
C12331,怪 ～ayakashi～ JAPANESE CLASSIC HORROR,11
C12333,半分の月がのぼる空,6
C12335,お茶犬 ～「ほっ」とものがたり～,13
C12337,吟遊黙示録マイネリーベ wieder,13
C12339,Kin-Qキッズ ★ おたすK隊,12
C12341,びんちょうタン,12
C12343,REC,10
C12345,ふたりは プリキュアSplash★Star,49
C12347,パピヨンローゼ New Season,6
C12349,Ergo Proxy,25
C12351,しにがみのバラッド。 Momo the girl god of death,6
C12355,学園ヘヴン BOY'S LOVE HYPER!,13
C12357,ふしぎ星の★ふたご姫 Gyu!,52
C12359,ぽかぽか森のラスカル,52
C12361,妖怪人間ベム［新］,26
C12363,おねがいマイメロディ くるくるシャッフル!,52
C12365,格闘美神 武龍[ウーロン] REBIRTH,25
C12367,牙 TV ANIMATION SERIES,51
C12369,Soul Link,13
C12371,デジモンセイバーズ,48
C12373,吉永さん家のガーゴイル,13
C12375,アクビ Girl,26
C12377,ARIA The NATURAL,30
C12379,School Rumble 二学期,26
C12381,涼宮ハルヒの憂鬱,14
C12383,ぜんまいざむらい,176
C12385,GEKIFU 妖逆門,51
C12387,味楽る! ミミカ [第1期],15
C12389,うたわれるもの,26
C12391,銀魂,201
C12393,SIMOUN,26
C12394,スパイダーライダーズ オラクルの勇者たち,26
C12396,とっとこ ハム太郎 は～い!,78
C12398,ひぐらしのなく頃に,26
C12400,恋する天使 アンジェリーク ～心のめざめる時～,13
C12402,となグラ!,13
C12404,家庭教師* ヒットマン REBORN! *［かてきょー］,198
C12406,くじびき❤アンバランス,12
C12408,サルゲッチュ ～オンエアー～ 2nd,51
C12410,地獄少女 二籠[ふたこもり],26
C12412,天保異聞 妖奇士,27
C12414,ぷるるんっ! しずくちゃん,51
C12416,流星のロックマン,56
C12419,キティズパラダイス,39
C12421,だんご3兄弟 あっという間劇場,77
C12423,ムーぽん[第2期],23
C12427,おじゃる丸［第3期］,90
C12428,魔界戦記 ディスガイア,12
C12430,ラブゲッCHU❤ ミラクル声優白書,26
C12432,錬金3級 まじかる? ぽか～ん,24
C12434,いぬかみっ!,26
C12436,WITCHBLADE,24
C12438,ゼーガペイン,26
C12440,.hack//Roots,26
C12442,プリンセス・プリンセス,12
C12444,吉宗,24
C12446,RAY THE ANIMATION,14
C12448,ああっ女神さまっ それぞれの翼,24
C12450,きらりん☆ レボリューション,102
C12452,しばわんこの和のこころ,73
C12454,xxxHOLiC,24
C12456,リングにかけろ1 -日米決戦編-,12
C12458,彩雲国物語,42
C12460,サルゲッチュ ～オンエアー～,26
C12462,西の善き魔女 Astrea Testament,13
C12464,ロックマンエグゼBEAST+,26
C12466,ひまわりっ!,13
C12468,BLACK LAGOON,12
C12470,GUN道 MUSASHI,30
C12472,夢使い,12
C12474,新星輝デュエル・マスターズ フラッシュ,24
C12476,ブラック.ジャック21,19
C12478,砂沙美☆魔法少女クラブ,13
C12480,姫様ご用心,12
C12482,ザ・サード 蒼い瞳の少女,24
C12484,獣王星,11
C12485,ハチミツとクローバーⅡ,12
C12487,貧乏姉妹物語,10
C12489,おとぎ銃士 赤ずきん,39
C12491,出ましたっ! パワパフガールズZ,52
C12493,Kanon［新］,24
C12495,Gift -eternal rainbow-,12
C12497,銀色のオリンシス TOKITO,12
C12499,コードギアス 反逆のルルーシュ,28
C12501,すもももももも ～地上最強のヨメ～,22
C12503,009-1,12
C12505,はぴねす! It's a happy ＆ heartful school life.,13
C12507,護くんに女神の祝福を!,24
C12508,乙女はお姉さま［ボク］に恋してる,12
C12509,祝［ハピ★ラキ］ビックリマン,46
C12511,結界師,54
C12512,つよきす Cool×Sweet,12
C12515,まもって! ロリポップ,13
C12517,ゼロの使い魔,13
C12519,和和和 ワッピちゃん,52
C12521,COYOTE Ragtime Show,12
C12523,僕等がいた,26
C12525,無敵看板娘,24
C12527,内閣権力犯罪強制取締官 財前丈太郎,11
C12530,史上最強の弟子 ケンイチ,50
C12532,けろけろけろっぴ はすのうえタウン危機一髪!,6
C12534,働きマン,12
C12536,Bartender,11
C12538,忍たま乱太郎[第7期],80
C12540,ぴりっとQ,68
C12545,N・H・Kにようこそ!,24
C12547,ちょこッとSister,24
C12549,iNNOCENT VENUS,12
C12551,NIGHT HEAD GENESIS,24
C12553,パッタ ポッタ モン太,44
C12555,増田こうすけ劇場 ギャグマンガ日和2,16
C12557,ケモノヅメ,14
C12559,HANOKA 葉ノ香,12
C12561,シュヴァリエ,25
C12563,BLACK BLOOD BROTHERS,12
C12565,シルクロード少年 ユート,27
C12567,ポケットモンスター ダイヤモンド＆パール,192
C12569,GALAXY ANGEL Ⅱ ギャラクシー エンジェる～ん,13
C12571,金色のコルダ ～primo passo～,25
C12573,Marginal Prince ─月桂樹の王子達─,13
C12575,ウサハナ 夢みるバレリーナ,7
C12577,D.Gray-man,103
C12579,ときめき メモリアル Only Love,25
C12581,パンプキン・シザーズ 帝国陸軍情報部第3課,24
C12583,BLACK LAGOON The Second Barrage,12
C12585,らぶドル Lovely Idol,12
C12587,ゴースト ハント,25
C12589,少年陰陽師,26
C12591,DEATH NOTE,39
C12593,ヤマトナデシコ七変化❤,25
C12595,RED GARDEN,22
C12597,銀河鉄道物語 ～永遠への分岐点～,24
C12599,人造昆虫カブトボーグVxV,52
C12601,スーパーロボット大戦 OG -ディバイン・ウォーズ-,26
C12603,蒼天の拳,22
C12605,武装錬金,26
C12607,夜明け前より瑠璃色な ─Crescent Love─,12
C12609,あさって の方向。,12
C12612,魔法食堂チャラポンタン,13
C12614,奏光のストレイン,13
C12616,TOKYO TRIBE 2,13
C12618,RGB ADVENTURE,10
C12620,うっかりペネロペ,26
C12622,すてき!さくらママ,18
C12626,ふしぎ大調査,20
C12628,超ぽじてぃぶ! ファイターズ 燃えるぜ焼けるぜ! シリーズ,26
C12630,おじゃる丸［第8期］,90
C12632,忍たま乱太郎［第13期］,58
C12635,クレイアニメ 太鼓の達人,13
C12637,ミカンせいじんの30秒学習,45
C12639,ドラえもん［新・第2期］,608
C12641,絶体絶命 でんぢゃらす じーさん [第3期],95
C12643,五味太郎 ことわざムービーズ,52
C12645,ななみちゃん ［第2期］,17
C12647,ももんがぁモン,10
C12655,ポケットモンスター ベストウイッシュ,86
C12657,ヒピラくん 原作/大友克洋,10
C12659,機動戦士ガンダム00[ダブルオー][第2期],27
C12663,カウボーイ ビバップ[WOWOW放送版],26
C12681,ドラえもん［新］,224
C12701,ひとりでできるもん!［第1期］,99
C12715,スペースオズの冒険,26
C12729,カラオケ戦士 マイク次郎,20
C12757,あずきちゃん[第2期],39
C12759,バーチャファイター[第2期],11
C12769,あずきちゃん[第3期],39
C12771,はりもぐハーリー[第2期],60
C12783,超特急ヒカリアン JAPAN HIKARIAN RAILROAD[第2期],52
C12785,ようこそロードス島へ!,27
C12797,アニメ!! ピンカと海のお友達,23
C12799,忍たま 乱太郎 [第8期],83
C12801,いない いないばあっ!［第5期］,31
C12803,Slimy Monsters ANGJA MONGJA[第2期],13
C12805,タイニー トゥーンズ,14
C12811,イナズマあざらし,16
C12813,おじゃる丸[第4期],90
C12815,忍たま乱太郎［第9期］,85
C12817,［おどれ!タイポ］［第1期］,10
C12819,いない いない ばあっ!［第6期］,102
C12823,Popin,10
C12825,［ボキャレース］,10
C12827,Yum. Yum. Yummy［第1期］,10
C12829,トッポとロージー,17
C12831,いない いない ばあっ!［第10期］,91
C12833,ポキポキ アニメ,9
C12835,ウキウキ わんちゃんず,46
C12837,オトナ語の謎。,24
C12838,だぁ!だぁ!だぁ! ［第2期］,41
C12840,Mr.Digital TOKORO the comical cartoon [第2期],120
C12844,ムービングマンガ劇場 恐怖の夢路館,4
C12846,兼本さん宅,31
C12848,ミニモニ。やるのだぴょん,66
C12850,伝説のワニ ジェイク,25
C12852,納涼発明大学 ～エジソンになれなかった男達～,9
C12856,クレヨンまる,25
C12858,バブーファクトリー,23
C12860,スマアニメ,26
C12870,火星は ぼくらの惑星だ!,2
C12874,いない いない ばあっ!［第7期］,100
C12876,でこぼこフレンズ,141
C12878,Popin［第2期］,4
C12880,［ボキャレース］［第2期］,6
C12882,クレヨンまるの ミラクルおえかき,31
C12884,Yum. Yum. Yummy[第2期],6
C12888,レッチュ ゲッチュ サルゲッチュ,76
C12890,FRAMY,7
C12892,バブーファクトリー［第2期］,17
C12894,TO-FU OYAKO,12
C12896,よばれてとびでて! アクビちゃん［第2期］,13
C12900,宇宙大作戦チョコベーダー,27
C12902,りぜるまいん［第2期］,12
C12904,ZoomZoo [キャラクター],12
C12906,ZoomZoo [ストーリー],23
C12908,ゴールド マッスル[改],10
C12910,DigiGirlデジガールPOP!STRAWBERRY ＆ POP MIX FLAVOR,26
C12914,マーメイドメロディー ぴちぴちピッチ,52
C12917,［おどれ!タイポ］［第3期］,6
C12919,いない いない ばあっ!［第8期］,85
C12921,てれび絵本,453
C12923,10本アニメ,23
C12925,Yum. Yum. Yummy[第3期],5
C12927,ayupan不思議の扉,19
C12929,ケロケロキングデラックス プラス,30
C12931,Low Brow,1
C12933,えいごでいっしょ! WAKU★WAKU ペンギー★,13
C12935,D.C. サイドエピソード,13
C12937,R.O.D THE TV,26
C12939,ミニモニ。じゃてーびぃー,15
C12941,GAD GUARD ［完全版］,26
C12943,絶体絶命 でんぢゃらす じーさん ［第1期］,75
C12945,トムトム★ブー,26
C12947,ハムハムとボク,48
C12951,ぱずりーず,20
C12958,みさきクロニクル ダイバージェンス・イヴ,13
C12963,どうする? ゆうきくん,48
C12969,CHIBIMARU,25
C12971,CITRUS TOWN,4
C12973,ON THE WAY COMEDY 道草,88
C12975,桂三枝の アニメで一席,4
C12977,PiNMeN ［リワーク］,8
C12979,THE WITCH VILLAGE STORY,24
C12983,ゴキブリ ちゃん,20
C12985,せかいのえほん,25
C12987,今日から〔○マ〕王!［第2期］,48
C12990,OH!くんアニメスペシャル OH!くんの OH!きな世界,6
C12992,Death Panda,8
C12994,トントンあったとにいがたの昔ばなし[第4期],26
C12996,太陽クラブ名作劇場恋の食べものがたり,4
C13000,聖闘士星矢冥王 ハーデス冥界編[後章],6
C13002,もっともっと兼本さん宅[石川番外篇],3
C13004,Rozen Maiden oüverture,2
C13006,Winter Garden,2
C13010,本マグロトロ太郎,26
C13012,ちょぼっと☆ちょボット,39
C13016,シコロボ,37
C13018,なぞなぞう,5
C13020,やさい おうこく ものがたり,10
C13022,東京魔人學園剣風帖 龍* 第弐幕,12
C13024,絶体絶命でんぢゃらすじーさん～おはスタ夏の特別編～,5
C13026,こちら葛飾区亀有公園前派出所 シートン探検隊!隅田川の誓い～思い出の白い鯨を探せ!～,2
C13030,MOONLIGHTMILE2ndシーズン Touch down,15
C13031,猫ラーメン,13
C13033,オリーブさんとモルダウ,1
C13037,闘牌伝説 アカギ 闇に舞い降りた天才 特別編,4
C13042,かくざ父さん,11
C13044,アームズラリー,11
C13046,電脳戦士 土管くん,11
C13048,30秒ケッ作げきじょうその時、彼らは思った。,11
C13050,オリガのロシア語講座,11
C13052,キラキラ小学生セレブちゃん,11
C13056,ビーンワールド,13
C13058,人形アニメーションリカちゃん,12
C13060,日本裏社会の首領＊喝老人 *[ドン],82
C13062,彩雲国物語[総集編]彩雲国絵巻,9
C13064,コロコロアニマル,60
C13066,忍たま 乱太郎[第15期],53
C13068,おじゃる丸[第10期],91
C13070,[おかあさんと あそぼっ!] きょうの おはなし,15
C13071,ななみちゃんのわくわくどうぶつえん,13
C13073,超ぽじてぃぶ! ファイターズ超ぽじてぃぶ ファイターズ 11魔人!篇,25
C13075,スチーム係長 STEAM HEAD,15
C13077,キララと一緒に ふしぎ探検,8
C13081,FNS地球特捜隊 ダイバスター［シリーズ］,167
C13085,ぴよだまり,4
C13087,CG侍,13
C13089,トントンあったと にいがたの昔ばなし［第3期］,26
C13091,メジャー[第2期],30
C13093,聖闘士星矢 冥王ハーデス冥界編 [前章],6
C13095,よみきかせ日本昔ばなし,24
C13097,クレイアニメ 太鼓の達人[第2期],13
C13103,山さんと山ちゃん[山ちゃんと山さん][山さと山ちゃん］,14
C13105,忍たま 乱太郎[第14期],50
C13107,おじゃる丸[第9期],90
C13109,いない いない ばあっ! [第11期],90
C13111,パンツ コインちゃん,15
C13113,鷹の爪[THE FROGMAN SHOW],12
C13114,古墳ギャルの Coffy[THE FROGMAN SHOW],11
C13116,理科5年ふしぎワールド,20
C13118,おでんくん The Adventure of Oden-kun [第2期],33
C13120,南の島の小さな飛行機 バーディー[第2期],60
C13122,モンチッチとあいちゃんのベビチッチえいご,24
C13124,理科6年ふしぎ情報局,20
C13126,チビナックス,25
C13128,ツバサ・クロニクル 年代記［第2期］,28
C13130,機動戦士 ガンダム S［シード］ DESTINY ［総集編］砕かれた世界,2
C13132,みんなのぶた,13
C13134,ぼてじん,14
C13138,機動戦士 ガンダム S［シード］ DESTINY ［総集編］それぞれの剣,2
C13140,ななみちゃん[第3期],19
C13144,まるだし先生,2
C13154,太陽の黙示録,4
C13156,モッタイナイナイ ムッピといっしょ,13
C13158,砂沙美☆魔法少女クラブ ～シーズン2～,13
C13164,独占取材 私だけが知っている小泉純一郎,5
C13166,機動戦士 ガンダム S［シード］ DESTINY ［総集編］運命［さだめ］の業火,1
C13168,Funny Pets [第2期],11
C13170,ケンちゃんの 晩めし前!,375
C13172,モリゾー・キッコロ 地球環境の旅,9
C13174,じじょうのうた,11
C13176,メジャー[第3期],27
C13180,めがね番長,4
C13182,いない いない ばあっ! [第12期],110
C13184,メジャー[第4期],26
C13189,絶対正義ラブフェロモン[あかほり外道アワー らぶげ],13
C13191,HUNTER × HUNTER[新],149
C13194,MARVEL WOLVERINE,13
C13198,ぬらりひょんの孫 ～千年魔京～,26
C13199,Rio -Rainbow Gate!-,13
C13201,SKET DANCE,77
C13203,ぜんまい ざむらい [10分版],41
C13205,味楽る!ミミカ[第3期],18
C13207,きょうの料理 ビギナーズ [第2期],96
C13211,U.H.O.フューチャーレスキュー2061U.H.Oレポート,5
C13213,今日からマ*王![第3期],41
C13215,きらりん☆レボリューションSTAGE3,51
C13217,おでんくんThe Adventure of Oden-kun[第4期],39
C13219,attacked kuma3[第2期],25
C13221,たたかえ! 土管くん,26
C13225,てんてこししまい君,26
C13227,はなけろどんぐりころころエコろころ,51
