発売年,マンガ雑誌名,平均マンガ作品数,平均ページ数,平均価格
2002,週刊少年マガジン,21.877551020408163,467.1224489795918,220.22448979591837
2003,週刊少年サンデー,22.479166666666668,435.3333333333333,214.35416666666666
2003,週刊少年ジャンプ,20.166666666666668,458.8125,212.8125
2003,週刊少年チャンピオン,23.3125,439.6458333333333,223.3125
2003,週刊少年マガジン,21.708333333333332,470.8958333333333,220.27083333333334
2004,週刊少年サンデー,22.583333333333332,448.125,220.45833333333334
2004,週刊少年ジャンプ,19.306122448979593,462.48979591836735,218.53061224489795
2004,週刊少年チャンピオン,23.895833333333332,453.8958333333333,228.16666666666666
2004,週刊少年マガジン,23.638297872340427,506.6595744680851,223.93617021276594
2005,週刊少年サンデー,22.645833333333332,448.75,227.91666666666666
2005,週刊少年ジャンプ,20.166666666666668,470.5208333333333,222.14583333333334
2005,週刊少年チャンピオン,21.854166666666668,444.9583333333333,233.125
2005,週刊少年マガジン,24.653061224489797,472.46938775510205,229.9591836734694
2006,週刊少年サンデー,23.9375,465.75,232.1875
2006,週刊少年ジャンプ,20.75,467.8333333333333,222.33333333333334
2006,週刊少年チャンピオン,24.854166666666668,439.4583333333333,232.75
2006,週刊少年マガジン,24.604166666666668,464.125,229.75
2007,週刊少年サンデー,23.893617021276597,472.8085106382979,240.82978723404256
2007,週刊少年ジャンプ,21.1875,475.7291666666667,224.35416666666666
2007,週刊少年チャンピオン,25.291666666666668,443.4583333333333,232.79166666666666
2007,週刊少年マガジン,24.645833333333332,480.3541666666667,238.02083333333334
2008,週刊少年サンデー,25.104166666666668,489.9583333333333,238.625
2008,週刊少年ジャンプ,21.25,478.9375,229.20833333333334
2008,週刊少年チャンピオン,23.729166666666668,440.2083333333333,242.89583333333334
2008,週刊少年マガジン,24.9375,482.3541666666667,244.66666666666666
2009,週刊少年サンデー,25.0,468.76,247.74
2009,週刊少年ジャンプ,21.28846153846154,474.7307692307692,232.6346153846154
2009,週刊少年チャンピオン,23.25,440.0833333333333,250.97916666666666
2009,週刊少年マガジン,25.291666666666668,477.8125,248.0
2010,週刊少年サンデー,24.291666666666668,459.8958333333333,249.125
2010,週刊少年ジャンプ,21.104166666666668,476.2291666666667,233.125
2010,週刊少年チャンピオン,23.14,440.02,252.68
2010,週刊少年マガジン,26.854166666666668,475.9791666666667,248.0
2011,週刊少年サンデー,23.510204081632654,468.16326530612247,252.0408163265306
2011,週刊少年ジャンプ,20.613636363636363,466.40909090909093,232.52272727272728
2011,週刊少年チャンピオン,23.708333333333332,442.0,257.0
2011,週刊少年マガジン,25.93877551020408,474.59183673469386,248.0
2012,週刊少年サンデー,24.208333333333332,470.6875,259.2916666666667
2012,週刊少年ジャンプ,21.895833333333332,480.5416666666667,232.35416666666666
2012,週刊少年チャンピオン,22.897959183673468,442.8775510204082,257.0
2012,週刊少年マガジン,26.145833333333332,485.1666666666667,248.75
2013,週刊少年サンデー,25.3125,474.5416666666667,257.0625
2013,週刊少年ジャンプ,21.916666666666668,485.0,233.3125
2013,週刊少年チャンピオン,22.479166666666668,439.9166666666667,257.0
2013,週刊少年マガジン,25.541666666666668,473.8125,249.0
2014,週刊少年サンデー,25.166666666666668,478.2708333333333,254.5625
2014,週刊少年ジャンプ,22.041666666666668,490.0625,235.95833333333334
2014,週刊少年チャンピオン,22.270833333333332,435.6666666666667,253.0
2014,週刊少年マガジン,25.3125,460.3958333333333,244.1875
2015,週刊少年サンデー,27.102040816326532,481.48979591836735,270.38775510204084
2015,週刊少年ジャンプ,21.040816326530614,487.85714285714283,255.91836734693877
2015,週刊少年チャンピオン,21.78723404255319,429.0,269.1489361702128
2015,週刊少年マガジン,24.479166666666668,449.7916666666667,266.875
2016,週刊少年サンデー,25.020833333333332,457.2291666666667,252.0625
2016,週刊少年ジャンプ,21.145833333333332,491.8333333333333,240.5
2016,週刊少年チャンピオン,21.897959183673468,430.3265306122449,253.85714285714286
2016,週刊少年マガジン,24.183673469387756,464.7755102040816,250.91836734693877
2017,週刊少年サンデー,24.653846153846153,454.6923076923077,252.42307692307693
2017,週刊少年ジャンプ,20.533333333333335,476.6666666666667,242.2
2017,週刊少年チャンピオン,22.923076923076923,425.0,259.0
2017,週刊少年マガジン,24.310344827586206,465.44827586206895,251.55172413793105
