year,ゲームプラットフォーム名,ゲームパッケージ数,ゲームパブリッシャー数,メーカー名,発売年
1992,プレイステーション4,0,0,ソニー,1992-01-01
1992,NintendoSwitch,0,0,任天堂,1992-01-01
1993,ファミリーコンピュータ,9,7,任天堂,1993-01-01
1993,SC-3000,0,0,セガ,1993-01-01
1993,SG-1000,0,0,セガ,1993-01-01
1993,SEGAマーク3,0,0,セガ,1993-01-01
1993,セガ・マスターシステム,0,0,セガ,1993-01-01
1993,メガドライブ,92,29,セガ,1993-01-01
1993,ゲームボーイ,49,21,任天堂,1993-01-01
1993,ゲームギア,19,4,セガ,1993-01-01
1993,スーパーファミコン,212,106,任天堂,1993-01-01
1993,セガサターン,0,0,セガ,1993-01-01
1993,プレイステーション,0,0,ソニー,1993-01-01
1993,NINTENDO64,0,0,任天堂,1993-01-01
1993,ドリームキャスト,0,0,セガ,1993-01-01
1993,プレイステーション2,0,0,ソニー,1993-01-01
1993,ゲームボーイアドバンス,0,0,任天堂,1993-01-01
1993,ニンテンドーゲームキューブ,0,0,任天堂,1993-01-01
1993,ニンテンドーDS,0,0,任天堂,1993-01-01
1993,プレイステーション・ポータブル,0,0,ソニー,1993-01-01
1993,Wii,0,0,任天堂,1993-01-01
1993,ゲームアーカイブス,0,0,ソニー,1993-01-01
1993,プレイステーション3,0,0,ソニー,1993-01-01
1993,ニンテンドー3DS,0,0,任天堂,1993-01-01
1993,プレイステーションVita,0,0,ソニー,1993-01-01
1993,WiiU,0,0,任天堂,1993-01-01
1993,プレイステーション4,0,0,ソニー,1993-01-01
1993,NintendoSwitch,0,0,任天堂,1993-01-01
1994,ファミリーコンピュータ,3,2,任天堂,1994-01-01
1994,SC-3000,0,0,セガ,1994-01-01
1994,SG-1000,0,0,セガ,1994-01-01
1994,SEGAマーク3,0,0,セガ,1994-01-01
1994,セガ・マスターシステム,0,0,セガ,1994-01-01
1994,メガドライブ,76,24,セガ,1994-01-01
1994,ゲームボーイ,65,30,任天堂,1994-01-01
1994,ゲームギア,33,7,セガ,1994-01-01
1994,スーパーファミコン,271,97,任天堂,1994-01-01
1994,セガサターン,8,5,セガ,1994-01-01
1994,プレイステーション,14,11,ソニー,1994-01-01
1994,NINTENDO64,0,0,任天堂,1994-01-01
1994,ドリームキャスト,0,0,セガ,1994-01-01
1994,プレイステーション2,0,0,ソニー,1994-01-01
1994,ゲームボーイアドバンス,0,0,任天堂,1994-01-01
1994,ニンテンドーゲームキューブ,0,0,任天堂,1994-01-01
1994,ニンテンドーDS,0,0,任天堂,1994-01-01
1994,プレイステーション・ポータブル,0,0,ソニー,1994-01-01
1994,Wii,0,0,任天堂,1994-01-01
1994,ゲームアーカイブス,0,0,ソニー,1994-01-01
1994,プレイステーション3,0,0,ソニー,1994-01-01
1994,ニンテンドー3DS,0,0,任天堂,1994-01-01
1994,プレイステーションVita,0,0,ソニー,1994-01-01
1994,WiiU,0,0,任天堂,1994-01-01
1994,プレイステーション4,0,0,ソニー,1994-01-01
1994,NintendoSwitch,0,0,任天堂,1994-01-01
1995,ファミリーコンピュータ,0,0,任天堂,1995-01-01
1995,SC-3000,0,0,セガ,1995-01-01
1995,SG-1000,0,0,セガ,1995-01-01
1995,SEGAマーク3,0,0,セガ,1995-01-01
1995,セガ・マスターシステム,0,0,セガ,1995-01-01
1995,メガドライブ,29,5,セガ,1995-01-01
1995,ゲームボーイ,45,18,任天堂,1995-01-01
1995,ゲームギア,34,8,セガ,1995-01-01
1995,スーパーファミコン,268,100,任天堂,1995-01-01
1995,セガサターン,119,39,セガ,1995-01-01
1995,プレイステーション,119,72,ソニー,1995-01-01
1995,NINTENDO64,0,0,任天堂,1995-01-01
1995,ドリームキャスト,0,0,セガ,1995-01-01
1995,プレイステーション2,0,0,ソニー,1995-01-01
1995,ゲームボーイアドバンス,0,0,任天堂,1995-01-01
1995,ニンテンドーゲームキューブ,0,0,任天堂,1995-01-01
1995,ニンテンドーDS,0,0,任天堂,1995-01-01
1995,プレイステーション・ポータブル,0,0,ソニー,1995-01-01
1995,Wii,0,0,任天堂,1995-01-01
1995,ゲームアーカイブス,0,0,ソニー,1995-01-01
1995,プレイステーション3,0,0,ソニー,1995-01-01
1995,ニンテンドー3DS,0,0,任天堂,1995-01-01
1995,プレイステーションVita,0,0,ソニー,1995-01-01
1995,WiiU,0,0,任天堂,1995-01-01
1995,プレイステーション4,0,0,ソニー,1995-01-01
1995,NintendoSwitch,0,0,任天堂,1995-01-01
1996,ファミリーコンピュータ,0,0,任天堂,1996-01-01
1996,SC-3000,0,0,セガ,1996-01-01
1996,SG-1000,0,0,セガ,1996-01-01
1996,SEGAマーク3,0,0,セガ,1996-01-01
1996,セガ・マスターシステム,0,0,セガ,1996-01-01
1996,メガドライブ,2,1,セガ,1996-01-01
1996,ゲームボーイ,34,14,任天堂,1996-01-01
1996,ゲームギア,12,3,セガ,1996-01-01
1996,スーパーファミコン,130,54,任天堂,1996-01-01
1996,セガサターン,235,88,セガ,1996-01-01
1996,プレイステーション,368,150,ソニー,1996-01-01
1996,NINTENDO64,4,3,任天堂,1996-01-01
1996,ドリームキャスト,0,0,セガ,1996-01-01
1996,プレイステーション2,0,0,ソニー,1996-01-01
1996,ゲームボーイアドバンス,0,0,任天堂,1996-01-01
1996,ニンテンドーゲームキューブ,0,0,任天堂,1996-01-01
1996,ニンテンドーDS,0,0,任天堂,1996-01-01
1996,プレイステーション・ポータブル,0,0,ソニー,1996-01-01
1996,Wii,0,0,任天堂,1996-01-01
1996,ゲームアーカイブス,0,0,ソニー,1996-01-01
1996,プレイステーション3,0,0,ソニー,1996-01-01
1996,ニンテンドー3DS,0,0,任天堂,1996-01-01
1996,プレイステーションVita,0,0,ソニー,1996-01-01
1996,WiiU,0,0,任天堂,1996-01-01
1996,プレイステーション4,0,0,ソニー,1996-01-01
1996,NintendoSwitch,0,0,任天堂,1996-01-01
1997,ファミリーコンピュータ,0,0,任天堂,1997-01-01
1997,SC-3000,0,0,セガ,1997-01-01
1997,SG-1000,0,0,セガ,1997-01-01
1997,SEGAマーク3,0,0,セガ,1997-01-01
1997,セガ・マスターシステム,0,0,セガ,1997-01-01
1997,メガドライブ,0,0,セガ,1997-01-01
1997,ゲームボーイ,60,22,任天堂,1997-01-01
1997,ゲームギア,0,0,セガ,1997-01-01
1997,スーパーファミコン,24,15,任天堂,1997-01-01
1997,セガサターン,277,86,セガ,1997-01-01
1997,プレイステーション,434,178,ソニー,1997-01-01
1997,NINTENDO64,27,21,任天堂,1997-01-01
1997,ドリームキャスト,0,0,セガ,1997-01-01
1997,プレイステーション2,0,0,ソニー,1997-01-01
1997,ゲームボーイアドバンス,0,0,任天堂,1997-01-01
1997,ニンテンドーゲームキューブ,0,0,任天堂,1997-01-01
1997,ニンテンドーDS,0,0,任天堂,1997-01-01
1997,プレイステーション・ポータブル,0,0,ソニー,1997-01-01
1997,Wii,0,0,任天堂,1997-01-01
1997,ゲームアーカイブス,0,0,ソニー,1997-01-01
1997,プレイステーション3,0,0,ソニー,1997-01-01
1997,ニンテンドー3DS,0,0,任天堂,1997-01-01
1997,プレイステーションVita,0,0,ソニー,1997-01-01
1997,WiiU,0,0,任天堂,1997-01-01
1997,プレイステーション4,0,0,ソニー,1997-01-01
1997,NintendoSwitch,0,0,任天堂,1997-01-01
1998,ファミリーコンピュータ,1,1,任天堂,1998-01-01
1998,SC-3000,0,0,セガ,1998-01-01
1998,SG-1000,0,0,セガ,1998-01-01
1998,SEGAマーク3,0,0,セガ,1998-01-01
1998,セガ・マスターシステム,0,0,セガ,1998-01-01
1998,メガドライブ,0,0,セガ,1998-01-01
1998,ゲームボーイ,79,31,任天堂,1998-01-01
1998,ゲームギア,0,0,セガ,1998-01-01
1998,スーパーファミコン,18,4,任天堂,1998-01-01
1998,セガサターン,208,72,セガ,1998-01-01
1998,プレイステーション,584,213,ソニー,1998-01-01
1998,NINTENDO64,48,23,任天堂,1998-01-01
1998,ドリームキャスト,9,5,セガ,1998-01-01
1998,プレイステーション2,0,0,ソニー,1998-01-01
1998,ゲームボーイアドバンス,0,0,任天堂,1998-01-01
1998,ニンテンドーゲームキューブ,0,0,任天堂,1998-01-01
1998,ニンテンドーDS,0,0,任天堂,1998-01-01
1998,プレイステーション・ポータブル,0,0,ソニー,1998-01-01
1998,Wii,0,0,任天堂,1998-01-01
1998,ゲームアーカイブス,0,0,ソニー,1998-01-01
1998,プレイステーション3,0,0,ソニー,1998-01-01
1998,ニンテンドー3DS,0,0,任天堂,1998-01-01
1998,プレイステーションVita,0,0,ソニー,1998-01-01
1998,WiiU,0,0,任天堂,1998-01-01
1998,プレイステーション4,0,0,ソニー,1998-01-01
1998,NintendoSwitch,0,0,任天堂,1998-01-01
1999,ファミリーコンピュータ,0,0,任天堂,1999-01-01
1999,SC-3000,0,0,セガ,1999-01-01
1999,SG-1000,0,0,セガ,1999-01-01
1999,SEGAマーク3,0,0,セガ,1999-01-01
1999,セガ・マスターシステム,0,0,セガ,1999-01-01
1999,メガドライブ,0,0,セガ,1999-01-01
1999,ゲームボーイ,130,36,任天堂,1999-01-01
1999,ゲームギア,0,0,セガ,1999-01-01
1999,スーパーファミコン,15,3,任天堂,1999-01-01
1999,セガサターン,23,14,セガ,1999-01-01
1999,プレイステーション,714,215,ソニー,1999-01-01
1999,NINTENDO64,51,22,任天堂,1999-01-01
1999,ドリームキャスト,115,63,セガ,1999-01-01
1999,プレイステーション2,0,0,ソニー,1999-01-01
1999,ゲームボーイアドバンス,0,0,任天堂,1999-01-01
1999,ニンテンドーゲームキューブ,0,0,任天堂,1999-01-01
1999,ニンテンドーDS,0,0,任天堂,1999-01-01
1999,プレイステーション・ポータブル,0,0,ソニー,1999-01-01
1999,Wii,0,0,任天堂,1999-01-01
1999,ゲームアーカイブス,0,0,ソニー,1999-01-01
1999,プレイステーション3,0,0,ソニー,1999-01-01
1999,ニンテンドー3DS,0,0,任天堂,1999-01-01
1999,プレイステーションVita,0,0,ソニー,1999-01-01
1999,WiiU,0,0,任天堂,1999-01-01
1999,プレイステーション4,0,0,ソニー,1999-01-01
1999,NintendoSwitch,0,0,任天堂,1999-01-01
2000,ファミリーコンピュータ,0,0,任天堂,2000-01-01
2000,SC-3000,0,0,セガ,2000-01-01
2000,SG-1000,0,0,セガ,2000-01-01
2000,SEGAマーク3,0,0,セガ,2000-01-01
2000,セガ・マスターシステム,0,0,セガ,2000-01-01
2000,メガドライブ,0,0,セガ,2000-01-01
2000,ゲームボーイ,134,46,任天堂,2000-01-01
2000,ゲームギア,0,0,セガ,2000-01-01
2000,スーパーファミコン,5,1,任天堂,2000-01-01
2000,セガサターン,4,3,セガ,2000-01-01
2000,プレイステーション,668,178,ソニー,2000-01-01
2000,NINTENDO64,26,12,任天堂,2000-01-01
2000,ドリームキャスト,174,65,セガ,2000-01-01
2000,プレイステーション2,117,59,ソニー,2000-01-01
2000,ゲームボーイアドバンス,0,0,任天堂,2000-01-01
2000,ニンテンドーゲームキューブ,0,0,任天堂,2000-01-01
2000,ニンテンドーDS,0,0,任天堂,2000-01-01
2000,プレイステーション・ポータブル,0,0,ソニー,2000-01-01
2000,Wii,0,0,任天堂,2000-01-01
2000,ゲームアーカイブス,0,0,ソニー,2000-01-01
2000,プレイステーション3,0,0,ソニー,2000-01-01
2000,ニンテンドー3DS,0,0,任天堂,2000-01-01
2000,プレイステーションVita,0,0,ソニー,2000-01-01
2000,WiiU,0,0,任天堂,2000-01-01
2000,プレイステーション4,0,0,ソニー,2000-01-01
2000,NintendoSwitch,0,0,任天堂,2000-01-01
2001,ファミリーコンピュータ,0,0,任天堂,2001-01-01
2001,SC-3000,0,0,セガ,2001-01-01
2001,SG-1000,0,0,セガ,2001-01-01
2001,SEGAマーク3,0,0,セガ,2001-01-01
2001,セガ・マスターシステム,0,0,セガ,2001-01-01
2001,メガドライブ,0,0,セガ,2001-01-01
2001,ゲームボーイ,80,37,任天堂,2001-01-01
2001,ゲームギア,0,0,セガ,2001-01-01
2001,スーパーファミコン,0,0,任天堂,2001-01-01
2001,セガサターン,0,0,セガ,2001-01-01
2001,プレイステーション,428,122,ソニー,2001-01-01
2001,NINTENDO64,4,3,任天堂,2001-01-01
2001,ドリームキャスト,124,46,セガ,2001-01-01
2001,プレイステーション2,241,85,ソニー,2001-01-01
2001,ゲームボーイアドバンス,94,45,任天堂,2001-01-01
2001,ニンテンドーゲームキューブ,11,5,任天堂,2001-01-01
2001,ニンテンドーDS,0,0,任天堂,2001-01-01
2001,プレイステーション・ポータブル,0,0,ソニー,2001-01-01
2001,Wii,0,0,任天堂,2001-01-01
2001,ゲームアーカイブス,0,0,ソニー,2001-01-01
2001,プレイステーション3,0,0,ソニー,2001-01-01
2001,ニンテンドー3DS,0,0,任天堂,2001-01-01
2001,プレイステーションVita,0,0,ソニー,2001-01-01
2001,WiiU,0,0,任天堂,2001-01-01
2001,プレイステーション4,0,0,ソニー,2001-01-01
2001,NintendoSwitch,0,0,任天堂,2001-01-01
2002,ファミリーコンピュータ,0,0,任天堂,2002-01-01
2002,SC-3000,0,0,セガ,2002-01-01
2002,SG-1000,0,0,セガ,2002-01-01
2002,SEGAマーク3,0,0,セガ,2002-01-01
2002,セガ・マスターシステム,0,0,セガ,2002-01-01
2002,メガドライブ,0,0,セガ,2002-01-01
2002,ゲームボーイ,10,8,任天堂,2002-01-01
2002,ゲームギア,0,0,セガ,2002-01-01
2002,スーパーファミコン,0,0,任天堂,2002-01-01
