ceid,cename,ccid,miid,page_start,page_end,pages,page_start_position,two_colored,four_colored,miname,mcid,mcname,date,price,ccname
CE67065,其之二十九 亀マークの石さがし,C87667,M544047,145.0,159.0,15.0,0.4227405247813411,False,False,週刊少年ジャンプ 1985年 表示号数29,C119459,週刊少年ジャンプ,1985-07-01,170.0,DRAGON　BALL
CE67077,其之二十八 修行はじまり!!,C87667,M544048,63.0,77.0,15.0,0.1836734693877551,False,False,週刊少年ジャンプ 1985年 表示号数28,C119459,週刊少年ジャンプ,1985-06-24,170.0,DRAGON　BALL
CE67097,其之二十七 ランチのクシャミ,C87667,M544049,143.0,157.0,15.0,0.4193548387096774,False,False,週刊少年ジャンプ 1985年 表示号数27,C119459,週刊少年ジャンプ,1985-06-17,170.0,DRAGON　BALL
CE67113,其之二十六 ?【ふしぎ】な女の子,C87667,M544050,139.0,153.0,15.0,0.3937677053824363,False,False,週刊少年ジャンプ 1985年 表示号数26,C119459,週刊少年ジャンプ,1985-06-10,170.0,DRAGON　BALL
CE67124,其之二十五 ライバル?参上!!,C87667,M544051,33.0,47.0,15.0,0.0956521739130434,True,False,週刊少年ジャンプ 1985年 表示号数25,C119459,週刊少年ジャンプ,1985-06-03,170.0,DRAGON　BALL
CE67144,-其之二十四-亀仙人の修行料,C87667,M544052,127.0,141.0,15.0,0.3724340175953079,False,False,週刊少年ジャンプ 1985年 表示号数24,C119459,週刊少年ジャンプ,1985-05-27,170.0,DRAGON　BALL
CE67164,其之二十三 ドラゴンチーム解散,C87667,M544053,209.0,223.0,15.0,0.60932944606414,False,False,週刊少年ジャンプ 1985年 表示号数23,C119459,週刊少年ジャンプ,1985-05-20,170.0,DRAGON　BALL
CE67176,其之二十二 悟空の大変身,C87667,M544054,113.0,127.0,15.0,0.3294460641399417,False,False,週刊少年ジャンプ 1985年 表示号数22,C119459,週刊少年ジャンプ,1985-05-13,170.0,DRAGON　BALL
CE67194,其之二十一 満月,C87667,M544055,149.0,163.0,15.0,0.4293948126801152,False,False,週刊少年ジャンプ 1985年 表示号数21,C119459,週刊少年ジャンプ,1985-05-06,170.0,DRAGON　BALL
CE67213,其之二十神竜【シェンロン】への願い!!,C87667,M544056,211.0,225.0,15.0,0.6115942028985507,False,False,週刊少年ジャンプ 1985年 表示号数20,C119459,週刊少年ジャンプ,1985-04-29,170.0,DRAGON　BALL
CE67220,其之十九 ついに竜【ドラゴン】あらわる!,C87667,M544057,5.0,27.0,23.0,0.0145772594752186,True,True,週刊少年ジャンプ 1985年 表示号数19,C119459,週刊少年ジャンプ,1985-04-22,170.0,DRAGON　BALL
CE67242,其之十八 D.B.奪われる!!,C87667,M544058,145.0,159.0,15.0,0.4227405247813411,False,False,週刊少年ジャンプ 1985年 表示号数18,C119459,週刊少年ジャンプ,1985-04-15,170.0,DRAGON　BALL
CE67255,其之十七 オヤブンの得意技,C87667,M544059,61.0,75.0,15.0,0.1576227390180878,False,False,週刊少年ジャンプ 1985年 表示号数17,C119459,週刊少年ジャンプ,1985-04-08,180.0,DRAGON　BALL
CE67276,其之十六 ウサギの耳,C87667,M544060,149.0,163.0,15.0,0.4245014245014245,False,False,週刊少年ジャンプ 1985年 表示号数16,C119459,週刊少年ジャンプ,1985-04-01,170.0,DRAGON　BALL
CE67292,其之十五 七星球【チーシンチュウ】発見,C87667,M544061,145.0,159.0,15.0,0.4227405247813411,False,False,週刊少年ジャンプ 1985年 表示号数15,C119459,週刊少年ジャンプ,1985-03-25,170.0,DRAGON　BALL
CE67307,其之十四 亀仙人のカメハメ波!!,C87667,M544062,132.0,144.0,13.0,0.3848396501457726,False,False,週刊少年ジャンプ 1985年 表示号数14,C119459,週刊少年ジャンプ,1985-03-18,170.0,DRAGON　BALL
CE67323,其之十三 亀仙人の芭蕉扇,C87667,M544063,119.0,131.0,13.0,0.3409742120343839,False,False,週刊少年ジャンプ 1985年 表示号数13,C119459,週刊少年ジャンプ,1985-03-11,170.0,DRAGON　BALL
CE67337,其之十二亀仙人をたずねて,C87667,M544064,67.0,81.0,15.0,0.1942028985507246,False,False,週刊少年ジャンプ 1985年 表示号数12,C119459,週刊少年ジャンプ,1985-03-04,170.0,DRAGON　BALL
CE67357,其之十一フライパン山の牛魔王,C87667,M544065,143.0,157.0,15.0,0.4193548387096774,False,False,週刊少年ジャンプ 1985年 表示号数11,C119459,週刊少年ジャンプ,1985-02-25,170.0,DRAGON　BALL
CE67373,其之十強盗大策戦,C87667,M544066,143.0,157.0,15.0,0.4193548387096774,False,False,週刊少年ジャンプ 1985年 表示号数10,C119459,週刊少年ジャンプ,1985-02-18,170.0,DRAGON　BALL
CE67389,其之九ドラゴンボール危うし!!,C87667,M544067,143.0,157.0,15.0,0.4193548387096774,False,False,週刊少年ジャンプ 1985年 表示号数9,C119459,週刊少年ジャンプ,1985-02-11,170.0,DRAGON　BALL
CE67405,其之八ヤムチャおそるべし!!,C87667,M544068,147.0,161.0,15.0,0.4260869565217391,False,False,週刊少年ジャンプ 1985年 表示号数8,C119459,週刊少年ジャンプ,1985-02-04,170.0,DRAGON　BALL
CE67420,其之七ヤムチャとプーアル,C87667,M544069,111.0,125.0,15.0,0.3255131964809384,False,False,週刊少年ジャンプ 1985年 表示号数7,C119459,週刊少年ジャンプ,1985-01-29,170.0,DRAGON　BALL
CE67439,其之六 ウーロン対決孫悟空,C87667,M544070,149.0,163.0,15.0,0.3772151898734177,False,False,週刊少年ジャンプ 1985年 表示号数6,C119459,週刊少年ジャンプ,1985-01-22,190.0,DRAGON　BALL
CE67451,其之五ウーロンあらわる!,C87667,M544071,65.0,79.0,15.0,0.1790633608815427,True,False,週刊少年ジャンプ 1985年 表示号数4,C119459,週刊少年ジャンプ,1985-01-15,190.0,DRAGON　BALL
CE67466,其之四 亀仙人の筋斗雲,C87667,M544072,3.0,25.0,23.0,0.0087976539589442,True,True,週刊少年ジャンプ 1985年 表示号数3,C119459,週刊少年ジャンプ,1985-01-08,170.0,DRAGON　BALL
CE67482,其之三 悟空・海へ走る,C87667,M544073,13.0,27.0,15.0,0.0381231671554252,True,True,週刊少年ジャンプ 1985年 表示号数1,C119459,週刊少年ジャンプ,1985-01-01,170.0,DRAGON　BALL
CE67500,其之ニ 球【ボール】がない!!,C87667,M544075,45.0,59.0,15.0,0.1319648093841642,False,False,週刊少年ジャンプ 1984年 表示号数52,C119459,週刊少年ジャンプ,1984-12-10,170.0,DRAGON　BALL
CE67515,其之一 ブルマと孫悟空,C87667,M544076,3.0,37.0,35.0,0.0087976539589442,True,True,週刊少年ジャンプ 1984年 表示号数51,C119459,週刊少年ジャンプ,1984-12-03,170.0,DRAGON　BALL
