,ceid,cename,pages,page_start_position,ccname,mcname,date
83,CE00083,第2話 アキの場合,18.0,0.2860310421286031,アゲイン!!,週刊少年マガジン,2011-04-27
84,CE00084,Trick:313,18.0,0.3259423503325942,エア・ギア,週刊少年マガジン,2011-04-27
85,CE00085,#131 一歩ずつ,18.0,0.3658536585365853,君のいる町,週刊少年マガジン,2011-04-27
86,CE00086,第235話/指先から…,22.0,0.4057649667405765,ダイヤのA,週刊少年マガジン,2011-04-27
87,CE00087,Round 932 王者、ケンカに行く,18.0,0.4545454545454545,はじめの一歩,週刊少年マガジン,2011-04-27
88,CE00088,第258話 「大ら鏡」,12.0,0.4944567627494456,さよなら絶望先生,週刊少年マガジン,2011-04-27
89,CE00089,第230話 「愛と活力の涙」,20.0,0.5210643015521065,FAIRY TAIL,週刊少年マガジン,2011-04-27
90,CE00090,第91話,20.0,0.565410199556541,我間乱 ～GAMARAN～,週刊少年マガジン,2011-04-27
91,CE00091,第10話 爆弾発言処理作戦,20.0,0.6097560975609756,この彼女はフィクションです。,週刊少年マガジン,2011-04-27
92,CE00092,#161 執念,18.0,0.6541019955654102,Baby Steps ベイビーステップ,週刊少年マガジン,2011-04-27
93,CE00093,第19話 止める、出す、走る。,20.0,0.6940133037694013,振り向くな君は,週刊少年マガジン,2011-04-27
94,CE00094,#131　／　先輩の懸念　／　ねむねむの季節　／　ポロッ　／　胸から上　／　裏桜才　／　食べ頃　／　魅力度100,4.0,0.738359201773836,生徒会役員共,週刊少年マガジン,2011-04-27
95,CE00095,第324話 キープ ア ストロング 4,17.0,0.7472283813747228,あひるの空,週刊少年マガジン,2011-04-27
96,CE00096,code:130 1232,20.0,0.7871396895787139,CODE:BREAKER コード:ブレイカー,週刊少年マガジン,2011-04-27
97,CE00097,第450話 告げたい想い,22.0,0.8314855875831486,ゴッドハンド輝,週刊少年マガジン,2011-04-27
98,CE00098,Season 2 -絶望ノ匣(パンドラノハコ)- File 67 目の前の死,20.0,0.8802660753880266,BLOODY MONDAY,週刊少年マガジン,2011-04-27
99,CE00099,第78話 バース・デイ,18.0,0.9246119733924612,GE ～グッドエンディング～,週刊少年マガジン,2011-04-27
100,CE00100,第81話 While My Guitar 伝統ly Weeps,8.0,0.9645232815964524,だぶるじぇい,週刊少年マガジン,2011-04-27
101,CE00101,File.306 “霊媒先生”と百物語!!,6.0,0.9822616407982262,もう、しませんから。,週刊少年マガジン,2011-04-27
102,CE00102,入ったら呪うよ　／　大そうじ　／　と、いうわけで,2.0,0.9977827050997784,ほんとにあった!霊媒先生,週刊少年マガジン,2011-04-27
103,CE00103,第1話 卒業、おめでとう,51.0,0.0235042735042735,アゲイン!!,週刊少年マガジン,2011-04-20
104,CE00104,#130 前に進め,18.0,0.1346153846153846,君のいる町,週刊少年マガジン,2011-04-20
105,CE00105,第323話 キープ ア ストロング 3,18.0,0.173076923076923,あひるの空,週刊少年マガジン,2011-04-20
106,CE00106,206限目 和歌山工務店。,20.0,0.2115384615384615,ヤンキー君とメガネちゃん,週刊少年マガジン,2011-04-20
107,CE00107,code:129 凍った時間,20.0,0.2542735042735042,CODE:BREAKER コード:ブレイカー,週刊少年マガジン,2011-04-20
108,CE00108,#221 その技は…,20.0,0.297008547008547,エリアの騎士,週刊少年マガジン,2011-04-20
109,CE00109,第229話 「絶望の袋小路」,20.0,0.3397435897435897,FAIRY TAIL,週刊少年マガジン,2011-04-20
110,CE00110,第32話 信頼,20.0,0.3867521367521367,AKB49 ～恋愛禁止条例～,週刊少年マガジン,2011-04-20
