acid,acname,asid,n_ae,first_date,last_date,crtid,crtname
C14749,DiABOLiK LOVERS,C5650,13,2013-09-16,2013-12-09,ACRT00319,オトメイト（アイディアファクトリー
C14751,てーきゅう［第3期］,C4727,13,2013-10-06,2013-12-29,ACRT00085,Piyo
C14751,てーきゅう［第3期］,C4727,13,2013-10-06,2013-12-29,ACRT00531,ルーツ
C14755,鉄人 28号 ガオ!,C3965,151,2013-04-06,2016-03-26,ACRT01026,横山光輝
C14756,ドキ ドキ! プリキュア!,C2833,49,2013-02-03,2014-01-26,ACRT00950,東堂いづみ
C14757,リトル・チャロ4 New York Again,C3339,35,2013-03-24,2013-11-27,ACRT00264,わかぎゑふ
C14758,リトルバスターズ!　～Refrain～,C4765,12,2013-10-05,2013-12-21,ACRT00062,Key
C14791,遊★戯★王ゼアルⅡ[セカンド] ZEXAL,C2116,76,2012-10-04,2014-03-23,ACRT00390,スタジオ・ダイス
C14791,遊★戯★王ゼアルⅡ[セカンド] ZEXAL,C2116,76,2012-10-04,2014-03-23,ACRT01392,高橋和希
C14800,アウトブレイク・ カンパニー,C5587,12,2013-10-04,2013-12-20,ACRT01021,榊一郎
C14801,蒼き鋼の アルペジオ -ARS NOVA-,C5588,12,2013-10-08,2013-12-24,ACRT00011,ArkPerformance
C14803,アニメ　おしりかじり虫[第2期],C4724,32,2013-09-30,2014-03-27,ACRT00165,うるまでるび
C14808,イナズマイレブン GO ギャラクシー,C3421,43,2013-05-08,2014-03-19,ACRT00534,レベルファイブ
C14810,IS インフィニット・ストラトス 2,C4520,12,2013-10-04,2013-12-20,ACRT00874,弓弦イズル
C14816,俺の脳内選択肢が、学園ラブコメを全力で邪魔している,C5599,10,2013-10-10,2013-12-12,ACRT00514,ユキヲ
C14816,俺の脳内選択肢が、学園ラブコメを全力で邪魔している,C5599,10,2013-10-10,2013-12-12,ACRT00917,春日部タケル
C14817,CARDFIGHT!! ヴァンガード リンクジョーカー編,C4517,59,2013-01-13,2014-03-02,ACRT00470,ブシロード
C14817,CARDFIGHT!! ヴァンガード リンクジョーカー編,C4517,59,2013-01-13,2014-03-02,ACRT00611,伊藤彰
C14819,ガイスト クラッシャー,C5603,36,2013-10-02,2014-06-18,ACRT00018,CAPCOM
C14819,ガイスト クラッシャー,C5603,36,2013-10-02,2014-06-18,ACRT01337,野中大三
C14820,ガリレイドンナ Storia di tre sorelle a caccia di un mistero,C5606,11,2013-10-11,2013-12-20,ACRT00132,teamGD
C14820,ガリレイドンナ Storia di tre sorelle a caccia di un mistero,C5606,11,2013-10-11,2013-12-20,ACRT00993,梅津泰臣
C14821,ガンダム ビルドファイターズ,C5607,25,2013-10-07,2014-03-31,ACRT00783,富野由悠季
C14821,ガンダム ビルドファイターズ,C5607,25,2013-10-07,2014-03-31,ACRT01173,矢立肇
C14822,がんばれ! おでんくん LILY FRANKY PRESENTS The Adventure of Oden-kun,C3015,103,2013-01-12,2014-12-28,ACRT00523,リリー・フランキー
C14826,境界の彼方,C5611,12,2013-10-03,2013-12-19,ACRT01405,鳥居なごむ
C14826,境界の彼方,C5611,12,2013-10-03,2013-12-19,ACRT01409,鴨居知世
C14827,京騒戯画,C5613,13,2013-10-03,2013-12-26,ACRT00950,東堂いづみ
C14829,キルラキル,C5614,24,2013-10-04,2014-03-28,ACRT00113,TRIGGER
C14829,キルラキル,C5614,24,2013-10-04,2014-03-28,ACRT00567,中島かずき
C14831,ぎんぎつね,C5616,12,2013-10-07,2013-12-23,ACRT01273,落合さより
C14833,キングダム[第2期],C5551,39,2013-06-08,2014-03-02,ACRT00673,原泰久
C14836,黒子の バスケ[第2期],C5552,26,2013-10-01,2014-03-30,ACRT01289,藤巻忠俊
C14840,ゴールデンタイム,C5622,24,2013-10-04,2014-03-28,ACRT01216,竹宮ゆゆこ
C14840,ゴールデンタイム,C5622,24,2013-10-04,2014-03-28,ACRT01383,駒都えーじ
C14843,COPPELION,C5626,13,2013-10-02,2013-12-25,ACRT00593,井上智徳
C14844,The hired gun 殺し屋 さん,C5627,10,2013-10-11,2013-12-13,ACRT00416,タマちく.
C14846,最強銀河 究極[アルティメット] ゼロ バトルスピリッツ,C3397,50,2013-09-15,2014-09-21,ACRT01173,矢立肇
C14847,サムライフラメンコ,C5629,22,2013-10-11,2014-03-28,ACRT00125,manglobe
C14849,島耕作の アジア立志伝[第2期],C4582,10,2013-11-13,2014-02-05,ACRT00875,弘兼憲史
C14850,ジュエルペット ハッピネス,C3521,52,2013-04-06,2014-03-29,ACRT00370,サンリオ・セガトイズ
C14852,Super Seishun Brothers -超青春姉弟s-,C5631,14,2013-09-14,2013-12-14,ACRT01025,槙本真
C14855,ストライク・ザ・ブラッド,C5635,25,2013-10-04,2014-03-28,ACRT00487,マニャ子
C14855,ストライク・ザ・ブラッド,C5635,25,2013-10-04,2014-03-28,ACRT00557,三雲岳斗
C14860,世界で いち ばん 強く なりたい!,C5638,12,2013-10-06,2013-12-22,ACRT00032,ESE
C14860,世界で いち ばん 強く なりたい!,C5638,12,2013-10-06,2013-12-22,ACRT00725,夏木きよひと
C14866,ダイヤのA[エース],C5641,75,2013-10-06,2015-03-29,ACRT00785,寺嶋裕二
C14868,鷹の爪 MAX,C4246,32,2013-04-05,2013-11-29,ACRT00026,DLE
C14868,鷹の爪 MAX,C4246,32,2013-04-05,2013-11-29,ACRT01300,蛙男商会
C14871,探検 ドリランド -1000年の真宝[まほう]-,C5566,51,2013-04-06,2014-03-29,ACRT00349,グリー
C14873,団地 ともお,C5644,48,2013-03-16,2014-02-01,ACRT00809,小田扉
C14877,爆TECH! 爆丸 ガチ,C3185,39,2013-04-06,2013-12-28,ACRT01024,槙吾
C14879,はじめの 一歩 THE FIGHTING! Rising,C2406,25,2013-10-06,2014-03-30,ACRT01006,森川ジョージ
C14892,ファイ・ブレイン 神のパズル[第3期],C4557,25,2013-10-06,2014-03-23,ACRT01173,矢立肇
C14898,フリージング ヴァイブレーション,C4558,12,2013-10-04,2013-12-20,ACRT00970,林達永・金光鉉
C14899,プリティー リズム レインボーライブ,C4486,51,2013-04-06,2014-03-29,ACRT00374,シンソフィア
C14899,プリティー リズム レインボーライブ,C4486,51,2013-04-06,2014-03-29,ACRT00409,タカラトミーアーツ
C14901,BLAZ*BLUE ALTER MEMORY,C5675,12,2013-10-09,2013-12-25,ACRT00008,ARCSYSTEMWORKS
C14905,ポケットモンスター XY,C1985,99,2013-10-10,2015-10-22,ACRT00721,増田順一
C14905,ポケットモンスター XY,C1985,99,2013-10-10,2015-10-22,ACRT00938,杉森建
C14905,ポケットモンスター XY,C1985,99,2013-10-10,2015-10-22,ACRT01143,田尻智
C14909,マギ The kingdom of magic,C4758,25,2013-10-06,2014-03-30,ACRT00747,大高忍
C14912,機巧少女は 傷つかない Unbreakable Machine-Doll,C5681,13,2013-09-30,2013-12-23,ACRT01095,海冬レイジ
C14915,みに ヴぁん mini vanguard,C4517,37,2013-04-06,2013-12-14,ACRT00096,Quily
C14918,メガネブ!,C5686,12,2013-10-07,2013-12-22,ACRT00505,メガネブ!プロジェクト
C14919,[〈物　語 〉 モノガタリ　シリーズ セカンドシーズン],C3542,26,2013-07-07,2013-12-29,ACRT01304,西尾維新
C14924,勇しぶ。 勇者に なれなかった俺は しぶしぶ就職を決意しました。,C5692,12,2013-10-05,2013-12-21,ACRT00856,左京潤
C14924,勇しぶ。 勇者に なれなかった俺は しぶしぶ就職を決意しました。,C5692,12,2013-10-05,2013-12-21,ACRT00889,戌角柾
C14925,夜桜四重奏 -ヨザクラカルテット- ハナノウタ,C3417,13,2013-10-06,2013-12-29,ACRT00513,ヤスダスズヒト
C14927,弱虫ペダル,C5694,38,2013-10-08,2014-07-01,ACRT01108,渡辺航
C14929,LINE TOWN,C5695,62,2013-04-03,2014-03-26,ACRT00042,GrooveMogi
C14929,LINE TOWN,C5695,62,2013-04-03,2014-03-26,ACRT00065,LINE
C14933,LOVELY❤ムービー いとしのムーコ Lovely Muuuuuuuco! The happy and daily life of Muco and Komatsu san!,C5697,20,2013-07-29,2013-12-23,ACRT00252,みずしな孝之
C14938,ログ・ホライズン,C5703,28,2013-09-22,2014-03-22,ACRT00442,ハラカズヒロ
C14938,ログ・ホライズン,C5703,28,2013-09-22,2014-03-22,ACRT01036,橙乃ままれ
C14941,ワルキューレロマンツェ,C5705,12,2013-10-07,2013-12-23,ACRT00100,Ricotta
C14943,47都道府犬 Ｒ,C4511,36,2014-01-12,2014-03-30,ACRT00077,NiPo
C14944,Bｌａｄｅ ＆ Sｏｕｌ,C5706,13,2014-04-04,2014-06-27,ACRT00075,NCSOFT
C14944,Bｌａｄｅ ＆ Sｏｕｌ,C5706,13,2014-04-04,2014-06-27,ACRT00312,エヌシージャパン
C14944,Bｌａｄｅ ＆ Sｏｕｌ,C5706,13,2014-04-04,2014-06-27,ACRT00339,キムヒョンテ
C14946,DRAMAtical Murder,C5707,12,2014-07-07,2014-09-22,ACRT00078,Nitro+CHiRAL
C14947,神々の悪戯[あそび],C5792,12,2014-04-06,2014-06-22,ACRT00324,カズキヨネ
C14947,神々の悪戯[あそび],C5792,12,2014-04-06,2014-06-22,ACRT00474,ブロッコリー
C14948,人生相談 テレビアニメーション 人生,C5793,13,2014-07-06,2014-09-28,ACRT00853,川岸殴魚
C14950,星刻の竜騎士[ドラグナー],C5795,12,2014-04-05,2014-06-21,ACRT00191,しめ*鯖コハダ
C14950,星刻の竜騎士[ドラグナー],C5795,12,2014-04-05,2014-06-21,ACRT01131,瑞智士記
C14951,生徒会 役員共＊,C3679,14,2014-01-04,2014-03-29,ACRT01045,氏家卜全
C14952,黒執事 Book of Circus,C3416,11,2014-07-04,2014-09-12,ACRT00971,枢やな
C14954,咲 Saki 全国編,C3502,13,2014-01-06,2014-04-07,ACRT00804,小林立
C14955,桜Trick,C5787,12,2014-01-10,2014-03-28,ACRT00410,タチ
C14956,残響の テロル,C5788,11,2014-07-11,2014-09-26,ACRT01106,渡辺信一郎
C14958,精霊使いの剣舞,C5796,15,2014-07-14,2015-03-04,ACRT00886,志瑞祐
C14958,精霊使いの剣舞,C5796,15,2014-07-14,2015-03-04,ACRT00987,桜はんぺん
C14965,暴れん坊力士!! 松太郎,C1139,23,2014-04-06,2014-09-28,ACRT00209,ちばてつや
C14966,僕らはみんな 河合荘,C5805,12,2014-04-04,2014-06-19,ACRT00773,宮原るり
C14967,魔法科高校の 劣等生,C5806,26,2014-04-06,2014-09-28,ACRT00619,佐島勤
C14969,魔法戦争,C5808,12,2014-01-10,2014-03-28,ACRT00386,スズキヒサシ
C14969,魔法戦争,C5808,12,2014-01-10,2014-03-28,ACRT01132,瑠奈璃亜
C14971,幕末 Ｒｏｃｋ,C5809,12,2014-07-02,2014-09-17,ACRT00499,マーベラスAQL
C14972,未確認で進行形,C5810,12,2014-01-09,2014-03-27,ACRT01263,荒井チェリー
C14973,FAIRY TAIL［第2期］,C3577,102,2014-04-05,2016-03-26,ACRT01163,真島ヒロ
C14974,Fate/kaleid liner プリズマ ★イリヤ 2ｗｅｉ!,C3797,10,2014-07-10,2014-09-11,ACRT00114,TYPE-MOON
C14974,Fate/kaleid liner プリズマ ★イリヤ 2ｗｅｉ!,C3797,10,2014-07-10,2014-09-11,ACRT00240,ひろやまひろし
C14976,Go♪ Go♪ 575,C5708,4,2014-01-10,2014-01-31,ACRT00398,セガ
C14978,LO*VE STAGE!!,C5709,10,2014-07-10,2014-09-11,ACRT00879,影木栄貴
C14978,LO*VE STAGE!!,C5709,10,2014-07-10,2014-09-11,ACRT01279,蔵王大志
C14981,P4GA persona4 the Golden ANIMATION,C3321,12,2014-07-11,2014-09-26,ACRT00275,アトラス
C14983,ｐｕｐａ,C5714,12,2014-01-10,2014-03-28,ACRT01259,茂木清香
C14984,ＲＡＩＬＷＡＲＳ!,C5715,12,2014-07-04,2014-09-19,ACRT00450,バーニア600
C14984,ＲＡＩＬＷＡＲＳ!,C5715,12,2014-07-04,2014-09-19,ACRT01314,豊田巧
C14985,Ｒｅ:［* HAMATORA リプライハマトラ,C5760,12,2014-07-08,2014-09-23,ACRT00329,カフェノーウェア
C14986,ｓｅｌｅｃｔｏｒ infected WIXOSS,C5716,12,2014-04-04,2014-06-20,ACRT00066,LRIG
C14987,SOUL EATER NOT！,C3362,13,2014-04-02,2014-07-02,ACRT00731,大久保篤
C14989,survival game club! さばげぶっ!,C5718,12,2014-07-06,2014-09-21,ACRT00959,松本ひで吉
C14993,ΛLDNOΛH. ZERO,C5722,12,2014-07-06,2014-09-21,ACRT00083,Olympusknights
C14994,アオハライド THE SCENT OF AIR AFTER THE RAIN… I HEARD YOUR PULSE. I SAW THE LIGHT.,C5724,12,2014-07-08,2014-09-23,ACRT00702,咲坂伊緒
C14995,アカメが斬る!,C5725,24,2014-07-07,2014-12-15,ACRT00406,タカヒロ
C14995,アカメが斬る!,C5725,24,2014-07-07,2014-12-15,ACRT01142,田代哲也
C14997,ウィザード･バリスターズ 弁魔士セシル,C5727,12,2014-01-13,2014-03-31,ACRT00993,梅津泰臣
C14998,ウィッチクラフトワークス,C5728,12,2014-01-05,2014-03-23,ACRT01054,水薙竜
C14999,うーさーの その日暮らし 覚醒編,C4717,12,2014-01-08,2014-03-26,ACRT00760,宇佐義大
C15006,ガンダムさん,C5733,26,2014-07-06,2014-09-30,ACRT00783,富野由悠季
C15006,ガンダムさん,C5733,26,2014-07-06,2014-09-30,ACRT01173,矢立肇
C15007,"キャプテン･アース WHEN I OPENED THE DOOR CALLED TRUTH, MY CHILDHOOD ENDED. IT WAS A SUMMER I COULD NEVER FORGET.",C5735,25,2014-04-06,2014-09-21,ACRT00015,BONES
C15009,グラスリップ,C5737,13,2014-07-03,2014-09-25,ACRT00325,カゼミチ
C15011,ご注文は うさぎ ですか？,C5738,12,2014-04-10,2014-06-26,ACRT00063,Koi
C15012,シドニアの騎士,C5739,12,2014-04-11,2014-06-27,ACRT00873,弐瓶勉
C15016,ソードアート･オンラインⅡ,C5564,25,2014-07-05,2014-12-20,ACRT00122,abec
C15016,ソードアート･オンラインⅡ,C5564,25,2014-07-05,2014-12-20,ACRT00851,川原礫
C15017,そに○アニ SUPER SONICO THE ANIMATION,C5741,12,2014-01-06,2014-03-24,ACRT00436,ニトロプラス
C15018,それでも世界は美しい,C5742,12,2014-04-06,2014-06-29,ACRT01018,椎名橙
C15020,ディーふらぐ! D-FRAGMENTS,C5743,12,2014-01-07,2014-03-25,ACRT00919,春野友矢
C15021,デート･ア･ライブⅡ,C5651,10,2014-04-12,2014-06-14,ACRT00212,つなこ
C15021,デート･ア･ライブⅡ,C5651,10,2014-04-12,2014-06-14,ACRT01033,橘公司
C15025,とある 飛空士への 恋歌,C4608,13,2014-01-06,2014-03-31,ACRT01007,森沢晴行
C15025,とある 飛空士への 恋歌,C4608,13,2014-01-06,2014-03-31,ACRT01125,犬村小六
C15026,となりの関くん,C5746,13,2014-01-06,2014-03-31,ACRT01011,森繁拓真
C15031,にゃ～めん,C5750,22,2014-01-12,2014-03-30,ACRT00908,日活藍
C15032,のうりん,C5751,12,2014-01-11,2014-03-29,ACRT00652,切符監
C15032,のうりん,C5751,12,2014-01-11,2014-03-29,ACRT01157,白鳥士郎
C15033,ノーゲーム ・ ノーライフ,C5752,12,2014-04-09,2014-06-25,ACRT01022,榎宮祐
C15035,ノブナガン,C5754,13,2014-01-05,2014-03-30,ACRT00586,久正人
C15036,ノラガミ,C5755,12,2014-01-05,2014-03-23,ACRT00143,あだちとか
C15037,ハイキュー!!,C5757,25,2014-04-06,2014-09-21,ACRT00680,古舘春一
C15039,ハナヤマタ,C5759,12,2014-07-08,2014-09-23,ACRT01089,浜弓場双
C15041,ハマトラ THE ANIMATION,C5760,12,2014-01-08,2014-03-26,ACRT00329,カフェノーウェア
C15041,ハマトラ THE ANIMATION,C5760,12,2014-01-08,2014-03-26,ACRT00808,小玉有起
C15041,ハマトラ THE ANIMATION,C5760,12,2014-01-08,2014-03-26,ACRT00965,松舞夏
C15042,ばらかもん,C5761,12,2014-07-06,2014-09-28,ACRT00515,ヨシノサツキ
C15043,ヒーローバンク,C5762,51,2014-04-07,2015-03-30,ACRT00398,セガ
C15044,ひめゴト SECRET PRINCESS HIMEGOTO,C5763,13,2014-07-07,2014-09-29,ACRT00614,佃煮のりお
C15045,ピンポン THE ANIMATION,C5764,11,2014-04-11,2014-06-20,ACRT00961,松本大洋
C15047,フューチャーカード バディファイト,C5766,65,2014-01-04,2015-04-04,ACRT00470,ブシロード
C15047,フューチャーカード バディファイト,C5766,65,2014-01-04,2015-04-04,ACRT01076,池田芳正
C15048,ブラック･ブレッド [黒の銃弾],C5768,13,2014-04-08,2014-07-01,ACRT01190,神崎紫電
C15048,ブラック･ブレッド [黒の銃弾],C5768,13,2014-04-08,2014-07-01,ACRT01410,鵜飼沙樹
C15049,プリ❤パラ,C5769,127,2014-07-05,2016-12-27,ACRT00374,シンソフィア
C15049,プリ❤パラ,C5769,127,2014-07-05,2016-12-27,ACRT00409,タカラトミーアーツ
C15050,ベイビーステップ,C5770,26,2014-03-28,2014-09-21,ACRT00662,勝木光
C15052,まじもじ るるも,C5771,12,2014-07-09,2014-09-24,ACRT01108,渡辺航
C15054,マンガ家さんと アシスタントさんと THE ANIMATION,C5773,12,2014-04-08,2014-06-24,ACRT00453,ヒロユキ
C15057,ヤマノススメ セカンドシーズン,C5690,27,2014-07-02,2014-12-31,ACRT00193,しろ
C15058,ラブライブ! School idol project［第2期］,C3713,14,2014-03-30,2014-06-29,ACRT00637,公野櫻子
C15058,ラブライブ! School idol project［第2期］,C3713,14,2014-03-30,2014-06-29,ACRT01173,矢立肇
C15062,一週間 フレンズ｡,C5779,12,2014-04-07,2014-06-23,ACRT01274,葉月抹茶
C15063,棺姫のチャイカ,C5780,12,2014-04-10,2014-06-26,ACRT00226,なまにくATK（ニトロプラス）
C15063,棺姫のチャイカ,C5780,12,2014-04-10,2014-06-26,ACRT01021,榊一郎
C15065,極黒のブリュンヒルデ,C5782,13,2014-04-06,2014-06-29,ACRT00833,岡本倫
C15070,健全ロボ ダイミダラー,C5784,12,2014-04-05,2014-06-21,ACRT00223,なかま亜咲
C15072,少年ハリウッド - HOLLY STAGE FOR 49 -,C5790,13,2014-07-06,2014-09-28,ACRT01031,橋口いくよ
C15073,信長協奏曲,C5791,10,2014-07-12,2014-09-20,ACRT01176,石井あゆみ
C15075,戦国 BASARA Judge End,C3511,12,2014-07-06,2014-09-28,ACRT00018,CAPCOM
C15079,東京ESP,C5798,11,2014-07-12,2014-09-20,ACRT01115,瀬川はじめ
C15080,東京喰種 トーキョーグール,C5799,12,2014-07-04,2014-09-19,ACRT01183,石田スイ
C15082,白銀の意思 アルジェヴォルン,C5801,25,2014-07-03,2014-12-18,ACRT00005,AIOS
C15083,彼女がフラグを おられたら,C5802,13,2014-04-07,2014-06-30,ACRT00021,CUTEG
C15083,彼女がフラグを おられたら,C5802,13,2014-04-07,2014-06-30,ACRT01214,竹井10日
C15085,風雲維新 ダイ☆ショーグン,C5804,12,2014-04-10,2014-06-26,ACRT00089,Project-D
C15085,風雲維新 ダイ☆ショーグン,C5804,12,2014-04-10,2014-06-26,ACRT01223,笹原和也
C15088,龍ヶ嬢七々々の 埋蔵金,C5813,11,2014-04-11,2014-06-20,ACRT01319,赤りんご
C15088,龍ヶ嬢七々々の 埋蔵金,C5813,11,2014-04-11,2014-06-20,ACRT01408,鳳野一真
C15090,蟲 師 ［続章］,C3073,12,2014-04-05,2014-06-28,ACRT01110,漆原友紀
C15232,ダンジョンに出会いを 求める のは間違っているだろうか FAMILIA MYTH,C5958,13,2015-04-04,2015-06-27,ACRT00513,ヤスダスズヒト
C15232,ダンジョンに出会いを 求める のは間違っているだろうか FAMILIA MYTH,C5958,13,2015-04-04,2015-06-27,ACRT00742,大森藤ノ
C15233,旦那が何を言っているか わからない件 2スレ目,C5909,13,2015-04-03,2015-06-26,ACRT00346,クール教信者
C15236,俺物語!!,C5980,24,2015-04-09,2015-09-24,ACRT00280,アルコ
C15236,俺物語!!,C5980,24,2015-04-09,2015-09-24,ACRT01079,河原和音
C15237,がっこうぐらし! SCHOOL-LIVE!,C5981,12,2015-07-09,2015-09-24,ACRT00669,千葉サトル
C15237,がっこうぐらし! SCHOOL-LIVE!,C5981,12,2015-07-09,2015-09-24,ACRT01096,海法紀光
C15238,GATCHAMAN CROWDS in sight,C2623,12,2015-07-05,2015-09-27,ACRT00411,タツノコプロ
C15240,ふうせんいぬ ティニー,C6038,15,2014-09-26,2014-12-26,ACRT00626,佐野研二郎
C15240,ふうせんいぬ ティニー,C6038,15,2014-09-26,2014-12-26,ACRT00855,川村元気
C15241,てーきゅう[第4期],C4727,12,2015-04-07,2015-06-23,ACRT00085,Piyo
C15241,てーきゅう[第4期],C4727,12,2015-04-07,2015-06-23,ACRT00531,ルーツ
C15242,THE iDOLM@STER シンデレラガールズ[第2期],C3174,14,2015-07-18,2015-10-17,ACRT00447,バンダイナムコエンターテインメント
C15242,THE iDOLM@STER シンデレラガールズ[第2期],C3174,14,2015-07-18,2015-10-17,ACRT01403,高雄統子
C15243,実は私は I am…,C5990,13,2015-07-07,2015-09-29,ACRT00720,増田英二
C15244,下ネタという 概念が存在しない 退屈な世界,C5991,13,2015-07-02,2015-09-19,ACRT01321,赤城大空
C15244,下ネタという 概念が存在しない 退屈な世界,C5991,13,2015-07-02,2015-09-19,ACRT01371,霜月えいと
C15245,Charlotte,C5992,14,2015-06-27,2015-09-27,ACRT01413,麻枝准
C15249,終物語[オワリモノ ガタリ],C3542,25,2015-10-04,2015-12-20,ACRT00119,VOFAN
C15249,終物語[オワリモノ ガタリ],C3542,25,2015-10-04,2015-12-20,ACRT01304,西尾維新
C15250,血液型くん! 3,C5619,24,2015-10-13,2015-12-29,ACRT00097,RealCrazyMan
C15271,まじっく快斗 1412,C1849,24,2014-10-04,2015-03-28,ACRT01372,青山剛昌
C15272,ログ・ホライズン　[第2期],C5703,26,2014-09-28,2015-03-28,ACRT01036,橙乃ままれ
C15273,ワールドトリガー,C5891,75,2014-10-05,2016-04-03,ACRT01276,葦原大介
C15274,愛天地無用!,C1430,60,2014-10-06,2014-12-26,ACRT00996,梶島正樹
C15275,異能バトルは日常系のなかで,C5892,12,2014-10-07,2014-12-23,ACRT00000,29
C15275,異能バトルは日常系のなかで,C5892,12,2014-10-07,2014-12-23,ACRT00926,望公太
C15276,山田くんと7人の魔女,C5968,13,2015-04-05,2015-06-28,ACRT00695,吉河美希
C15277,レーカン!,C5969,13,2015-04-03,2015-06-26,ACRT01116,瀬田ヒナコ
C15279,わかば・ガール,C6004,13,2015-07-03,2015-09-25,ACRT00672,原悠衣
C15280,おはよう ハクション 大魔王,C1956,182,2014-03-31,2014-12-26,ACRT00411,タツノコプロ
C15281,おへんろ。 - 八十八歩記 - [はちはちあるき],C6017,34,2014-05-03,2014-12-27,ACRT00134,ufotable
C15284,がんばれ! ルル ロロ TINY★TWIN★BEARS[第2期],C4636,14,2014-09-25,2014-12-25,ACRT00136,あいはらひろゆき
C15284,がんばれ! ルル ロロ TINY★TWIN★BEARS[第2期],C4636,14,2014-09-25,2014-12-25,ACRT00144,あだちなみ
C15355,ドラゴンボール改[第2期],C6852,61,2014-04-06,2015-06-28,ACRT01406,鳥山明
C15357,目玉焼きの黄身、いつつぶす？,C5838,4,2014-08-05,2014-08-08,ACRT00170,おおひなたごう
C15360,[デビクロってなに?],C5870,3,2014-11-06,2014-11-06,ACRT00576,中村航
C15361,Bonjour♪ 　恋味パティスリ～,C5873,9,2014-10-11,2014-12-06,ACRT01368,雪広うたこ
C15362,Calimro カリメロ,C3179,78,2014-10-07,2016-09-25,ACRT00296,イニャツィオ・コルナギ
C15362,Calimro カリメロ,C3179,78,2014-10-07,2016-09-25,ACRT00426,トニー・パゴット
C15362,Calimro カリメロ,C3179,78,2014-10-07,2016-09-25,ACRT00438,ニーノ・パゴット
C15363,CARDFIGHT!! ヴァンガードG,C4517,48,2014-10-26,2015-09-27,ACRT00470,ブシロード
C15363,CARDFIGHT!! ヴァンガードG,C4517,48,2014-10-26,2015-09-27,ACRT00611,伊藤彰
C15364,Fate/stay night [Unlimited Blade Works]　[第1期],C3797,13,2014-10-05,2014-12-28,ACRT00114,TYPE-MOON
C15364,Fate/stay night [Unlimited Blade Works]　[第1期],C3797,13,2014-10-05,2014-12-28,ACRT00757,奈須きのこ
C15365,G[Gundam]のレコンギスタ,C5839,26,2014-10-03,2015-03-27,ACRT00783,富野由悠季
C15365,G[Gundam]のレコンギスタ,C5839,26,2014-10-03,2015-03-27,ACRT01173,矢立肇
