掲載位置,ceid,ccid,mcname,date,グループ名,話数
0.3527696793002915,CE66967,C88811,週刊少年ジャンプ,1985-08-12,第1群（合計話数：8-16話）,4
0.3548387096774194,CE66983,C88811,週刊少年ジャンプ,1985-08-05,第1群（合計話数：8-16話）,3
0.3425742574257426,CE46601,C88881,週刊少年ジャンプ,2007-01-22,第1群（合計話数：8-16話）,2
0.2903225806451613,CE66998,C88811,週刊少年ジャンプ,1985-07-29,第1群（合計話数：8-16話）,2
0.4285714285714285,CE46580,C88881,週刊少年ジャンプ,2007-01-29,第1群（合計話数：8-16話）,3
0.5437881873727087,CE46539,C88881,週刊少年ジャンプ,2007-02-12,第1群（合計話数：8-16話）,5
0.8251599147121536,CE46480,C88881,週刊少年ジャンプ,2007-03-05,第1群（合計話数：8-16話）,8
0.8329764453961456,CE46502,C88881,週刊少年ジャンプ,2007-02-26,第1群（合計話数：8-16話）,7
0.8241758241758241,CE46523,C88881,週刊少年ジャンプ,2007-02-19,第1群（合計話数：8-16話）,6
0.210412147505423,CE46552,C88881,週刊少年ジャンプ,2007-02-05,第1群（合計話数：8-16話）,4
0.0080428954423592,CE67010,C88811,週刊少年ジャンプ,1985-07-22,第1群（合計話数：8-16話）,1
0.3418530351437699,CE73882,C88797,週刊少年ジャンプ,1976-11-15,第1群（合計話数：8-16話）,8
0.4456762749445676,CE49718,C88760,週刊少年ジャンプ,2003-11-17,第1群（合計話数：8-16話）,8
0.7233560090702947,CE49744,C88760,週刊少年ジャンプ,2003-11-10,第1群（合計話数：8-16話）,7
0.3875802997858672,CE49756,C88760,週刊少年ジャンプ,2003-11-03,第1群（合計話数：8-16話）,6
0.4183445190156599,CE49778,C88760,週刊少年ジャンプ,2003-10-27,第1群（合計話数：8-16話）,5
0.3276231263383297,CE49795,C88760,週刊少年ジャンプ,2003-10-20,第1群（合計話数：8-16話）,4
0.249438202247191,CE49814,C88760,週刊少年ジャンプ,2003-10-13,第1群（合計話数：8-16話）,3
0.4799154334038055,CE49835,C88760,週刊少年ジャンプ,2003-10-06,第1群（合計話数：8-16話）,2
0.0200445434298441,CE49847,C88760,週刊少年ジャンプ,2003-09-29,第1群（合計話数：8-16話）,1
0.6485623003194888,CE73963,C88797,週刊少年ジャンプ,1976-10-11,第1群（合計話数：8-16話）,7
0.6996805111821086,CE73978,C88797,週刊少年ジャンプ,1976-10-04,第1群（合計話数：8-16話）,6
0.6996805111821086,CE73993,C88797,週刊少年ジャンプ,1976-09-27,第1群（合計話数：8-16話）,5
0.4952076677316294,CE74006,C88797,週刊少年ジャンプ,1976-09-20,第1群（合計話数：8-16話）,4
0.3418530351437699,CE74019,C88797,週刊少年ジャンプ,1976-09-13,第1群（合計話数：8-16話）,3
0.2907348242811501,CE74033,C88797,週刊少年ジャンプ,1976-09-06,第1群（合計話数：8-16話）,2
0.0097402597402597,CE74045,C88797,週刊少年ジャンプ,1976-08-30,第1群（合計話数：8-16話）,1
0.0068649885583524,CE57151,C88902,週刊少年ジャンプ,1996-03-04,第1群（合計話数：8-16話）,1
0.5083532219570406,CE57140,C88902,週刊少年ジャンプ,1996-03-11,第1群（合計話数：8-16話）,2
0.1219512195121951,CE57091,C88902,週刊少年ジャンプ,1996-03-25,第1群（合計話数：8-16話）,4
0.0201342281879194,CE49866,C88946,週刊少年ジャンプ,2003-09-22,第1群（合計話数：8-16話）,1
0.3184855233853007,CE49851,C88946,週刊少年ジャンプ,2003-09-29,第1群（合計話数：8-16話）,2
0.4786516853932584,CE49818,C88946,週刊少年ジャンプ,2003-10-13,第1群（合計話数：8-16話）,4
0.8235294117647058,CE78357,C88955,週刊少年ジャンプ,1970-08-24,第1群（合計話数：8-16話）,5
0.401294498381877,CE78368,C88955,週刊少年ジャンプ,1970-08-17,第1群（合計話数：8-16話）,4
0.6472727272727272,CE78384,C88955,週刊少年ジャンプ,1970-08-10,第1群（合計話数：8-16話）,3
0.8602150537634409,CE78404,C88955,週刊少年ジャンプ,1970-08-03,第1群（合計話数：8-16話）,2
0.8545454545454545,CE160479,C88955,週刊少年ジャンプ,1970-07-27,第1群（合計話数：8-16話）,1
0.5401606425702812,CE161872,C88949,週刊少年ジャンプ,2012-07-23,第1群（合計話数：8-16話）,8
0.4207317073170731,CE161848,C88949,週刊少年ジャンプ,2012-07-16,第1群（合計話数：8-16話）,7
0.3182844243792325,CE161827,C88949,週刊少年ジャンプ,2012-07-09,第1群（合計話数：8-16話）,6
0.2186147186147186,CE161804,C88949,週刊少年ジャンプ,2012-07-02,第1群（合計話数：8-16話）,5
0.4671052631578947,CE161788,C88949,週刊少年ジャンプ,2012-06-25,第1群（合計話数：8-16話）,4
0.3720472440944882,CE161761,C88949,週刊少年ジャンプ,2012-06-18,第1群（合計話数：8-16話）,3
0.234251968503937,CE161734,C88949,週刊少年ジャンプ,2012-06-11,第1群（合計話数：8-16話）,2
0.006,CE161707,C88949,週刊少年ジャンプ,2012-06-04,第1群（合計話数：8-16話）,1
0.5691609977324263,CE49741,C88946,週刊少年ジャンプ,2003-11-10,第1群（合計話数：8-16話）,8
0.5845824411134903,CE49760,C88946,週刊少年ジャンプ,2003-11-03,第1群（合計話数：8-16話）,7
0.3601789709172259,CE49777,C88946,週刊少年ジャンプ,2003-10-27,第1群（合計話数：8-16話）,6
0.4132762312633833,CE49797,C88946,週刊少年ジャンプ,2003-10-20,第1群（合計話数：8-16話）,5
0.2727272727272727,CE49831,C88946,週刊少年ジャンプ,2003-10-06,第1群（合計話数：8-16話）,3
0.8145833333333333,CE43425,C88909,週刊少年ジャンプ,2010-01-18,第1群（合計話数：8-16話）,8
0.441233140655106,CE43440,C88909,週刊少年ジャンプ,2010-01-04,第1群（合計話数：8-16話）,7
0.5819209039548022,CE43486,C88909,週刊少年ジャンプ,2009-12-21,第1群（合計話数：8-16話）,6
0.502868068833652,CE43506,C88909,週刊少年ジャンプ,2009-12-14,第1群（合計話数：8-16話）,5
0.4734607218683652,CE43529,C88909,週刊少年ジャンプ,2009-12-07,第1群（合計話数：8-16話）,4
0.3887733887733888,CE43550,C88909,週刊少年ジャンプ,2009-11-30,第1群（合計話数：8-16話）,3
0.1820040899795501,CE43567,C88909,週刊少年ジャンプ,2009-11-23,第1群（合計話数：8-16話）,2
0.0062893081761006,CE43585,C88909,週刊少年ジャンプ,2009-11-16,第1群（合計話数：8-16話）,1
0.927360774818402,CE57008,C88902,週刊少年ジャンプ,1996-04-29,第1群（合計話数：8-16話）,8
0.8321342925659473,CE57046,C88902,週刊少年ジャンプ,1996-04-15,第1群（合計話数：8-16話）,7
0.6849015317286652,CE57062,C88902,週刊少年ジャンプ,1996-04-08,第1群（合計話数：8-16話）,6
0.4594594594594595,CE57078,C88902,週刊少年ジャンプ,1996-04-01,第1群（合計話数：8-16話）,5
0.2482269503546099,CE57115,C88902,週刊少年ジャンプ,1996-03-18,第1群（合計話数：8-16話）,3
0.7653958944281525,CE67103,C88565,週刊少年ジャンプ,1985-06-17,第1群（合計話数：8-16話）,5
0.8782608695652174,CE69566,C88668,週刊少年ジャンプ,1982-06-14,第1群（合計話数：8-16話）,7
0.6347826086956522,CE69577,C88668,週刊少年ジャンプ,1982-06-07,第1群（合計話数：8-16話）,6
0.8898550724637682,CE69597,C88668,週刊少年ジャンプ,1982-05-31,第1群（合計話数：8-16話）,5
0.8898550724637682,CE69613,C88668,週刊少年ジャンプ,1982-05-24,第1群（合計話数：8-16話）,4
0.8898550724637682,CE69629,C88668,週刊少年ジャンプ,1982-05-17,第1群（合計話数：8-16話）,3
0.7275362318840579,CE69642,C88668,週刊少年ジャンプ,1982-05-10,第1群（合計話数：8-16話）,2
0.008695652173913,CE69647,C88668,週刊少年ジャンプ,1982-05-03,第1群（合計話数：8-16話）,1
0.707936507936508,CE72980,C88650,週刊少年ジャンプ,1978-02-13,第1群（合計話数：8-16話）,8
0.7572559366754618,CE72995,C88650,週刊少年ジャンプ,1978-01-30,第1群（合計話数：8-16話）,7
0.7572559366754618,CE73012,C88650,週刊少年ジャンプ,1978-01-16,第1群（合計話数：8-16話）,6
