掲載位置,ceid,ccid,mcname,date,グループ名,話数
0.5617715617715617,CE181858,C110940,週刊少年チャンピオン,2014-12-11,第3群（合計話数：32-81話）,8
0.3844444444444444,CE177151,C110947,週刊少年マガジン,2014-10-15,第2群（合計話数：17-31話）,1
0.42,CE177152,C110947,週刊少年マガジン,2014-10-15,第2群（合計話数：17-31話）,2
0.6495535714285714,CE177182,C110947,週刊少年マガジン,2014-10-22,第2群（合計話数：17-31話）,3
0.2822222222222222,CE177199,C110947,週刊少年マガジン,2014-10-29,第2群（合計話数：17-31話）,4
0.7745535714285714,CE177234,C110947,週刊少年マガジン,2014-11-05,第2群（合計話数：17-31話）,5
0.4976851851851852,CE177251,C110947,週刊少年マガジン,2014-11-12,第2群（合計話数：17-31話）,6
0.3851351351351351,CE177273,C110947,週刊少年マガジン,2014-11-19,第2群（合計話数：17-31話）,7
0.9617117117117115,CE177288,C110947,週刊少年マガジン,2014-11-19,第2群（合計話数：17-31話）,8
0.0200892857142857,CE177216,C110950,週刊少年マガジン,2014-11-05,第3群（合計話数：32-81話）,1
0.1736111111111111,CE177244,C110950,週刊少年マガジン,2014-11-12,第3群（合計話数：32-81話）,2
0.295045045045045,CE177272,C110950,週刊少年マガジン,2014-11-19,第3群（合計話数：32-81話）,3
0.4884259259259259,CE177301,C110950,週刊少年マガジン,2014-11-26,第3群（合計話数：32-81話）,4
0.6627906976744186,CE177330,C110950,週刊少年マガジン,2014-12-03,第3群（合計話数：32-81話）,5
0.2060185185185185,CE177343,C110950,週刊少年マガジン,2014-12-10,第3群（合計話数：32-81話）,6
0.2523148148148148,CE177344,C110950,週刊少年マガジン,2014-12-10,第3群（合計話数：32-81話）,7
0.6704035874439462,CE179239,C110950,週刊少年マガジン,2015-01-01,第3群（合計話数：32-81話）,8
0.0179640718562874,CE178174,C110958,週刊少年ジャンプ,2015-01-01,第2群（合計話数：17-31話）,1
0.1820040899795501,CE178199,C110958,週刊少年ジャンプ,2015-01-08,第2群（合計話数：17-31話）,2
0.2720156555772994,CE178223,C110958,週刊少年ジャンプ,2015-01-15,第2群（合計話数：17-31話）,3
0.3213572854291417,CE178245,C110958,週刊少年ジャンプ,2015-01-21,第2群（合計話数：17-31話）,4
0.2770137524557957,CE178277,C110958,週刊少年ジャンプ,2015-01-28,第2群（合計話数：17-31話）,5
0.3513513513513513,CE178301,C110958,週刊少年ジャンプ,2015-02-02,第2群（合計話数：17-31話）,6
0.4989648033126294,CE178327,C110958,週刊少年ジャンプ,2015-02-09,第2群（合計話数：17-31話）,7
0.348643006263048,CE178346,C110958,週刊少年ジャンプ,2015-02-16,第2群（合計話数：17-31話）,8
0.0068649885583524,CE178108,C110975,週刊少年チャンピオン,2014-11-13,第4群（合計話数：82-1956話）,1
0.3151927437641723,CE178134,C110975,週刊少年チャンピオン,2014-11-20,第4群（合計話数：82-1956話）,2
0.5192743764172335,CE178160,C110975,週刊少年チャンピオン,2014-11-27,第4群（合計話数：82-1956話）,3
0.3120728929384966,CE181828,C110975,週刊少年チャンピオン,2014-12-04,第4群（合計話数：82-1956話）,4
0.2121212121212121,CE181847,C110975,週刊少年チャンピオン,2014-12-11,第4群（合計話数：82-1956話）,5
0.2290249433106576,CE181873,C110975,週刊少年チャンピオン,2014-12-25,第4群（合計話数：82-1956話）,6
0.3286052009456264,CE181897,C110975,週刊少年チャンピオン,2015-01-08,第4群（合計話数：82-1956話）,7
0.2589073634204275,CE181917,C110975,週刊少年チャンピオン,2015-01-15,第4群（合計話数：82-1956話）,8
0.0068027210884353,CE178129,C110976,週刊少年チャンピオン,2014-11-20,第3群（合計話数：32-81話）,1
0.3922902494331066,CE178158,C110976,週刊少年チャンピオン,2014-11-27,第3群（合計話数：32-81話）,2
0.489749430523918,CE181832,C110976,週刊少年チャンピオン,2014-12-04,第3群（合計話数：32-81話）,3
0.6596736596736597,CE181860,C110976,週刊少年チャンピオン,2014-12-11,第3群（合計話数：32-81話）,4
0.6643990929705216,CE181883,C110976,週刊少年チャンピオン,2014-12-25,第3群（合計話数：32-81話）,5
0.7825059101654847,CE181908,C110976,週刊少年チャンピオン,2015-01-08,第3群（合計話数：32-81話）,6
0.8052256532066508,CE181929,C110976,週刊少年チャンピオン,2015-01-15,第3群（合計話数：32-81話）,7
0.7040572792362768,CE181948,C110976,週刊少年チャンピオン,2015-01-22,第3群（合計話数：32-81話）,8
0.0340136054421768,CE178152,C110978,週刊少年チャンピオン,2014-11-27,第4群（合計話数：82-1956話）,1
0.0888382687927107,CE181823,C110978,週刊少年チャンピオン,2014-12-04,第4群（合計話数：82-1956話）,2
0.5151515151515151,CE181857,C110978,週刊少年チャンピオン,2014-12-11,第4群（合計話数：82-1956話）,3
0.6145124716553289,CE181882,C110978,週刊少年チャンピオン,2014-12-25,第4群（合計話数：82-1956話）,4
0.574468085106383,CE181903,C110978,週刊少年チャンピオン,2015-01-08,第4群（合計話数：82-1956話）,5
0.4156769596199525,CE181921,C110978,週刊少年チャンピオン,2015-01-15,第4群（合計話数：82-1956話）,6
0.2553699284009546,CE181938,C110978,週刊少年チャンピオン,2015-01-22,第4群（合計話数：82-1956話）,7
0.7494089834515366,CE181974,C110978,週刊少年チャンピオン,2015-01-29,第4群（合計話数：82-1956話）,8
0.0334645669291338,CE180446,C110985,週刊少年サンデー,2014-12-03,第4群（合計話数：82-1956話）,1
0.1524390243902439,CE180474,C110985,週刊少年サンデー,2014-12-10,第4群（合計話数：82-1956話）,2
0.3315217391304347,CE180504,C110985,週刊少年サンデー,2014-12-24,第4群（合計話数：82-1956話）,3
0.1988847583643122,CE180531,C110985,週刊少年サンデー,2015-01-07,第4群（合計話数：82-1956話）,4
0.1219008264462809,CE180558,C110985,週刊少年サンデー,2015-01-14,第4群（合計話数：82-1956話）,5
0.2710084033613445,CE180594,C110985,週刊少年サンデー,2015-01-21,第4群（合計話数：82-1956話）,6
0.074,CE180618,C110985,週刊少年サンデー,2015-01-28,第4群（合計話数：82-1956話）,7
0.1957364341085271,CE180651,C110985,週刊少年サンデー,2015-02-04,第4群（合計話数：82-1956話）,8
0.0304878048780487,CE180473,C110987,週刊少年サンデー,2014-12-10,第3群（合計話数：32-81話）,1
0.1793478260869565,CE180501,C110987,週刊少年サンデー,2014-12-24,第3群（合計話数：32-81話）,2
0.2360594795539033,CE180532,C110987,週刊少年サンデー,2015-01-07,第3群（合計話数：32-81話）,3
0.365702479338843,CE180567,C110987,週刊少年サンデー,2015-01-14,第3群（合計話数：32-81話）,4
0.3130252100840336,CE180595,C110987,週刊少年サンデー,2015-01-21,第3群（合計話数：32-81話）,5
0.442,CE180629,C110987,週刊少年サンデー,2015-01-28,第3群（合計話数：32-81話）,6
0.2732558139534883,CE180653,C110987,週刊少年サンデー,2015-02-04,第3群（合計話数：32-81話）,7
0.7151639344262295,CE180698,C110987,週刊少年サンデー,2015-02-11,第3群（合計話数：32-81話）,8
0.0452898550724637,CE180499,C110989,週刊少年サンデー,2014-12-24,第4群（合計話数：82-1956話）,1
0.0762081784386617,CE180528,C110989,週刊少年サンデー,2015-01-07,第4群（合計話数：82-1956話）,2
0.1632231404958677,CE180559,C110989,週刊少年サンデー,2015-01-14,第4群（合計話数：82-1956話）,3
0.0735294117647058,CE180588,C110989,週刊少年サンデー,2015-01-21,第4群（合計話数：82-1956話）,4
0.158,CE180621,C110989,週刊少年サンデー,2015-01-28,第4群（合計話数：82-1956話）,5
0.0562015503875969,CE180647,C110989,週刊少年サンデー,2015-02-04,第4群（合計話数：82-1956話）,6
0.3463114754098361,CE180688,C110989,週刊少年サンデー,2015-02-11,第4群（合計話数：82-1956話）,7
0.4216101694915254,CE180719,C110989,週刊少年サンデー,2015-02-18,第4群（合計話数：82-1956話）,8
0.0185185185185185,CE179274,C110993,週刊少年マガジン,2015-01-15,第4群（合計話数：82-1956話）,1
0.0852534562211981,CE179302,C110993,週刊少年マガジン,2015-01-22,第4群（合計話数：82-1956話）,2
0.4638009049773756,CE179335,C110993,週刊少年マガジン,2015-01-29,第4群（合計話数：82-1956話）,3
0.0919282511210762,CE179350,C110993,週刊少年マガジン,2015-02-04,第4群（合計話数：82-1956話）,4
0.3941441441441441,CE179386,C110993,週刊少年マガジン,2015-02-11,第4群（合計話数：82-1956話）,5
0.9004629629629629,CE179424,C110993,週刊少年マガジン,2015-02-18,第4群（合計話数：82-1956話）,6
0.46,CE179438,C110993,週刊少年マガジン,2015-02-25,第4群（合計話数：82-1956話）,7
0.5088888888888888,CE179439,C110993,週刊少年マガジン,2015-02-25,第4群（合計話数：82-1956話）,8
0.01187648456057,CE181913,C110995,週刊少年チャンピオン,2015-01-15,第3群（合計話数：32-81話）,1
0.198090692124105,CE181937,C110995,週刊少年チャンピオン,2015-01-22,第3群（合計話数：32-81話）,2
0.4657210401891253,CE181968,C110995,週刊少年チャンピオン,2015-01-29,第3群（合計話数：32-81話）,3
0.269689737470167,CE181986,C110995,週刊少年チャンピオン,2015-02-05,第3群（合計話数：32-81話）,4
0.7708830548926014,CE182020,C110995,週刊少年チャンピオン,2015-02-12,第3群（合計話数：32-81話）,5
0.7314148681055156,CE182041,C110995,週刊少年チャンピオン,2015-02-19,第3群（合計話数：32-81話）,6
0.52,CE182061,C110995,週刊少年チャンピオン,2015-02-26,第3群（合計話数：32-81話）,7
0.2887828162291169,CE182078,C110995,週刊少年チャンピオン,2015-03-05,第3群（合計話数：32-81話）,8
0.6372315035799523,CE181995,C111000,週刊少年チャンピオン,2015-02-05,第1群（合計話数：8-16話）,1
0.8997613365155132,CE182023,C111000,週刊少年チャンピオン,2015-02-12,第1群（合計話数：8-16話）,2
0.947242206235012,CE182047,C111000,週刊少年チャンピオン,2015-02-19,第1群（合計話数：8-16話）,3
0.9152941176470588,CE182069,C111000,週刊少年チャンピオン,2015-02-26,第1群（合計話数：8-16話）,4
0.8090692124105012,CE182090,C111000,週刊少年チャンピオン,2015-03-05,第1群（合計話数：8-16話）,5
0.9477434679334916,CE182117,C111000,週刊少年チャンピオン,2015-03-12,第1群（合計話数：8-16話）,6
0.8859857482185273,CE182138,C111000,週刊少年チャンピオン,2015-03-19,第1群（合計話数：8-16話）,7
0.9477434679334916,CE182159,C111000,週刊少年チャンピオン,2015-03-26,第1群（合計話数：8-16話）,8
0.0119331742243436,CE182005,C111002,週刊少年チャンピオン,2015-02-12,第3群（合計話数：32-81話）,1
0.3525179856115107,CE182033,C111002,週刊少年チャンピオン,2015-02-19,第3群（合計話数：32-81話）,2
0.6141176470588235,CE182063,C111002,週刊少年チャンピオン,2015-02-26,第3群（合計話数：32-81話）,3
0.513126491646778,CE182083,C111002,週刊少年チャンピオン,2015-03-05,第3群（合計話数：32-81話）,4
0.5676959619952494,CE182107,C111002,週刊少年チャンピオン,2015-03-12,第3群（合計話数：32-81話）,5
0.344418052256532,CE182125,C111002,週刊少年チャンピオン,2015-03-19,第3群（合計話数：32-81話）,6
0.5961995249406176,CE182152,C111002,週刊少年チャンピオン,2015-03-26,第3群（合計話数：32-81話）,7
0.645083932853717,CE182173,C111002,週刊少年チャンピオン,2015-04-02,第3群（合計話数：32-81話）,8
0.2769516728624535,CE180533,C111004,週刊少年サンデー,2015-01-07,第3群（合計話数：32-81話）,1
0.2918215613382899,CE180534,C111004,週刊少年サンデー,2015-01-07,第3群（合計話数：32-81話）,2
0.2334710743801653,CE180561,C111004,週刊少年サンデー,2015-01-14,第3群（合計話数：32-81話）,3
0.25,CE180562,C111004,週刊少年サンデー,2015-01-14,第3群（合計話数：32-81話）,4
0.6869747899159664,CE180606,C111004,週刊少年サンデー,2015-01-21,第3群（合計話数：32-81話）,5
0.7037815126050421,CE180607,C111004,週刊少年サンデー,2015-01-21,第3群（合計話数：32-81話）,6
0.63,CE180633,C111004,週刊少年サンデー,2015-01-28,第3群（合計話数：32-81話）,7
0.625968992248062,CE180664,C111004,週刊少年サンデー,2015-02-04,第3群（合計話数：32-81話）,8
0.006198347107438,CE180557,C111005,週刊少年サンデー,2015-01-14,第3群（合計話数：32-81話）,1
0.1995798319327731,CE180593,C111005,週刊少年サンデー,2015-01-21,第3群（合計話数：32-81話）,2
0.23,CE180623,C111005,週刊少年サンデー,2015-01-28,第3群（合計話数：32-81話）,3
0.1453488372093023,CE180650,C111005,週刊少年サンデー,2015-02-04,第3群（合計話数：32-81話）,4
0.3995901639344262,CE180690,C111005,週刊少年サンデー,2015-02-11,第3群（合計話数：32-81話）,5
0.0656779661016949,CE180708,C111005,週刊少年サンデー,2015-02-18,第3群（合計話数：32-81話）,6
0.2035573122529644,CE180741,C111005,週刊少年サンデー,2015-02-25,第3群（合計話数：32-81話）,7
0.4004237288135593,CE180775,C111005,週刊少年サンデー,2015-03-04,第3群（合計話数：32-81話）,8
0.1743697478991596,CE180592,C111006,週刊少年サンデー,2015-01-21,第3群（合計話数：32-81話）,1
0.43,CE180628,C111006,週刊少年サンデー,2015-01-28,第3群（合計話数：32-81話）,2
0.1337209302325581,CE180649,C111006,週刊少年サンデー,2015-02-04,第3群（合計話数：32-81話）,3
0.3872950819672131,CE180689,C111006,週刊少年サンデー,2015-02-11,第3群（合計話数：32-81話）,4
0.2012711864406779,CE180712,C111006,週刊少年サンデー,2015-02-18,第3群（合計話数：32-81話）,5
0.7569169960474308,CE180756,C111006,週刊少年サンデー,2015-02-25,第3群（合計話数：32-81話）,6
0.8665254237288136,CE180789,C111006,週刊少年サンデー,2015-03-04,第3群（合計話数：32-81話）,7
0.7589641434262948,CE180817,C111006,週刊少年サンデー,2015-03-11,第3群（合計話数：32-81話）,8
0.0059760956175298,CE180795,C111010,週刊少年サンデー,2015-03-11,第4群（合計話数：82-1956話）,1
0.0637065637065637,CE180827,C111010,週刊少年サンデー,2015-03-18,第4群（合計話数：82-1956話）,2
0.1540084388185654,CE180861,C111010,週刊少年サンデー,2015-03-25,第4群（合計話数：82-1956話）,3
0.1118143459915611,CE180890,C111010,週刊少年サンデー,2015-04-01,第4群（合計話数：82-1956話）,4
0.1036585365853658,CE180919,C111010,週刊少年サンデー,2015-04-08,第4群（合計話数：82-1956話）,5
0.2975708502024291,CE180953,C111010,週刊少年サンデー,2015-04-15,第4群（合計話数：82-1956話）,6
0.0711538461538461,CE180977,C111010,週刊少年サンデー,2015-04-22,第4群（合計話数：82-1956話）,7
0.0208333333333333,CE181007,C111010,週刊少年サンデー,2015-04-29,第4群（合計話数：82-1956話）,8
0.0196936542669584,CE178361,C111020,週刊少年ジャンプ,2015-02-23,第3群（合計話数：32-81話）,1
0.2651356993736952,CE178382,C111020,週刊少年ジャンプ,2015-03-02,第3群（合計話数：32-81話）,2
0.4905263157894737,CE178407,C111020,週刊少年ジャンプ,2015-03-09,第3群（合計話数：32-81話）,3
0.5723014256619144,CE178429,C111020,週刊少年ジャンプ,2015-03-16,第3群（合計話数：32-81話）,4
0.4630021141649049,CE178448,C111020,週刊少年ジャンプ,2015-03-23,第3群（合計話数：32-81話）,5
0.6645702306079665,CE178474,C111020,週刊少年ジャンプ,2015-03-30,第3群（合計話数：32-81話）,6
