マンガ作品名,掲載位置,ceid,date
ドカベン,0.125,CE112100,1978-02-06
ドカベン,0.1913357400722021,CE111437,1978-12-25
ドカベン,0.1546762589928057,CE111464,1978-12-11
ドカベン,0.1330935251798561,CE111820,1978-06-26
ドカベン,0.010752688172043,CE111832,1978-06-19
ドカベン,0.1546762589928057,CE111848,1978-06-12
ドカベン,0.1618705035971223,CE111862,1978-06-05
ドカベン,0.0108303249097472,CE111874,1978-05-29
ドカベン,0.1552346570397112,CE111890,1978-05-22
ドカベン,0.1289198606271777,CE111904,1978-05-15
ドカベン,0.0107913669064748,CE111917,1978-05-08
ドカベン,0.1316725978647686,CE111932,1978-05-01
ドカベン,0.0092307692307692,CE111944,1978-04-24
ドカベン,0.1485507246376811,CE111960,1978-04-17
ドカベン,0.1340579710144927,CE111973,1978-04-10
ドカベン,0.010752688172043,CE111986,1978-04-03
ドカベン,0.1326164874551971,CE112002,1978-03-27
ドカベン,0.1326164874551971,CE112016,1978-03-20
ドカベン,0.010752688172043,CE112028,1978-03-13
ドカベン,0.0971223021582733,CE112043,1978-03-06
ドカベン,0.1326164874551971,CE112058,1978-02-27
ドカベン,0.1402877697841726,CE112072,1978-02-20
ドカベン,0.2697841726618705,CE111807,1976-09-06
ドカベン,0.1541218637992831,CE111792,1978-07-03
ドカベン,0.0108303249097472,CE111776,1978-07-10
ドカベン,0.2122302158273381,CE111765,1978-07-17
ドカベン,0.0107913669064748,CE111476,1978-12-04
ドカベン,0.2338129496402877,CE111493,1978-11-27
ドカベン,0.0097402597402597,CE115905,1972-06-26
ドカベン,0.0107913669064748,CE111518,1978-11-13
ドカベン,0.1402877697841726,CE111533,1978-11-06
ドカベン,0.1546762589928057,CE111548,1978-10-30
ドカベン,0.0108695652173913,CE111560,1978-10-23
ドカベン,0.2122302158273381,CE111577,1978-10-16
ドカベン,0.2122302158273381,CE111591,1978-10-09
ドカベン,0.1899641577060931,CE111451,1978-12-18
ドカベン,0.0107913669064748,CE111602,1978-10-02
ドカベン,0.1725146198830409,CE111633,1978-09-18
ドカベン,0.0087463556851311,CE111646,1978-09-11
ドカベン,0.1253644314868804,CE111662,1978-09-04
ドカベン,0.1541218637992831,CE111679,1978-08-28
ドカベン,0.0106382978723404,CE111691,1978-08-21
ドカベン,0.1546762589928057,CE111707,1978-08-14
ドカベン,0.2122302158273381,CE111722,1978-08-07
ドカベン,0.014388489208633,CE111733,1978-07-31
ドカベン,0.1546762589928057,CE111750,1978-07-24
ドカベン,0.1906474820143885,CE111619,1978-09-25
ドカベン,0.1894273127753304,CE113494,1976-02-23
ドカベン,0.1902654867256637,CE113506,1976-02-16
ドカベン,0.1885964912280701,CE113518,1976-02-09
ドカベン,0.1285714285714285,CE115051,1973-09-17
ドカベン,0.0142857142857142,CE115065,1973-09-10
ドカベン,0.0366666666666666,CE115080,1973-08-27
ドカベン,0.0166666666666666,CE115095,1973-08-20
ドカベン,0.1233333333333333,CE115112,1973-08-13
ドカベン,0.1766666666666666,CE115128,1973-08-06
ドカベン,0.0833333333333333,CE115142,1973-07-30
ドカベン,0.04,CE115188,1973-07-09
ドカベン,0.0166666666666666,CE115202,1973-07-02
ドカベン,0.15,CE115217,1973-06-25
ドカベン,0.15,CE115231,1973-06-18
ドカベン,0.15,CE115244,1973-06-11
ドカベン,0.15,CE115257,1973-06-04
ドカベン,0.0166666666666666,CE115270,1973-05-28
ドカベン,0.12,CE115286,1973-05-21
ドカベン,0.0833333333333333,CE115301,1973-05-14
ドカベン,0.01,CE115315,1973-05-07
ドカベン,0.1433333333333333,CE115331,1973-04-30
ドカベン,0.3033333333333333,CE115349,1973-04-23
ドカベン,0.1266666666666666,CE115038,1973-09-24
ドカベン,0.15,CE115024,1973-10-01
ドカベン,0.0166666666666666,CE115009,1973-10-08
ドカベン,0.1482758620689655,CE114996,1973-10-15
ドカベン,0.1919642857142857,CE114729,1974-03-18
ドカベン,0.1020408163265306,CE114739,1974-03-11
ドカベン,0.0164609053497942,CE114751,1974-02-25
ドカベン,0.1260162601626016,CE114765,1974-02-18
ドカベン,0.2610169491525423,CE114780,1974-02-11
ドカベン,0.0285714285714285,CE114790,1974-01-28
ドカベン,0.1373801916932907,CE114806,1974-01-21
ドカベン,0.1335877862595419,CE114819,1974-01-14
ドカベン,0.1330798479087452,CE114832,1974-01-07
ドカベン,0.0633333333333333,CE115361,1973-04-16
ドカベン,0.1230283911671924,CE114845,1974-01-01
ドカベン,0.1595744680851064,CE114872,1973-12-17
ドカベン,0.125,CE114885,1973-12-10
ドカベン,0.106060606060606,CE114898,1973-12-03
ドカベン,0.0176056338028169,CE114911,1973-11-26
ドカベン,0.0422535211267605,CE114925,1973-11-19
ドカベン,0.1866197183098591,CE114941,1973-11-12
ドカベン,0.1936619718309859,CE114955,1973-11-05
ドカベン,0.0176056338028169,CE114967,1973-10-29
ドカベン,0.1344827586206896,CE114982,1973-10-22
ドカベン,0.0141843971631205,CE114858,1973-12-24
ドカベン,0.0179372197309417,CE114716,1974-03-25
ドカベン,0.3033333333333333,CE115378,1973-04-09
ドカベン,0.3366666666666666,CE115407,1973-03-26
