代表的なアニメ作品名,アニメシリーズID,放送年,初放送日,合計話数
それいけ！アンパンマン,C7048,2012,1999-12-03,46
それいけ！アンパンマン,C7048,2013,1999-12-03,50
それいけ！アンパンマン,C7048,2014,1999-12-03,92
それいけ！アンパンマン,C7048,2015,1999-12-03,95
それいけ！アンパンマン,C7048,2016,1999-12-03,89
それいけ！アンパンマン,C7048,2017,1999-12-03,0
ちびまる子ちゃん［新］,C1022,1992,1999-12-05,0
サザエさん,C1945,1992,1999-12-05,0
ちびまる子ちゃん［新］,C1022,1993,1999-12-05,0
サザエさん,C1945,1993,1999-12-05,0
ちびまる子ちゃん［新］,C1022,1994,1999-12-05,0
サザエさん,C1945,1994,1999-12-05,0
ちびまる子ちゃん［新］,C1022,1995,1999-12-05,0
サザエさん,C1945,1995,1999-12-05,0
ちびまる子ちゃん［新］,C1022,1996,1999-12-05,0
サザエさん,C1945,1996,1999-12-05,0
ちびまる子ちゃん［新］,C1022,1997,1999-12-05,0
サザエさん,C1945,1997,1999-12-05,0
ちびまる子ちゃん［新］,C1022,1998,1999-12-05,0
サザエさん,C1945,1998,1999-12-05,0
ちびまる子ちゃん［新］,C1022,1999,1999-12-05,3
サザエさん,C1945,1999,1999-12-05,5
ちびまる子ちゃん［新］,C1022,2000,1999-12-05,52
サザエさん,C1945,2000,1999-12-05,52
ちびまる子ちゃん［新］,C1022,2001,1999-12-05,51
サザエさん,C1945,2001,1999-12-05,51
ちびまる子ちゃん［新］,C1022,2002,1999-12-05,51
サザエさん,C1945,2002,1999-12-05,50
ちびまる子ちゃん［新］,C1022,2003,1999-12-05,52
サザエさん,C1945,2003,1999-12-05,50
ちびまる子ちゃん［新］,C1022,2004,1999-12-05,48
サザエさん,C1945,2004,1999-12-05,49
ちびまる子ちゃん［新］,C1022,2005,1999-12-05,50
サザエさん,C1945,2005,1999-12-05,49
ちびまる子ちゃん［新］,C1022,2006,1999-12-05,49
サザエさん,C1945,2006,1999-12-05,51
ちびまる子ちゃん［新］,C1022,2007,1999-12-05,50
サザエさん,C1945,2007,1999-12-05,51
ちびまる子ちゃん［新］,C1022,2008,1999-12-05,50
サザエさん,C1945,2008,1999-12-05,51
ちびまる子ちゃん［新］,C1022,2009,1999-12-05,50
サザエさん,C1945,2009,1999-12-05,49
ちびまる子ちゃん［新］,C1022,2010,1999-12-05,48
サザエさん,C1945,2010,1999-12-05,49
ちびまる子ちゃん［新］,C1022,2011,1999-12-05,51
サザエさん,C1945,2011,1999-12-05,51
ちびまる子ちゃん［新］,C1022,2012,1999-12-05,48
サザエさん,C1945,2012,1999-12-05,49
ちびまる子ちゃん［新］,C1022,2013,1999-12-05,55
サザエさん,C1945,2013,1999-12-05,58
ちびまる子ちゃん［新］,C1022,2014,1999-12-05,93
サザエさん,C1945,2014,1999-12-05,155
ちびまる子ちゃん［新］,C1022,2015,1999-12-05,100
サザエさん,C1945,2015,1999-12-05,150
ちびまる子ちゃん［新］,C1022,2016,1999-12-05,93
サザエさん,C1945,2016,1999-12-05,155
ちびまる子ちゃん［新］,C1022,2017,1999-12-05,0
サザエさん,C1945,2017,1999-12-05,0
名探偵コナン,C1849,1992,1999-12-06,0
名探偵コナン,C1849,1993,1999-12-06,0
名探偵コナン,C1849,1994,1999-12-06,0
名探偵コナン,C1849,1995,1999-12-06,0
名探偵コナン,C1849,1996,1999-12-06,0
名探偵コナン,C1849,1997,1999-12-06,0
名探偵コナン,C1849,1998,1999-12-06,0
