マンガ作者名,掲載年,初掲載年,合計話数
ちばてつや,1990,1970,47
手塚治虫,1990,1970,0
梶原一騎,1990,1970,0
水島新司,1990,1970,49
ちばてつや,1991,1970,22
手塚治虫,1991,1970,0
梶原一騎,1991,1970,0
水島新司,1991,1970,50
ちばてつや,1992,1970,29
手塚治虫,1992,1970,0
梶原一騎,1992,1970,0
水島新司,1992,1970,49
ちばてつや,1993,1970,40
手塚治虫,1993,1970,0
梶原一騎,1993,1970,0
水島新司,1993,1970,48
ちばてつや,1994,1970,24
手塚治虫,1994,1970,0
梶原一騎,1994,1970,0
水島新司,1994,1970,48
ちばてつや,1995,1970,0
手塚治虫,1995,1970,0
梶原一騎,1995,1970,0
水島新司,1995,1970,44
ちばてつや,1996,1970,0
手塚治虫,1996,1970,0
梶原一騎,1996,1970,0
水島新司,1996,1970,48
ちばてつや,1997,1970,0
手塚治虫,1997,1970,0
梶原一騎,1997,1970,0
水島新司,1997,1970,48
ちばてつや,1998,1970,0
手塚治虫,1998,1970,0
梶原一騎,1998,1970,0
水島新司,1998,1970,49
ちばてつや,1999,1970,0
手塚治虫,1999,1970,0
梶原一騎,1999,1970,0
水島新司,1999,1970,48
ちばてつや,2000,1970,0
手塚治虫,2000,1970,0
梶原一騎,2000,1970,0
水島新司,2000,1970,48
ちばてつや,2001,1970,0
手塚治虫,2001,1970,0
梶原一騎,2001,1970,0
水島新司,2001,1970,48
ちばてつや,2002,1970,0
手塚治虫,2002,1970,0
梶原一騎,2002,1970,0
水島新司,2002,1970,49
ちばてつや,2003,1970,0
手塚治虫,2003,1970,2
梶原一騎,2003,1970,0
水島新司,2003,1970,48
ちばてつや,2004,1970,0
手塚治虫,2004,1970,6
梶原一騎,2004,1970,0
水島新司,2004,1970,49
ちばてつや,2005,1970,0
手塚治虫,2005,1970,14
梶原一騎,2005,1970,0
水島新司,2005,1970,48
ちばてつや,2006,1970,0
手塚治虫,2006,1970,45
梶原一騎,2006,1970,15
水島新司,2006,1970,48
ちばてつや,2007,1970,0
手塚治虫,2007,1970,48
梶原一騎,2007,1970,44
水島新司,2007,1970,48
