ccid,crtid,ccname,n_ce,n_2c,n_4c,first_date,last_date,mcid,mcname,crtname
C92501,CCRT01461,おれが頭だ,1,0,0,1980-09-28,1980-09-28,C117607,週刊少年サンデー,小川修
C92502,CCRT03202,俺が生きてる足摺の海,1,1,0,1978-05-28,1978-05-28,C117607,週刊少年サンデー,青柳裕介しばてんプロ
C92503,CCRT01996,俺様は?,95,0,3,2003-01-29,2005-01-05,C117607,週刊少年サンデー,杉本ペロ
C92504,CCRT01996,俺様はZ,3,0,0,2005-01-19,2005-02-02,C117607,週刊少年サンデー,杉本ペロ
C92506,CCRT02019,俺たちのフィールド,325,23,4,1992-01-11,1998-10-21,C117607,週刊少年サンデー,村枝賢一
C92507,CCRT02606,おれとアキアカネ,1,0,0,1973-09-09,1973-09-09,C117607,週刊少年サンデー,矢代まさこ
C92508,CCRT02339,おれの彼女は左まき,1,0,0,1973-10-21,1973-10-21,C117607,週刊少年サンデー,池上遼一
C92508,CCRT02858,おれの彼女は左まき,1,0,0,1973-10-21,1973-10-21,C117607,週刊少年サンデー,草川隆
C92509,CCRT02339,おれの彼女は悪魔の使い,1,0,0,1973-12-02,1973-12-02,C117607,週刊少年サンデー,池上遼一
C92509,CCRT02858,おれの彼女は悪魔の使い,1,0,0,1973-12-02,1973-12-02,C117607,週刊少年サンデー,草川隆
C92510,CCRT00354,おれのかよたん,1,0,0,1971-05-23,1971-05-23,C117607,週刊少年サンデー,もりお竜
C92513,CCRT01105,おれのヤドカリちゃん,3,0,2,1973-08-19,1973-11-18,C117607,週刊少年サンデー,吉沢やすみ
C92514,CCRT03322,俺はIQ∞,2,0,0,1989-05-03,1989-05-10,C117607,週刊少年サンデー,魚戸おさむ
C92514,CCRT03361,俺はIQ∞,2,0,0,1989-05-03,1989-05-10,C117607,週刊少年サンデー,黒沢哲哉
C92515,CCRT01445,おれは直角,128,11,2,1973-07-22,1976-04-25,C117607,週刊少年サンデー,小山ゆうとスタジオ・シップ
C92516,CCRT00278,おれはナマズ者,54,5,0,1982-01-27,1983-02-16,C117607,週刊少年サンデー,はしもとみつお
C92516,CCRT00370,おれはナマズ者,54,5,0,1982-01-27,1983-02-16,C117607,週刊少年サンデー,やまさき十三
C92517,CCRT02026,おれは二代目,1,0,0,1977-10-23,1977-10-23,C117607,週刊少年サンデー,村野守美
C92519,CCRT02223,おろち,4,0,0,1970-08-02,1970-08-23,C117607,週刊少年サンデー,楳図かずお
C92520,CCRT01230,大蛇 オロチ,1,0,0,2003-10-22,2003-10-22,C117607,週刊少年サンデー,夏目義徳
C92521,CCRT00496,お笑い国際郵便,3,1,2,1971-07-11,1971-07-25,C117607,週刊少年サンデー,タイガー立石
C92522,CCRT00822,瘟鬼,1,0,1,2013-02-06,2013-02-06,C117607,週刊少年サンデー,伊十蔵景
C92523,CCRT02064,音速雷撃隊,1,0,0,1974-04-07,1974-04-07,C117607,週刊少年サンデー,松本零士
C92528,CCRT00635,おんりぃyou!!,4,0,0,1985-07-10,1985-07-31,C117607,週刊少年サンデー,三鷹公一
C92529,CCRT03008,母ちゃんNo.1,38,3,2,1976-05-16,1977-03-20,C117607,週刊少年サンデー,赤塚不二夫
C92530,CCRT01300,かあちゃんの甲子園,1,0,0,1974-09-22,1974-09-22,C117607,週刊少年サンデー,大竹豊
C92533,CCRT01702,怪奇千万!十五郎,17,0,2,2004-01-01,2004-04-28,C117607,週刊少年サンデー,川久保栄二
C92536,CCRT02223,怪獣ギョー,2,0,2,1971-08-29,1971-09-05,C117607,週刊少年サンデー,楳図かずお
C92537,CCRT01783,怪獣にいちゃん,1,0,0,1972-09-03,1972-09-03,C117607,週刊少年サンデー,影丸譲也とJ・Kプロ
C92538,CCRT01468,海鷲,1,1,0,1976-12-26,1976-12-26,C117607,週刊少年サンデー,小松崎茂
C92539,CCRT00561,怪人ジャガーマン,10,0,1,1971-04-25,1971-06-27,C117607,週刊少年サンデー,モンキーパンチ
C92541,CCRT03181,怪体真書0,57,0,3,2008-09-17,2011-04-20,C117607,週刊少年サンデー,険持ちよ
C92543,CCRT02185,怪鳥ハゲタン,5,0,0,1973-03-04,1973-07-08,C117607,週刊少年サンデー,森岡ペペ
C92547,CCRT02107,怪盗GINGA,1,0,0,2009-04-08,2009-04-08,C117607,週刊少年サンデー,柏葉ヒロ
C92548,CCRT01992,怪盗NAO!,1,0,0,2002-07-17,2002-07-17,C117607,週刊少年サンデー,杉信洋平
C92550,CCRT01105,怪物あんちゃん,1,0,0,1974-09-29,1974-09-29,C117607,週刊少年サンデー,吉沢やすみ
C92551,CCRT02301,怪物誕生!―剛球・江川卓投手物語―,1,0,1,1973-09-09,1973-09-09,C117607,週刊少年サンデー,水島新司
C92553,CCRT00683,かおるファミリー,1,0,0,1988-11-23,1988-11-23,C117607,週刊少年サンデー,中島徹
C92556,CCRT02513,香川真司物語 ～無になれ～,1,0,1,2012-02-22,2012-02-22,C117607,週刊少年サンデー,田中モトユキ
C92557,CCRT02696,学園戦記 月影流次郎,1,0,0,2007-08-08,2007-08-08,C117607,週刊少年サンデー,福井ユウスケ
C92558,CCRT00693,学園帝国俺はジュウベイ!,39,3,0,1993-01-07,1993-11-03,C117607,週刊少年サンデー,中平正彦
C92558,CCRT01767,学園帝国俺はジュウベイ!,39,3,0,1993-01-07,1993-11-03,C117607,週刊少年サンデー,広井王子
C92561,CCRT02923,ガクの詩,2,0,0,2002-05-29,2002-06-05,C117607,週刊少年サンデー,藤崎聖人
C92562,CCRT01865,かぐや,3,0,0,1985-02-27,1985-03-13,C117607,週刊少年サンデー,新保勝実
C92563,CCRT02223,かくれんぼ,1,0,1,1973-09-16,1973-09-16,C117607,週刊少年サンデー,楳図かずお
C92564,CCRT03007,影組,39,0,0,1998-04-01,1999-01-16,C117607,週刊少年サンデー,赤司かずたか
C92565,CCRT01505,カゲシバイ!,1,0,0,2007-07-11,2007-07-11,C117607,週刊少年サンデー,小澤淳
C92568,CCRT00588,カズマ来たる!!,1,0,0,2003-12-24,2003-12-24,C117607,週刊少年サンデー,万乗大智
C92571,CCRT02328,風っ子ナイン,1,1,0,1975-05-18,1975-05-18,C117607,週刊少年サンデー,永島慎二
C92573,CCRT02501,旋風の橘,47,1,4,2002-01-09,2002-12-25,C117607,週刊少年サンデー,猪熊しのぶ
