ccid,crtid,ccname,n_ce,n_2c,n_4c,first_date,last_date,mcid,mcname,crtname
C90200,CCRT02175,かそうぶっ! ～科学総合部・藤崎八尋の超科学レポート～,2,0,1,2010-01-15,2010-01-22,C119033,週刊少年マガジン,棚橋なもしろ
C90202,CCRT02509,ガチャガチャ,41,0,2,2002-08-21,2003-07-02,C119033,週刊少年マガジン,玉越博幸
C90203,CCRT03071,課長バカ一代,3,0,0,2001-07-25,2003-01-08,C119033,週刊少年マガジン,野中英次
C90204,CCRT00218,課長令嬢,47,0,1,2009-04-08,2010-08-04,C119033,週刊少年マガジン,たかちひろなり
C90204,CCRT03243,課長令嬢,47,0,1,2009-04-08,2010-08-04,C119033,週刊少年マガジン,高地ひろなり
C90205,CCRT01542,ガチンコッ!,44,0,2,1997-06-04,1998-04-15,C119033,週刊少年マガジン,山下てつお
C90206,CCRT00289,学校の怖い噂,36,0,2,1994-03-30,1995-01-07,C119033,週刊少年マガジン,ひきた美幸
C90206,CCRT00799,学校の怖い噂,36,0,2,1994-03-30,1995-01-07,C119033,週刊少年マガジン,亜樹直
C90207,CCRT02301,ガッツ10番,2,0,0,1974-05-26,1974-06-02,C119033,週刊少年マガジン,水島新司
C90207,CCRT03064,ガッツ10番,2,0,0,1974-05-26,1974-06-02,C119033,週刊少年マガジン,里中満智子
C90208,CCRT00728,勝手にもうしませんから。inワシントンD.C.,1,0,0,2009-08-26,2009-08-26,C119033,週刊少年マガジン,久保ミツロウ
C90209,CCRT01692,ガテンガイコツくん,2,0,0,2008-07-16,2008-07-16,C119033,週刊少年マガジン,島田英次郎
C90210,CCRT02301,ガニマタ,1,0,1,1973-02-25,1973-02-25,C119033,週刊少年マガジン,水島新司
C90211,CCRT01600,彼女とキスする50の方法,3,0,1,2007-08-29,2007-09-12,C119033,週刊少年マガジン,山根聖史
C90211,CCRT02756,彼女とキスする50の方法,3,0,1,2007-08-29,2007-09-12,C119033,週刊少年マガジン,笠井良樹
C90212,CCRT01361,Over Drive,145,0,10,2005-05-25,2008-05-28,C119033,週刊少年マガジン,安田剛士
C90213,CCRT00259,PEAK,14,0,1,2000-08-09,2000-11-15,C119033,週刊少年マガジン,ながてゆか
C90213,CCRT02248,PEAK,14,0,1,2000-08-09,2000-11-15,C119033,週刊少年マガジン,横山秀夫
C90214,CCRT00779,POLICEMAN,68,0,3,1997-10-15,1999-10-27,C119033,週刊少年マガジン,井上正治
C90215,CCRT02259,Power on勇二,2,0,0,1986-11-12,1986-11-19,C119033,週刊少年マガジン,橋本きんいち
C90216,CCRT01692,PROUD MAN,1,0,0,1998-01-01,1998-01-01,C119033,週刊少年マガジン,島田英次郎
C90217,CCRT00430,P.S.抱きしめたい,1,0,0,1988-06-29,1988-06-29,C119033,週刊少年マガジン,カジワラタケシ
C90218,CCRT02064,Queenエメラルダス,38,4,0,1978-01-08,1980-01-13,C119033,週刊少年マガジン,松本零士
C90219,CCRT02592,RAVE,302,0,27,1999-07-21,2005-08-10,C119033,週刊少年マガジン,真島ヒロ
C90220,CCRT01211,ROAD ～輝ける道～,25,0,2,2001-06-27,2002-01-01,C119033,週刊少年マガジン,塀内夏子
C90221,CCRT01211,ROAD ～ふたつの太陽～,9,0,1,2002-10-02,2002-11-27,C119033,週刊少年マガジン,塀内夏子
C90222,CCRT02930,ROSE HIP ZERO,36,0,3,2005-05-04,2006-03-29,C119033,週刊少年マガジン,藤沢とおる
C90223,CCRT01553,SCARECROW スケアクロウ,1,0,1,2003-08-13,2003-08-13,C119033,週刊少年マガジン,山口かつみ
C90225,CCRT00846,Shake Down,15,0,1,1997-10-01,1998-01-29,C119033,週刊少年マガジン,伊豫治好
C90226,CCRT02953,SHINING FORCENE。,3,0,0,2005-02-23,2005-04-13,C119033,週刊少年マガジン,西山優里子
C90227,CCRT01082,SHOGUN,125,1,1,1988-01-10,1991-01-09,C119033,週刊少年マガジン,史村翔
C90227,CCRT01829,SHOGUN,125,1,1,1988-01-10,1991-01-09,C119033,週刊少年マガジン,所十三
C90228,CCRT01262,SHOT!ダン,17,0,1,1988-11-09,1989-03-15,C119033,週刊少年マガジン,大島やすいち
C90229,CCRT00430,SPLASH!!,17,0,2,1992-01-22,1992-05-13,C119033,週刊少年マガジン,カジワラタケシ
C90229,CCRT01460,SPLASH!!,17,0,2,1992-01-22,1992-05-13,C119033,週刊少年マガジン,小川ひろみ
C90232,CCRT00524,STAR WARS,5,0,0,1978-05-07,1978-06-04,C119033,週刊少年マガジン,ハワード・チェイキン
C90233,CCRT01263,STAY GOLD,24,0,1,2004-05-26,2004-11-17,C119033,週刊少年マガジン,大島司
C90234,CCRT01310,Storm,2,0,0,2000-11-08,2001-06-27,C119033,週刊少年マガジン,大道由貴江
C90235,CCRT00936,SUKEBE?,1,0,0,1989-03-01,1989-03-01,C119033,週刊少年マガジン,八神ひろき
C90236,CCRT01925,SWISH!,1,0,1,2002-03-20,2002-03-20,C119033,週刊少年マガジン,月山可也
C90237,CCRT02398,TAKE OFF 君の夢が聞こえる,1,0,0,1991-08-14,1991-08-14,C119033,週刊少年マガジン,浅井昭博
C90238,CCRT01986,Teeing off,1,0,0,2000-05-10,2000-05-10,C119033,週刊少年マガジン,本島幸久
C90238,CCRT03102,Teeing off,1,0,0,2000-05-10,2000-05-10,C119033,週刊少年マガジン,金谷多一郎
C90239,CCRT00870,TEL ME TERUMI TELL ME,22,0,1,1999-11-10,2000-04-19,C119033,週刊少年マガジン,佐木飛朗斗
C90239,CCRT01653,TEL ME TERUMI TELL ME,22,0,1,1999-11-10,2000-04-19,C119033,週刊少年マガジン,岡田鯛
C90240,CCRT00259,TENKA FUBU 信長,79,0,0,1996-05-22,1998-01-22,C119033,週刊少年マガジン,ながてゆか
C90241,CCRT01685,THE STAR,213,5,11,1987-04-22,1991-07-24,C119033,週刊少年マガジン,島崎譲
C90242,CCRT00723,Theオタッキーホラーショー,10,0,1,1991-11-06,1992-01-22,C119033,週刊少年マガジン,丹波鉄心
C90243,CCRT00623,The❤かぼちゃワイン,169,25,4,1981-01-11,1984-06-13,C119033,週刊少年マガジン,三浦みつる
C90244,CCRT02321,This is大介,19,3,0,1982-08-11,1982-12-15,C119033,週刊少年マガジン,永井豪とダイナミックプロ
C90245,CCRT02439,TOGARI,1,0,1,2010-04-21,2010-04-21,C119033,週刊少年マガジン,渡辺静
C90246,CCRT00773,Tokyo Drive,1,0,1,2004-06-09,2004-06-09,C119033,週刊少年マガジン,井上三太
C90247,CCRT02374,TVジャッカー,19,0,1,1988-11-02,1989-08-02,C119033,週刊少年マガジン,河方かおる
C90248,CCRT02663,UFO,1,1,0,1982-04-14,1982-04-14,C119033,週刊少年マガジン,石森章太郎
C90249,CCRT03201,ＵＦＯが日本の空を飛ぶ日,1,1,0,1979-04-22,1979-04-22,C119033,週刊少年マガジン,青柳裕介
C90250,CCRT02643,UFOからのメッセージ,1,1,0,1990-08-08,1990-08-08,C119033,週刊少年マガジン,石垣ゆうき
C90251,CCRT03135,UMA,1,0,0,2004-03-10,2004-03-10,C119033,週刊少年マガジン,長田悠幸
C90252,CCRT03016,UQ HOLDER!,128,0,9,2013-09-11,2016-07-06,C119033,週刊少年マガジン,赤松健
C90253,CCRT01764,VINLAND SAGA  ヴィンランド・サガ,16,0,1,2005-04-27,2005-10-19,C119033,週刊少年マガジン,幸村誠
C90254,CCRT01986,VISIONZ,4,0,1,2005-11-16,2005-12-07,C119033,週刊少年マガジン,本島幸久
C90255,CCRT02383,WAOO!ツトム,34,3,0,1981-05-13,1982-01-07,C119033,週刊少年マガジン,沼よしのぶ
C90256,CCRT01426,WARASHI,37,0,2,1990-08-15,1991-06-26,C119033,週刊少年マガジン,寺沢大介
C90257,CCRT00089,Who's 楓樹,1,0,0,2001-01-15,2001-01-15,C119033,週刊少年マガジン,いもとさちこ
C90258,CCRT02930,WILD BASEBALLERS,48,0,4,2003-04-09,2004-05-05,C119033,週刊少年マガジン,藤沢とおる
C90258,CCRT03159,WILD BASEBALLERS,48,0,4,2003-04-09,2004-05-05,C119033,週刊少年マガジン,関口太郎
C90259,CCRT02592,Xmas hearts,1,0,1,2003-01-08,2003-01-08,C119033,週刊少年マガジン,真島ヒロ
C90261,CCRT03000,ああ、零戦トンボ,2,0,2,1972-12-10,1972-12-17,C119033,週刊少年マガジン,貝塚ひろし
C90262,CCRT00501,アイアンマッスル Hyper grapple,44,6,1,1983-02-02,1983-11-30,C119033,週刊少年マガジン,ダイナミックプロ
C90262,CCRT02320,アイアンマッスル Hyper grapple,44,6,1,1983-02-02,1983-11-30,C119033,週刊少年マガジン,永井豪
C90262,CCRT03114,アイアンマッスル Hyper grapple,44,6,1,1983-02-02,1983-11-30,C119033,週刊少年マガジン,鈴木光
C90263,CCRT01194,愛しているのに,10,0,1,1995-07-19,1995-09-20,C119033,週刊少年マガジン,坂本英俊
C90264,CCRT00836,愛してごめんなさい,1,0,0,1984-08-29,1984-08-29,C119033,週刊少年マガジン,伊藤実
C90265,CCRT01251,愛だぜ!太一,1,0,0,1983-01-19,1983-01-19,C119033,週刊少年マガジン,大和田夏希
C90266,CCRT02945,あいつがKYOKI,1,0,1,1984-06-06,1984-06-06,C119033,週刊少年マガジン,蛭田達也
C90267,CCRT00201,あいつがゴッチ,44,8,1,1984-09-19,1985-07-31,C119033,週刊少年マガジン,しもさか保
C90268,CCRT02219,あいつとララバイ,390,17,6,1981-09-16,1989-09-20,C119033,週刊少年マガジン,楠みちはる
C90269,CCRT01390,あいつはアインシュタイン,20,0,2,1988-09-14,1989-05-24,C119033,週刊少年マガジン,宮崎まさる
C90269,CCRT02643,あいつはアインシュタイン,20,0,2,1988-09-14,1989-05-24,C119033,週刊少年マガジン,石垣ゆうき
C90270,CCRT00623,あいつはラプラス,6,0,0,1978-03-12,1978-04-16,C119033,週刊少年マガジン,三浦みつる
C90272,CCRT01692,愛と誠と彼氏と彼女,2,0,0,2005-03-30,2005-03-30,C119033,週刊少年マガジン,島田英次郎
C90273,CCRT00260,愛と誠,175,2,31,1973-01-14,1976-09-26,C119033,週刊少年マガジン,ながやす巧
C90273,CCRT02171,愛と誠,175,2,31,1973-01-14,1976-09-26,C119033,週刊少年マガジン,梶原一輝
C90274,CCRT01565,アイドル学園よいこ組,137,4,0,1986-10-01,1991-05-08,C119033,週刊少年マガジン,山岡ともみ
C90275,CCRT00709,愛どるシスター,1,0,0,1983-08-31,1983-08-31,C119033,週刊少年マガジン,中西やすひろ
C90276,CCRT02292,アイドルのあかほん,20,0,1,2006-06-28,2006-11-15,C119033,週刊少年マガジン,氏家ト全
C90277,CCRT00275,会いにいくよ,5,0,1,2012-07-18,2014-01-29,C119033,週刊少年マガジン,のぶみ
C90277,CCRT02187,会いにいくよ,5,0,1,2012-07-18,2014-01-29,C119033,週刊少年マガジン,森川ジョージ
C90278,CCRT01456,愛の戦士レインボーマン,49,0,1,1972-09-10,1973-09-30,C119033,週刊少年マガジン,小島利明©愛プロ
C90278,CCRT01704,愛の戦士レインボーマン,49,0,1,1972-09-10,1973-09-30,C119033,週刊少年マガジン,川内康範
C90279,CCRT03087,愛ものがたり,1,0,0,1982-05-19,1982-05-19,C119033,週刊少年マガジン,野田琴里
C90280,CCRT01212,青いプロミネンス,1,0,1,1986-07-23,1986-07-23,C119033,週刊少年マガジン,塀内真人
C90281,CCRT01986,蒼き神話マルス,110,0,2,1996-10-09,1999-05-26,C119033,週刊少年マガジン,本島幸久
C90282,CCRT01956,蒼きパンサー,8,1,0,1976-11-07,1976-12-26,C119033,週刊少年マガジン,木村えいじ
C90283,CCRT01685,蒼き氷河の果てに… 植村直己物語,4,0,1,1986-06-11,1986-07-02,C119033,週刊少年マガジン,島崎譲
C90284,CCRT01829,仰げば尊し!,51,0,2,1983-03-18,1987-09-09,C119033,週刊少年マガジン,所十三
C90285,CCRT01251,青の時代,31,5,1,1982-01-01,1982-08-18,C119033,週刊少年マガジン,大和田夏希
C90286,CCRT02024,赤い部屋,1,0,0,1978-06-04,1978-06-04,C119033,週刊少年マガジン,村祖俊一
C90287,CCRT02608,アカブチ,1,0,0,1973-06-03,1973-06-03,C119033,週刊少年マガジン,矢口高雄
C90288,CCRT00906,アキラ・ミオ 大漂流,4,0,0,1972-07-02,1972-07-23,C119033,週刊少年マガジン,作画グループ
C90289,CCRT03209,あくしゃうつ,1,0,0,2011-10-12,2011-10-12,C119033,週刊少年マガジン,須賀達郎
C90291,CCRT02339,悪たれ馬ドンキー,2,1,0,1974-11-10,1974-11-17,C119033,週刊少年マガジン,池上遼一
C90291,CCRT03183,悪たれ馬ドンキー,2,1,0,1974-11-10,1974-11-17,C119033,週刊少年マガジン,雁屋哲
C90292,CCRT01274,悪たれ吸血鬼,1,0,0,1973-05-06,1973-05-06,C119033,週刊少年マガジン,大東豊治
C90294,CCRT01682,悪役ブルース,72,10,1,1982-01-07,1983-06-08,C119033,週刊少年マガジン,峰岸とおる
C90294,CCRT02172,悪役ブルース,72,10,1,1982-01-07,1983-06-08,C119033,週刊少年マガジン,梶原一騎
C90296,CCRT01523,アゲイン,1,0,0,1981-09-09,1981-09-09,C119033,週刊少年マガジン,小野新二
C90296,CCRT02585,アゲイン,1,0,0,1981-09-09,1981-09-09,C119033,週刊少年マガジン,相沢かおる
C90297,CCRT00728,アゲイン!!,138,0,5,2011-04-20,2014-07-30,C119033,週刊少年マガジン,久保ミツロウ
C90298,CCRT00232,あした天気になあれ,496,4,15,1980-10-12,1991-06-12,C119033,週刊少年マガジン,ちばてつや
C90299,CCRT00232,あしたのジョー,127,2,41,1970-08-02,1973-05-13,C119033,週刊少年マガジン,ちばてつや
C90299,CCRT03264,あしたのジョー,127,2,41,1970-08-02,1973-05-13,C119033,週刊少年マガジン,高森朝雄
C90300,CCRT02600,アシモフくん,3,0,0,1974-10-06,1974-10-20,C119033,週刊少年マガジン,真樹村正とダイナミック・プロ
C90301,CCRT00489,アシュラ,41,2,8,1970-08-02,1971-05-23,C119033,週刊少年マガジン,ジョージ秋山
C90302,CCRT00362,アステロイド・エクスプレス,14,3,1,1981-09-30,1982-01-07,C119033,週刊少年マガジン,やぎむら亜樹
C90303,CCRT00277,あせってシャワー気分,1,0,0,1983-09-07,1983-09-07,C119033,週刊少年マガジン,はしもとてつじ
C90304,CCRT01213,阿蘇コントロール大作戦,1,1,0,1978-08-13,1978-08-13,C119033,週刊少年マガジン,塚本俊昭
C90305,CCRT00771,阿蘇の若駒 熊本工業高校,1,0,0,1977-04-24,1977-04-24,C119033,週刊少年マガジン,井上コオ
C90306,CCRT01928,アソボット五九,27,0,3,2002-01-17,2002-07-24,C119033,週刊少年マガジン,有森丈時
C90306,CCRT02905,アソボット五九,27,0,3,2002-01-17,2002-07-24,C119033,週刊少年マガジン,葵ろむ
C90307,CCRT01928,アソボット戦記五九,2,0,2,2002-10-09,2002-10-16,C119033,週刊少年マガジン,有森丈時
C90307,CCRT02905,アソボット戦記五九,2,0,2,2002-10-09,2002-10-16,C119033,週刊少年マガジン,葵ろむ
C90308,CCRT02339,安達ヶ原黒塚の鬼女,1,0,1,1972-04-09,1972-04-09,C119033,週刊少年マガジン,池上遼一
C90309,CCRT01847,頭がビッグバン!!,38,0,1,1994-09-21,1995-07-05,C119033,週刊少年マガジン,斉藤富士夫
C90313,CCRT01473,アッパーズ学園,1,0,1,1998-04-08,1998-04-08,C119033,週刊少年マガジン,小林まこと
C90314,CCRT02301,あて馬,1,0,1,1972-10-29,1972-10-29,C119033,週刊少年マガジン,水島新司
C90315,CCRT02930,艶姿純情BOY,34,0,1,1989-05-31,1990-01-31,C119033,週刊少年マガジン,藤沢とおる
C90316,CCRT02953,アテネで輝け 全日本女子バレー 2004オリンピック最終予選観戦記,1,0,1,2004-08-25,2004-08-25,C119033,週刊少年マガジン,西山優里子
C90317,CCRT00469,あにMR,21,1,0,2005-01-31,2005-08-31,C119033,週刊少年マガジン,サダタロー
C90319,CCRT00487,アニマル・ファーム,4,0,3,1970-08-23,1970-09-13,C119033,週刊少年マガジン,ジョージ・オーウェル
C90319,CCRT02663,アニマル・ファーム,4,0,3,1970-08-23,1970-09-13,C119033,週刊少年マガジン,石森章太郎
C90321,CCRT01447,あの時の…,1,0,0,1987-07-15,1987-07-15,C119033,週刊少年マガジン,小山内武士
C90322,CCRT02301,あばしり安,1,0,1,1974-07-14,1974-07-14,C119033,週刊少年マガジン,水島新司
C90324,CCRT01883,あひるの空,571,0,41,2004-01-06,2017-06-21,C119033,週刊少年マガジン,日向武史
C90325,CCRT00620,アフガニスタンで起こったこと ～不屈の医師 中村哲物語～,2,0,1,2003-05-28,2003-06-04,C119033,週刊少年マガジン,三枝義浩
C90327,CCRT02321,アフリカの血,1,0,1,1971-04-11,1971-04-11,C119033,週刊少年マガジン,永井豪とダイナミックプロ
C90328,CCRT00080,ア・ホーマンス源五郎,9,0,1,1987-04-01,1987-05-27,C119033,週刊少年マガジン,いしやま彰
C90329,CCRT00529,アホガール,109,0,8,2012-12-12,2017-07-19,C119033,週刊少年マガジン,ヒロユキ
C90331,CCRT02374,アミーゴＧＩＡＮＴＳ,1,0,0,1999-04-14,1999-04-14,C119033,週刊少年マガジン,河方かおる
C90332,CCRT00890,嵐の伝説,2,0,0,2010-10-06,2010-11-17,C119033,週刊少年マガジン,佐藤将
C90333,CCRT01692,ある意味コワイ百物語,4,0,0,2007-01-10,2007-10-24,C119033,週刊少年マガジン,島田英次郎
C90335,CCRT00620,歩けアイメイト,2,0,1,1994-10-19,1994-10-26,C119033,週刊少年マガジン,三枝義浩
C90336,CCRT02194,アルシンド物語 地球の反対側から来た優勝請負人,2,0,0,1994-01-01,1994-01-08,C119033,週刊少年マガジン,森浦勲
C90337,CCRT02528,アルスラーン戦記,1,0,1,2013-08-28,2013-08-28,C119033,週刊少年マガジン,田中芳樹
C90337,CCRT02862,アルスラーン戦記,1,0,1,2013-08-28,2013-08-28,C119033,週刊少年マガジン,荒川弘
C90338,CCRT02528,アルスラーン戦記,1,0,0,2014-04-23,2014-04-23,C119033,週刊少年マガジン,田中芳樹
C90338,CCRT02862,アルスラーン戦記,1,0,0,2014-04-23,2014-04-23,C119033,週刊少年マガジン,荒川弘
C90339,CCRT00899,アルバトロス,12,0,1,1989-08-30,1989-11-15,C119033,週刊少年マガジン,佐藤輝
C90340,CCRT01539,あるぷす犬坊,5,5,2,1976-04-18,1976-05-16,C119033,週刊少年マガジン,山上たつひこ
C90342,CCRT01211,アレ！アレ！フランス!!,1,0,0,1998-08-05,1998-08-05,C119033,週刊少年マガジン,塀内夏子
C90344,CCRT00196,あんたが最高!,1,0,0,1982-08-04,1982-08-04,C119033,週刊少年マガジン,しげの秀一
C90345,CCRT01682,安打製造機　ピート・ローズ物語,1,0,0,1978-11-12,1978-11-12,C119033,週刊少年マガジン,峰岸とおる
C90345,CCRT01869,安打製造機　ピート・ローズ物語,1,0,0,1978-11-12,1978-11-12,C119033,週刊少年マガジン,新宮正春
C90346,CCRT00869,いーかげんハ短調,10,2,1,1986-07-16,1986-09-17,C119033,週刊少年マガジン,佐方みえ
C90347,CCRT03135,イースタン イースタン,2,0,1,2003-10-22,2003-10-29,C119033,週刊少年マガジン,長田悠幸
C90350,CCRT01802,いきなりバックドロップ犬,3,0,0,1989-03-01,1989-06-21,C119033,週刊少年マガジン,徳光康之
C90351,CCRT01653,イクミの秘密 潜在能力伝説!,34,0,1,1995-04-19,1996-01-10,C119033,週刊少年マガジン,岡田鯛
C90351,CCRT01805,イクミの秘密 潜在能力伝説!,34,0,1,1995-04-19,1996-01-10,C119033,週刊少年マガジン,徳田春生
C90352,CCRT01700,いけない2LDK,1,1,0,1983-01-07,1983-01-07,C119033,週刊少年マガジン,川三番地
C90353,CCRT00709,いけないDayDream,25,1,1,1988-05-11,1989-01-06,C119033,週刊少年マガジン,中西やすひろ
C90354,CCRT01933,いこうぜ!!球人,47,5,0,1980-02-10,1981-01-01,C119033,週刊少年マガジン,服部かずみ
C90354,CCRT02679,いこうぜ!!球人,47,5,0,1980-02-10,1981-01-01,C119033,週刊少年マガジン,神保史郎
C90355,CCRT00521,砂人の皇,1,0,1,2013-04-17,2013-04-17,C119033,週刊少年マガジン,ノ村優介
C90358,CCRT02301,偉大なる打者モビー・ゴット,3,1,0,1974-04-07,1974-04-21,C119033,週刊少年マガジン,水島新司
C90359,CCRT02961,イチ,1,0,0,2010-01-01,2010-01-01,C119033,週刊少年マガジン,西本英雄
C90360,CCRT01269,イチから手ほどき❤,1,0,0,2010-01-01,2010-01-01,C119033,週刊少年マガジン,大暮維人
C90361,CCRT01262,一撃拳,35,1,1,1988-01-01,1988-09-07,C119033,週刊少年マガジン,大島やすいち
C90362,CCRT02219,一年目のふたり,1,0,0,1981-07-29,1981-07-29,C119033,週刊少年マガジン,楠みちはる
C90363,CCRT02592,一番いい音,1,0,0,2010-01-01,2010-01-01,C119033,週刊少年マガジン,真島ヒロ
C90365,CCRT03188,一番の楽しみ,1,0,0,2010-01-01,2010-01-01,C119033,週刊少年マガジン,雷句誠
C90366,CCRT01482,一路平安,1,0,0,2011-10-12,2011-10-12,C119033,週刊少年マガジン,小林尽
C90368,CCRT03016,いつだってMyサンタ!,1,0,1,1998-01-10,1998-01-10,C119033,週刊少年マガジン,赤松健
C90369,CCRT00277,いとこにKISS,1,0,0,1982-05-26,1982-05-26,C119033,週刊少年マガジン,はしもとてつじ
C90370,CCRT03288,愛しのカミラ,11,2,0,1982-08-25,1983-06-15,C119033,週刊少年マガジン,高橋美由紀
C90371,CCRT02722,愛しの甲子園,1,1,0,1978-08-20,1978-08-20,C119033,週刊少年マガジン,秋月研二
C90371,CCRT02808,愛しの甲子園,1,1,0,1978-08-20,1978-08-20,C119033,週刊少年マガジン,美和
C90372,CCRT02370,愛しのボッチャー,134,17,0,1979-05-13,1981-12-16,C119033,週刊少年マガジン,河口仁と白バラグループ
C90373,CCRT02444,田舎刑事,2,0,1,1987-01-02,1987-01-10,C119033,週刊少年マガジン,湯浅ひとし
C90374,CCRT02836,犬魔神,1,0,1,1971-08-15,1971-08-15,C119033,週刊少年マガジン,芳谷圭児
C90376,CCRT01475,異能戦士,1,0,0,1982-09-01,1982-09-01,C119033,週刊少年マガジン,小林よしのり
C90377,CCRT01476,異能戦士,31,3,0,1983-12-14,1984-08-01,C119033,週刊少年マガジン,小林よしのりと異NORMAL-ZOKU
C90378,CCRT01791,いのちの医師,2,0,1,2004-05-05,2004-05-19,C119033,週刊少年マガジン,後藤正治
C90378,CCRT01829,いのちの医師,2,0,1,2004-05-05,2004-05-19,C119033,週刊少年マガジン,所十三
C90380,CCRT01103,いまいちくん,1,0,0,1982-06-09,1982-06-09,C119033,週刊少年マガジン,吉村実
C90381,CCRT00263,妹は総理大臣,1,0,0,2012-07-25,2012-07-25,C119033,週刊少年マガジン,なつみん
C90382,CCRT00139,妹よ…,1,0,0,1980-08-24,1980-08-24,C119033,週刊少年マガジン,かわいひろみ
C90383,CCRT00709,イヤイヤ・ラブリー・ヘルパー,1,0,0,1986-01-10,1986-01-10,C119033,週刊少年マガジン,中西やすひろ
C90384,CCRT02321,イヤハヤ南友,74,9,3,1974-11-03,1976-05-23,C119033,週刊少年マガジン,永井豪とダイナミックプロ
C90385,CCRT02592,[イラスト],1,0,1,2014-04-23,2014-04-23,C119033,週刊少年マガジン,真島ヒロ
C90386,CCRT01614,入れぐい勇二くん,1,0,0,1987-02-25,1987-02-25,C119033,週刊少年マガジン,山田孝輔
C90387,CCRT01539,岩風呂くん,3,3,0,1977-10-02,1977-12-04,C119033,週刊少年マガジン,山上たつひこ
C90388,CCRT01831,インセクター,2,2,1,1979-04-08,1979-05-27,C119033,週刊少年マガジン,手塚治虫
C90391,CCRT02341,ヴィーナスの殺意,2,0,1,1971-10-03,1971-10-10,C119033,週刊少年マガジン,池内誠一
C90392,CCRT00351,上を向いて歩こう,29,0,1,1997-04-09,1997-11-12,C119033,週刊少年マガジン,むつ利之
C90393,CCRT02301,ウォッス10番,1,0,1,1974-01-27,1974-01-27,C119033,週刊少年マガジン,水島新司
C90393,CCRT03064,ウォッス10番,1,0,1,1974-01-27,1974-01-27,C119033,週刊少年マガジン,里中満智子
C90394,CCRT00709,ウオッチ・シュワッチ愛して恋!!,1,0,1,1985-03-27,1985-03-27,C119033,週刊少年マガジン,中西やすひろ
C90395,CCRT00237,うしろの百太郎,105,8,4,1973-12-02,1976-01-04,C119033,週刊少年マガジン,つのだじろう
C90399,CCRT00171,うどん団兵衛 : 閻魔祈願帖,5,3,2,1975-03-23,1975-07-20,C119033,週刊少年マガジン,さいとうたかを
C90403,CCRT01212,海よおまえは,1,0,0,1984-09-12,1984-09-12,C119033,週刊少年マガジン,塀内真人
C90404,CCRT00620,埋もれた楽園 : 谷津干潟・ゴミと闘った20年,2,0,1,1993-07-07,1993-07-14,C119033,週刊少年マガジン,三枝義浩
C90405,CCRT03026,うらぶれロマン,3,0,3,1970-08-16,1970-09-13,C119033,週刊少年マガジン,辰巳ヨシヒロ
C90407,CCRT01542,浦和レッズ物語,3,0,1,2005-03-02,2005-03-16,C119033,週刊少年マガジン,山下てつお
C90407,CCRT01835,浦和レッズ物語,3,0,1,2005-03-02,2005-03-16,C119033,週刊少年マガジン,押村勇悟
C90411,CCRT00248,うわさの天海,96,11,1,1977-07-10,1979-06-03,C119033,週刊少年マガジン,とりいかずよし
C90413,CCRT00885,運命の数字,1,0,0,2010-01-01,2010-01-01,C119033,週刊少年マガジン,佐藤友生
C90415,CCRT01269,エア・ギア,359,0,21,2002-11-20,2016-01-15,C119033,週刊少年マガジン,大暮維人
C90416,CCRT02743,栄冠は君に輝く,1,0,1,1986-08-06,1986-08-06,C119033,週刊少年マガジン,竜崎遼児
C90418,CCRT02397,エース! ～箱根駅伝・タスキにかけた師弟の情熱～,1,0,1,2006-01-18,2006-01-18,C119033,週刊少年マガジン,浅井信悟
C90419,CCRT01624,エクシス,27,4,0,1984-03-28,1984-09-26,C119033,週刊少年マガジン,山田貴敏
C90421,CCRT01616,エデンの檻,185,0,9,2008-12-10,2013-02-06,C119033,週刊少年マガジン,山田恵庸
C90422,CCRT03161,江戸川警部ふんせん記,4,0,0,1977-10-02,1977-10-23,C119033,週刊少年マガジン,関本敏和
C90423,CCRT02321,江の島ドジラ,1,0,1,1971-09-05,1971-09-05,C119033,週刊少年マガジン,永井豪とダイナミックプロ
C90424,CCRT00154,えびぞり外伝,1,0,0,1982-06-09,1982-06-09,C119033,週刊少年マガジン,くぼやすひと
C90425,CCRT00154,えびぞりロック,25,2,0,1980-11-16,1981-05-06,C119033,週刊少年マガジン,くぼやすひと
C90428,CCRT00847,エリアの騎士,503,0,39,2006-05-17,2017-04-12,C119033,週刊少年マガジン,伊賀大晃
C90428,CCRT01925,エリアの騎士,503,0,39,2006-05-17,2017-04-12,C119033,週刊少年マガジン,月山可也
C90429,CCRT03136,尾崎豊物語,2,0,1,2002-05-01,2002-05-08,C119033,週刊少年マガジン,長緒隆也
C90430,CCRT03045,おさわがせ死神レディー,1,0,0,1989-05-17,1989-05-17,C119033,週刊少年マガジン,遠山光
C90431,CCRT01692,おじゃまんが島田くん,1,0,0,2003-09-10,2003-09-10,C119033,週刊少年マガジン,島田英次郎
C90433,CCRT00620,尾瀬に死す,2,0,0,1992-01-29,1992-02-05,C119033,週刊少年マガジン,三枝義浩
C90435,CCRT01692,お憑かれさん,5,0,0,2004-09-08,2008-02-20,C119033,週刊少年マガジン,島田英次郎
C90436,CCRT00054,オヅノさんちの魔法使い,1,0,0,1987-12-02,1987-12-02,C119033,週刊少年マガジン,あさの一人
C90437,CCRT01839,オッペケペーの音吉,4,0,1,1974-08-18,1974-11-24,C119033,週刊少年マガジン,政岡としや
